Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Macroalgae	Biota: Octocoral.Black	Biota: Seagrasses	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated	CampaignID
1	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
10	0	6	9	0	0	0	20	0	0	0	9	0	0	6	2014-12_Geographe.Bay_stereoBRUVs
100	0	0	9	0	0	0	20	0	0	0	8	1	0	0	2014-12_Geographe.Bay_stereoBRUVs
10000	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
10001	5	3	2	0	0	2	18	0	0	0	2	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
10002	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
10003	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
10004	0	3	7	0	0	0	20	0	0	0	7	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
10005	3	1	6	0	0	0	20	0	5	0	0	1	0	4	2014-12_Geographe.Bay_stereoBRUVs
101	0	4	11	0	0	0	20	0	0	0	10	0	0	5	2014-12_Geographe.Bay_stereoBRUVs
102	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
103	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
1038	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
104	0	11	3	0	0	0	19	0	0	0	0	2	0	12	2014-12_Geographe.Bay_stereoBRUVs
106	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
107	0	1	13	0	0	0	20	0	0	0	13	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
108	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
11	0	3	7	0	0	0	20	0	0	0	7	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
110	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
1108	0	3	12	0	0	0	20	0	1	0	11	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
111	0	1	9	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
112	0	0	14	0	0	0	20	0	4	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
113	7	3	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
114	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
115	9	0	1	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
116	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
119	0	0	8	7	0	0	20	0	8	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
11R1	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
11R2	0	0	7	0	0	0	20	0	0	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
11R3	0	0	10	0	0	0	20	0	4	0	6	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
11R4	0	0	0	9	0	0	20	0	9	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
12	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
122	0	3	8	0	0	0	20	0	0	0	8	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
12RC1	1	3	0	0	15	2	18	12	3	0	0	1	0	3	2014-12_Geographe.Bay_stereoBRUVs
12RC2	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
12RC3	0	0	3	0	0	0	20	0	3	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
12RC5	0	0	6	0	0	0	20	0	6	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
12RC6	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
