opcode,sample_old,longitude_dd,latitude_dd,date_raw,year,month,day,time_raw,date_time,site,location,status,depth_m,observer_count,observer_count_by_size_class,successful_count_by_size_class,count_size_complete_date,successful_count,successful_length,type,left_camera,right_camera,comment,raw_hdd_number,con_hdd_number,fishnclipz_saved,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,backwards_habitat_image_saved,successful_habitat_backward,observer_habitat_backward,habitat_comment,visibility_m,habitat_classification,maxn_complete_date,maxn_checker,observer_length,length_complete_date,comment,successful_bounding_box,bounding_box_complete_date,uploaded_to_AFID.io
npz6.26,26,113.4563,-28.0937,20210512,2021,05,12,08:43,2021-05-12T08:43:00+08:00,npz6.29,NPZ6,No-take,33.7,Molly Gerrans,Annika Leunig,"Yes - new rubescens maxN, no new maxN for auratus or rubescens, length a bit dodgy.",20240930,Yes,Yes,MBH,41,42,Lights not on,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20220113,Claude Spencer,Molly Gerrans,20220404,,Yes,22/11/2023,Yes
npz6.27,27,113.4464,-28.0562,20210512,2021,05,12,09:21,2021-05-12T09:21:00+08:00,npz6.30,NPZ6,No-take,39,Molly Gerrans,Annika Leunig,Yes - new rubescens maxN,20240913,Yes,Yes,MBH,43,44,Not much bait left,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20211215,Claude Spencer,Molly Gerrans,20220404,,Yes,23/11/2023,Yes
npz6.14,14,113.4213,-28.0937,20210512,2021,05,12,08:56,2021-05-12T08:56:00+08:00,npz6.14,NPZ6,No-take,42.1,Molly Gerrans,Annika Leunig,"Yes - rubescens maxN previously incorrect, new maxN for both minatus and rubescens",20240927,Yes,Yes,MBH,29,30,,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20211124,Claude Spencer,Molly Gerrans,20220331,,Yes,27/11/2023,Yes
npz6.18,18,113.4438,-28.0962,20210512,2021,05,12,08:48,2021-05-12T08:48:00+08:00,npz6.19,NPZ6,No-take,42.7,Molly Gerrans,,,,Yes,Yes,MBH,35,36,Lights on,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20211124,Claude Spencer,Molly Gerrans,20220302,,Yes,28/11/2023,Yes
npz6.2,2,113.4339,-28.0612,20210512,2021,05,12,09:26,2021-05-12T09:26:00+08:00,npz6.2,NPZ6,No-take,43.6,Molly Gerrans,Annika Leunig,Yes - new maxN for miniatus. Unsure if new maxN for rubescens is accurate,20240913,Yes,Yes,MBH,33,34,"34 was off, battery dead",RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20210820,Claude Spencer,Molly Gerrans,20220406,,No targets,,
npz6.22,22,113.4512,-28.0687,20210512,2021,05,12,09:16,2021-05-12T09:16:00+08:00,npz6.23,NPZ6,No-take,45,Molly Gerrans,Annika Leunig, Yes - new miniatus maxN,20240913,Yes,Yes,MBH,37,38,,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20211203,Claude Spencer,Molly Gerrans,20220406,,Yes,28/11/2023,Yes
npz6.20,20,113.4593,-28.0736,20210512,2021,05,12,09:13,2021-05-12T09:13:00+08:00,npz6.21,NPZ6,No-take,50.4,Molly Gerrans,Annika Leunig, Yes new miniatus and rubescens maxN,20240927,Yes,Yes,MBH,39,40,,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20211201,Claude Spencer,Molly Gerrans,20220302,,Yes,28/11/2023,Yes
npz6.24,24,113.4414,-28.0787,20210512,2021,05,12,09:07,2021-05-12T09:07:00+08:00,npz6.27,NPZ6,No-take,53.7,Molly Gerrans,Annika Leunig,Yes new maxN for miniatus and rubescens,20240927,Yes,Yes,MBH,27,28,eDNA sample,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20220113,Claude Spencer,Molly Gerrans,20220302,,Yes,30/11/2023,Yes
npz6.6,6,113.4439,-28.0837,20210512,2021,05,12,09:04,2021-05-12T09:04:00+08:00,npz6.6,NPZ6,No-take,55.1,Molly Gerrans,Annika Leunig,Yes - new rubescens and miniatus maxN,20241002,Yes,Yes,MBH,31,32,Not much bait left,RAW1,,Yes,Yes,Yes,UWA MEG,Missing,No,,,,,20211116,Claude Spencer,Molly Gerrans,20220406,,Yes,1/12/2023,Yes
npz6.21,21,113.3992,-28.0714,20210512,2021,05,12,10:54,2021-05-12T10:54:00+08:00,npz6.22,NPZ6,No-take,59.3,Molly Gerrans,Annika Leunig,Yes new auratus and rubescens maxN,20240927,Yes,Yes,MBH,35,36,"wrong number filmed then re-filmed, bait gone",RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20211201,Claude Spencer,Molly Gerrans,20220406,,No targets,,
npz6.5,5,113.3935,-28.0636,20210512,2021,05,12,10:50,2021-05-12T10:50:00+08:00,npz6.5,NPZ6,No-take,65.8,Molly Gerrans,Annika Leunig,Yes - new maxN for rubescens,20240920,Yes,Yes,MBH,41,42,"wrong number filmed then re-filmed, bait bag gone",RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20210929,Claude Spencer,Molly Gerrans,20220406,stheojulis spp,No targets,,
npz6.36,36,113.4089,-28.1062,20210512,2021,05,12,15:02,2021-05-12T15:02:00+08:00,out6.9,NPZ6,Fished,66.5,Molly Gerrans,Annika Leunig,Yes - previous maxN incorrect for auratus. New auratus maxN,20241011,Yes,Yes,MBH,27,28,,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,tipped on side,,,20211215,Claude Spencer,Molly Gerrans,20220406,,Yes,1/12/2023,Yes
npz6.4,4,113.3988,-28.0814,20210512,2021,05,12,10:57,2021-05-12T10:57:00+08:00,npz6.4,NPZ6,No-take,67.5,Molly Gerrans,Annika Leunig,"Yes - previous maxN incorrect, new maxN for auratus",20241014,Yes,Yes,MBH,29,30,"wrong number filmed then re-filmed, bait gone",RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,rock w turf mat - but not turfing algae,,,20210922,Claude Spencer,Molly Gerrans,20220120,"stethojulis spp,",Yes,11/12/2023,Yes
npz6.9,9,113.3814,-28.0386,20210512,2021,05,12,11:28,2021-05-12T11:28:00+08:00,npz6.9,NPZ6,No-take,77.2,Molly Gerrans,Annika Leunig,"Yes - dodgy cal, new maxN for auratus",20241011,Yes,Yes,MBH,37,38,wrong number filmed then re-filmed,RAW1,,Yes,Yes,Yes,UWA MEG,Yes,Yes,UWA MEG,,,,20211116,Claude Spencer,Claude Spencer,20220121,,Yes,11/01/2024,Yes
