opcode,latitude_dd,longitude_dd,date,time,site,location,status,depth_m,observer_count,successful_count,successful_length,type,left_camera,right_camera,comment,raw_hdd_number,con_hdd_number,fishnclipz_saved,forwards_habitat_image_saved,forwards_habitat_image_annotated,backwards_habitat_image_saved,backwards_habitat_image_annotated,habitat_comment,visibility_m,habitat_classification,observer_count,maxn_complete_date,maxn_checker,observer_length,length_complete_date,comment
17,-22.7757,113.5195,20210518,12:28,outNP.5,Point Cloates,Fished,104,Charlotte Aston,Yes,Yes,MBH,27,28,,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Charlotte Aston,20210611,Henry Evans,Henry Evans,20230327,
22,-22.7812,113.4964,20210518,12:19,outNP.10,Point Cloates,Fished,138,Charlotte Aston,Yes,Yes,MBH,29,30,GPS playing up,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Charlotte Aston,20210616,Henry Evans,Henry Evans,20230328,Henry changed P. eriomma to N. peronii
25,-22.7937,113.4939,20210518,12:11,outNP.13,Point Cloates,Fished,135,Charlotte Aston,Yes,Yes,MBH,31,32,Failed lengths - GPS playing up,RAW1, ,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Charlotte Aston,20210621,Henry Evans,Henry Evans,20230328,
15,-22.7461,113.5138,20210518,12:40,outNP.3,Point Cloates,Fished,130,Charlotte Aston,Yes,Yes,MBH,33,34,bait bag snapped,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Charlotte Aston,20210623,Henry Evans,Henry Evans,20230231,Tricky video - might be good if someone else watches it from scratch as well to double check it
7,-22.7287,113.5365,20210518,12:57,inNP.7,Point Cloates,No-take,100,Charlotte Aston,Yes,Yes,MBH,35,36,,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Charlotte Aston,20210624,Molly Gerrans ,Molly Gerrans ,20230424,
13,-22.7963,113.5041,20210518,12:08,outNP.1,Point Cloates,Fished,116,Charlotte Aston,Yes,Yes,MBH,37,38,Sams sponge,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,1 point to check,,,Charlotte Aston,20210705,Molly Gerrans ,Molly Gerrans ,20230404,
12,-22.7262,113.5214,20210518,12:48,inNP.12,Point Cloates,No-take,126,Charlotte Aston,Yes,Yes,MBH,39,40,,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Charlotte Aston,20210706,Molly Gerrans ,Molly Gerrans,20230404,
16,-22.7812,113.5115,20210518,12:24,outNP.4,Point Cloates,Fished,111,Gabby Cummins,Yes,No,MBH,41,42,"41 was put in wrong CAL will be off, (2 sponge)",RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Gabby Cummins,20211215,Claude Spencer,N/A,N/A,Right cam analysed as main - Left cam seriously titled 
21,-22.7563,113.5189,20210518,12:36,outNP.9,Point Cloates,Fished,112,Gabby Cummins,Yes,Yes,MBH,43,44,,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Gabby Cummins,20211217,Charlotte Aston,Molly Gerrans,20230404,Need to update CAAB code for inermis
6,-22.721,113.5465,20210518,14:41,inNP.6,Point Cloates,No-take,88.5,Charlotte Aston,Yes,Yes,MBH,37,38,,RAW1,,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,Charlotte Aston,20210625,Molly Gerrans ,Molly Gerrans ,20230404,
