Dot Point Measurements

Generated: Tuesday 24 January 2023 14:45:35

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Frame info 1	Frame info 2	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
1.jpg	      0		139	196																						Open					100.0
1.jpg	      0		406	196																						Open					89.9
1.jpg	      0		674	196																						Open	.3. Good relief structure with some overhangs. >45 substrate slope.				89.9
1.jpg	      0		941	196																						Open	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				100.0
1.jpg	      0		139	578																						Open					64.2
1.jpg	      0		406	578																						Open					46.9
1.jpg	      0		674	578																						Open	.3. Good relief structure with some overhangs. >45 substrate slope.				46.9
1.jpg	      0		941	578																						Open	.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.				64.2
1.jpg	      0		139	960																						Open					46.5
1.jpg	      0		406	960																						Open					15.5
1.jpg	      0		674	960																						Limited	.3. Good relief structure with some overhangs. >45 substrate slope.				15.5
1.jpg	      0		941	960																						Open	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				46.5
1.jpg	      0		139	1342																						Open					64.2
1.jpg	      0		406	1342																						Open	.3. Good relief structure with some overhangs. >45 substrate slope.				46.9
1.jpg	      0		674	1342																						Limited	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				46.9
1.jpg	      0		941	1342																						Open	.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.				64.2
1.jpg	      0		139	1724																						Open					100.0
1.jpg	      0		406	1724																											89.9
1.jpg	      0		674	1724																						Open	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				89.9
1.jpg	      0		941	1724																						Limited	.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.				100.0
10.jpg	      0		139	196																						Open					100.0
10.jpg	      0		406	196																						Open					89.9
10.jpg	      0		674	196																						Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				89.9
10.jpg	      0		941	196																						Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				100.0
10.jpg	      0		139	578																						Open					64.2
10.jpg	      0		406	578																						Open					46.9
10.jpg	      0		674	578																						Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				46.9
10.jpg	      0		941	578																						Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				64.2
10.jpg	      0		139	960																						Open					46.5
10.jpg	      0		406	960																						Open					15.5
10.jpg	      0		674	960																						Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				15.5
10.jpg	      0		941	960																						Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				46.5
10.jpg	      0		139	1342																						Open					64.2
10.jpg	      0		406	1342																						Open					46.9
10.jpg	      0		674	1342																						Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				46.9
10.jpg	      0		941	1342																						Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				64.2
10.jpg	      0		139	1724																						Open					100.0
10.jpg	      0		406	1724																						Open					89.9
10.jpg	      0		674	1724																						Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				89.9
10.jpg	      0		941	1724																						Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				100.0
11.jpg	      0		139	196																						Open					100.0
11.jpg	      0		406	196																						Open					89.9
11.jpg	      0		674	196																						Open	.3. Good relief structure with some overhangs. >45 substrate slope.				89.9
11.jpg	      0		941	196																						Open	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				100.0
11.jpg	      0		139	578																						Open					64.2
11.jpg	      0		406	578																						Open					46.9
11.jpg	      0		674	578																						Open	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				46.9
11.jpg	      0		941	578																						Open	.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.				64.2
11.jpg	      0		139	960																						Open					46.5
11.jpg	      0		406	960																						Open					15.5
11.jpg	      0		674	960																						Open	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				15.5
11.jpg	      0		941	960																						Limited	.2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.				46.5
11.jpg	      0		139	1342																						Open					64.2
11.jpg	      0		406	1342																						Open					46.9
