Dot Point Measurements

Generated: Monday 21 August 2023 13:46:52

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
PCB13.JPG	      0		753	439													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		68.1
PCB13.JPG	      0		607	1531													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		65.0
PCB13.JPG	      0		623	439													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		72.1
PCB13.JPG	      0		786	1355													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		39.1
PCB13.JPG	      0		918	423													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		69.4
PCB13.JPG	      0		743	1882													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		100.0
PCB13.JPG	      0		764	1273													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		30.7
PCB13.JPG	      0		772	1390													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		43.4
PCB13.JPG	      0		1018	1705													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		81.1
PCB13.JPG	      0		1050	1721													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		83.8
PCB13.JPG	      0		891	1400													Cnidaria	Hydroids					11001000		43.9
PCB13.JPG	      0		880	667													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		41.0
PCB13.JPG	      0		916	1696													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		78.1
PCB13.JPG	      0		906	564													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		53.2
PCB13.JPG	      0		1028	1263													Sessile invertebrates						00000002		34.6
PCB13.JPG	      0		939	438													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		68.1
PCB13.JPG	      0		998	447													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		68.4
PCB13.JPG	      0		795	1150													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		16.1
PCB13.JPG	      0		560	232													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		97.0
PCB13.JPG	      0		1064	418													Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)			82001012		73.8
PCB16.JPG	      0		601	1879													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		97.1
