Dot Point Measurements

Generated: Monday 21 August 2023 13:46:52

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
PCB13.JPG	      0		139	196																					100.0
PCB13.JPG	      0		406	196																					89.9
PCB13.JPG	      0		674	196													Relief	Low / moderate	Low (<1m)	1			82003003		89.9
PCB13.JPG	      0		941	196													Relief	Low / moderate	Low (<1m)	1			82003003		100.0
PCB13.JPG	      0		139	578																					64.2
PCB13.JPG	      0		406	578																					46.9
PCB13.JPG	      0		674	578													Relief	Low / moderate	Low (<1m)	1			82003003		46.9
PCB13.JPG	      0		941	578													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB13.JPG	      0		139	960																					46.5
PCB13.JPG	      0		406	960																					15.5
PCB13.JPG	      0		674	960													Relief	Low / moderate	Low (<1m)	1			82003003		15.5
PCB13.JPG	      0		941	960													Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.5
PCB13.JPG	      0		139	1342																					64.2
PCB13.JPG	      0		406	1342																					46.9
PCB13.JPG	      0		674	1342													Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
PCB13.JPG	      0		941	1342													Relief	High	High (>3m)	3			82003006		64.2
PCB13.JPG	      0		139	1724																					100.0
PCB13.JPG	      0		406	1724																					89.9
PCB13.JPG	      0		674	1724													Relief	Low / moderate	Low (<1m)	1			82003003		89.9
PCB13.JPG	      0		941	1724													Relief	Low / moderate	Low (<1m)	1			82003003		100.0
PCB16.JPG	      0		139	196																					100.0
PCB16.JPG	      0		406	196																					89.9
PCB16.JPG	      0		674	196													Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
PCB16.JPG	      0		941	196													Relief	Low / moderate	Low (<1m)	1			82003003		100.0
PCB16.JPG	      0		139	578																					64.2
PCB16.JPG	      0		406	578																					46.9
PCB16.JPG	      0		674	578													Relief	High	High (>3m)	3			82003006		46.9
PCB16.JPG	      0		941	578													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB16.JPG	      0		139	960																					46.5
PCB16.JPG	      0		406	960																					15.5
PCB16.JPG	      0		674	960													Relief	Low / moderate	Moderate (1-3m)	2			82003004		15.5
PCB16.JPG	      0		941	960													Relief	Low / moderate	Low (<1m)	1			82003003		46.5
PCB16.JPG	      0		139	1342																					64.2
PCB16.JPG	      0		406	1342																					46.9
PCB16.JPG	      0		674	1342													Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
PCB16.JPG	      0		941	1342													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB16.JPG	      0		139	1724																					100.0
PCB16.JPG	      0		406	1724																					89.9
PCB16.JPG	      0		674	1724													Relief	Low / moderate	Low (<1m)	1			82003003		89.9
PCB16.JPG	      0		941	1724													Relief	Low / moderate	Low (<1m)	1			82003003		100.0
PCB18.JPG	      0		139	196																					100.0
PCB18.JPG	      0		406	196																					89.9
PCB18.JPG	      0		674	196													Relief	High	High (>3m)	3			82003006		89.9
PCB18.JPG	      0		941	196													Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
PCB18.JPG	      0		139	578																					64.2
PCB18.JPG	      0		406	578																					46.9
PCB18.JPG	      0		674	578													Relief	High	Wall	4			82003007		46.9
PCB18.JPG	      0		941	578													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB18.JPG	      0		139	960																					46.5
PCB18.JPG	      0		406	960																					15.5
PCB18.JPG	      0		674	960													Relief	High	Caves	5			82003008		15.5
PCB18.JPG	      0		941	960													Relief	Low / moderate	Low (<1m)	1			82003003		46.5
PCB18.JPG	      0		139	1342																					64.2
PCB18.JPG	      0		406	1342																					46.9
PCB18.JPG	      0		674	1342													Relief	High	High (>3m)	3			82003006		46.9
PCB18.JPG	      0		941	1342													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB18.JPG	      0		139	1724																					100.0
PCB18.JPG	      0		406	1724																					89.9
PCB18.JPG	      0		674	1724													Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
PCB18.JPG	      0		941	1724													Relief	Low / moderate	Low (<1m)	1			82003003		100.0
PCB21.JPG	      0		139	196																					100.0
PCB21.JPG	      0		406	196																					89.9
PCB21.JPG	      0		674	196													Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
PCB21.JPG	      0		941	196													Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
PCB21.JPG	      0		139	578																					64.2
PCB21.JPG	      0		406	578																					46.9
PCB21.JPG	      0		674	578													Relief	Low / moderate	Low (<1m)	1			82003003		46.9
PCB21.JPG	      0		941	578													Relief	Low / moderate	Moderate (1-3m)	2			82003004		64.2
PCB21.JPG	      0		139	960																					46.5
PCB21.JPG	      0		406	960																					15.5
PCB21.JPG	      0		674	960																					15.5
PCB21.JPG	      0		941	960													Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.5
PCB21.JPG	      0		139	1342																					64.2
PCB21.JPG	      0		406	1342																					46.9
PCB21.JPG	      0		674	1342																					46.9
PCB21.JPG	      0		941	1342													Relief	High	High (>3m)	3			82003006		64.2
PCB21.JPG	      0		139	1724																					100.0
PCB21.JPG	      0		406	1724																					89.9
PCB21.JPG	      0		674	1724																					89.9
PCB21.JPG	      0		941	1724													Relief	High	High (>3m)	3			82003006		100.0
PCB28.JPG	      0		139	196																					100.0
PCB28.JPG	      0		406	196																					89.9
PCB28.JPG	      0		674	196													Relief	High	High (>3m)	3			82003006		89.9
PCB28.JPG	      0		941	196													Relief	Low / moderate	Low (<1m)	1			82003003		100.0
PCB28.JPG	      0		139	578																					64.2
