opcode,latitude_dd,longitude_dd,date,time,time_out,site,location,status,depth_m,observer_count,successful_count,successful_length,left_camera,right_camera,rear_camera,left_mem_card,right_mem_card,rear_mem_card,comment,raw_hdd_number,con_hdd_number,forwards_habitat_image_saved,observer_habitat_forwards,backwards_habitat_image_saved,backwards_habitat_image_annotated,observer_count,maxn_complete_date,maxn_checker,observer_length,length_complete_date,comment
PCPREF13,-22.7636,113.5347,20210828,09:30,10:35,,Pt Cloates,,82.3,,No,No,27,28,21,122,149,131,,RAW1,,,,No,,,,,,,
PCPREF18,-22.7531,113.5303,20210828,09:38,10:46,,Pt Cloates,,99.3,,No,No,41,42,25,161,152,154,Bait gone,RAW1,,,,No,,,,,,,
PCBRUV1,-22.7593,113.5427,20210828,09:56,11:12,,Pt Cloates,,81.1,Henry Evans,Yes,Yes,37,38,24,171,160,129,,RAW1,,Yes,Yes,Yes,Hannah Williams,Henry Evans,20230131,Molly Gerrans,Molly Gerrans,20230517,
PCPREF14,-22.7655,113.539,20210828,09:22,10:24,,Pt Cloates,,81.4,,No,No,33,34,19,120,147,136,"Lights off, redeployed",RAW1,,,,No,,,,,,,
PCBRUV12,-22.7548,113.5436,20210828,09:48,10:59,,Pt Cloates,,84.1,,No,No,31,32,20,144,121,124,Recorded as PCBRUV24 but should be 12,RAW1,,,,No,,,,,,,
PCPREF17,-22.7563,113.5291,20210828,09:35,10:39,,Pt Cloates,,99.1,,No,No,39,40,23,138,118,159,,RAW1,,,,No,,,,,,,
PCBRUV24,-22.7557,113.5451,20210828,09:52,11:08,,Pt Cloates,,81.1,Daniel Agnello,Yes,Yes,35,36,26,165,116,173,Recorded as PCBRUV12 but should be PCBRUV 24,RAW1,,Yes,Yes,Yes,Hannah Williams,Daniel Agnello,20230426,Brooke Gibbons,Molly Gerrans,20230517,
PCPREF3,-22.7511,113.539,20210828,09:43,10:49,,Pt Cloates,,83.7,,No,No,29,30,22,153,139,156,Filmed 029 but should be 030. bait bag gone,RAW1,,,,No,,,,,,,
PCBRUV20,-22.7519,113.5445,20210828,11:36,12:37,,Pt Cloates,,82.4,Hannah Williams,Yes,Yes,33,34,19,120,147,136,,RAW1,,Yes,Yes,Yes,Hannah Williams,Hannah Williams,20230420,Brooke Gibbons,Molly Gerrans,20230517,TIGER SHARK - Gymnocranius euanus should be G. sp1
PCBRUV8,-22.7506,113.5474,20210828,11:39,12:42,,Pt Cloates,,79.8,Hannah Williams,Yes,Yes,27,28,21,122,149,131,,RAW1,,Yes,,Yes,Hannah Williams,Hannah Williams,20230427,Brooke Gibbons,Molly Gerrans,20230517,"Paracaesio - still not sure, sandbar shark, emperor angelfish"
PCBRUV23,-22.7476,113.5435,20210828,11:42,12:47,,Pt Cloates,,85.6,Daniel Agnello,Yes,Yes,39,40,23,138,118,159,,RAW1,,Yes,Yes,Yes,Hannah Williams,Daniel Agnello,20230501,Claude Spencer,Hannah Williams,20230518,"Sandbar shark, strange jellyfish(?) that floats past camera"
PCPREF2,-22.7435,113.5454,20210828,11:47,12:54,,Pt Cloates,,82.2,Hannah Williams,Yes,Yes,41,42,25,161,152,154,cam 41 turned off - only about 49mins of underwater footage - Loaded Right as left for maxn,RAW1,,Yes,Yes,Yes,Hannah Williams,Hannah Williams,20230503,Daniel Agnello,Daniel Agnello,20230705,SAILFISH!
PCBRUV10,-22.7405,113.5395,20210828,11:51,13:00,,Pt Cloates,,92.6,,No,No,29,30,22,153,139,156,BRUV flipped after 44 mins,RAW1,,,,Yes,Henry Evans,,,,,,
PCPREF4,-22.7395,113.5425,20210828,11:54,13:07,,Pt Cloates,,89.7,Daniel Agnello ,Yes,Yes,31,32,20,144,121,124,Fixed - previously labelled as PCBRUV26 incorrectly as per Charlotte,RAW1,,Yes,Yes,Yes,Hannah Williams,Daniel Agnello,20230523,Brooke Gibbons,Levi Peters,20230526,
