Dot Point Measurements

Generated: Tuesday 24 January 2023 14:53:07

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Frame info 1	Frame info 2	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
1.JPG	      0		139	196																											100.0
1.JPG	      0		406	196																											89.9
1.JPG	      0		674	196																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					89.9
1.JPG	      0		941	196																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					100.0
1.JPG	      0		139	578																											64.2
1.JPG	      0		406	578																											46.9
1.JPG	      0		674	578																						.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.					46.9
1.JPG	      0		941	578																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					64.2
1.JPG	      0		139	960																											46.5
1.JPG	      0		406	960																											15.5
1.JPG	      0		674	960																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					15.5
1.JPG	      0		941	960																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					46.5
1.JPG	      0		139	1342																											64.2
1.JPG	      0		406	1342																											46.9
1.JPG	      0		674	1342																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					46.9
1.JPG	      0		941	1342																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					64.2
1.JPG	      0		139	1724																											100.0
1.JPG	      0		406	1724																											89.9
1.JPG	      0		674	1724																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					89.9
1.JPG	      0		941	1724																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					100.0
10.JPG	      0		139	196																											100.0
10.JPG	      0		406	196																						.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.					89.9
10.JPG	      0		674	196																						".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."					89.9
