opcode,latitude_dd,longitude_dd,date,time,site,location,status,depth_m,observer_count,observer_length,successful_count,successful_length,system,left_camera,right_camera,comment,Raw.hdd.number,Forward.habitat.image.saved,Forward.habitat.image.annotated,Backwards.habitat.image.saved,Backward.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.complete.date.yyyymmdd,AFID.training,Notes
1,-22.7221,113.5447,20220522,10:03:24,,,No-take,93.9,Kaitlin McCloghry,Henry Evans,Yes,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220823,Henry Evans,20221024,,
2,-22.6957,113.5628,20220522,14:16:25,,,No-take,77.3,Kaitlin McCloghry,Henry Evans,Yes,Yes,1,27,28,"Field of view obstructed, leave until last",RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220908,Henry Evans,20221201,,
3,-22.7379,113.5515,20220520,14:34:36,,,No-take,78.3,Kaitlin McCloghry,Henry Evans,Yes,Yes,7,39,40,Rear camera in wrong housing all day. Cam #20 should be in system 6.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220816,Henry Evans,20221019,,
4,-22.7337,113.5555,20220520,14:40:43,,,No-take,73.9,Kaitlin McCloghry,Henry Evans,Yes,Yes,8,41,42,Note backwards camera was put in wrong housing all day - should be #23.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220817,Henry Evans,20221020,,
5,-22.7218,113.5506,20220522,08:50:54,,,No-take,81.9,Kaitlin McCloghry,Henry Evans,Yes,Yes,8,41,42,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220818,Henry Evans,20221024,,
6,-22.7459,113.5531,20220520,12:30:12,,,No-take,74.3,Kaitlin McCloghry,Henry Evans,Yes,Yes,6,37,38,eDNA (passive),RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220808,Henry Evans,20221018,,
7,-22.7574,113.5382,20220520,09:36:32,,,No-take,89.3,Kaitlin McCloghry,Molly Gerrans/Kaitlin McCloghry,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220801,,20221117,Henry Evans 20221011,
8,-22.7298,113.5538,20220522,08:12:35,,,No-take,76.4,Kaitlin McCloghry,Henry Evans,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220817,Henry Evans,20221020,,
9,-22.6934,113.5571,20220522,14:27:15,,,No-take,84.9,Henry Evans,Kaitlin McCloghry,Yes,Yes,3,31,32,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220831,Kaitlin McCloghry,20220919,,
10,-22.7272,113.5424,20220522,08:25:30,,,No-take,94.7,,,No,No,4,33,34,BRUV tips upwards 1:10:52 in (36:21min in period),RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,,,,,,
11,-22.7274,113.5498,20220522,08:18:17,,,No-take,81,Henry Evans,Kaitlin McCloghry,Yes,Yes,3,31,32,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220817,Kaitlin McCloghry,20220919,Kaitlin McCloghry 20221012,
12,-22.7505,113.5476,20220520,12:11:27,,,No-take,80.5,Henry Evans,Kaitlin McCloghry,Yes,Yes,3,31,32,eDNA (passive),RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220804,Kaitlin McCloghry,20220913,Henry Evans 20221011,
13,-22.6872,113.5606,20220526,08:42:37,,,No-take,82.1,Kaitlin McCloghry,Henry Evans,Yes,Yes,7,39,40,Note SD card written in wrong. Written in as 241 but actually is 249. Changed after.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,20221206,,
14,-22.6876,113.5568,20220526,08:48:10,,,No-take,90.5,Kaitlin McCloghry,Molly Gerrans/Kaitlin McCloghry,Yes,Yes,8,41,42,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220908,,20221117,,
15,-22.6977,113.5561,20220522,12:55:29,,,No-take,83.9,Kaitlin McCloghry,Henry Evans,Yes,Yes,6,37,38,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220830,Henry Evans,20221108,,
16,-22.7406,113.5395,20220520,14:06:11,,,No-take,93.2,Henry Evans,Kaitlin McCloghry,Yes,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220810,Kaitlin McCloghry,20220914,Kaitlin McCloghry 20221011,
17,-22.7011,113.5532,20220522,12:45:32,,,No-take,86.5,Henry Evans,Kaitlin McCloghry,Yes,Yes,3,31,32,Note opcode 17 time on ipad will be out.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220831,Kaitlin McCloghry,20220919,Crazy busy,
18,-22.7101,113.5492,20220522,10:29:53,,,No-take,91.5,Henry Evans,Kaitlin McCloghry,Yes,Yes,5,35,36,Bottom time 00:59:45,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220824,Kaitlin McCloghry,20220919,Henry Evans 20221012,Changed caeruleopinnatus to chrysophrys
19,-22.6847,113.5669,20220526,08:33:41,,,No-take,76.4,Kaitlin McCloghry,Henry Evans,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,20221206,,
20,-22.7212,113.5561,20220522,08:44:53,,,No-take,76,Henry Evans,Kaitlin McCloghry,Yes,Yes,7,39,40,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220824,Kaitlin McCloghry,20220919,Henry Evans 20221012,Accidentally deleted 1x length measurement in afid copy (original unaffected)
21,-22.6893,113.5652,20220522,14:43:14,,,No-take,77.3,Kaitlin McCloghry,Henry Evans,Yes,Yes,6,37,38,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,20221201,,
22,-22.7072,113.5554,20220522,10:42:04,,,No-take,81.3,Henry Evans,Kaitlin McCloghry,Yes,Yes,7,39,40,Bottom time 00:59:00,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220825,Kaitlin McCloghry,20220919,Crazy busy,
23,-22.734,113.542,20220520,14:15:28,,,No-take,91.4,Henry Evans,Kaitlin McCloghry,Yes,Yes,3,31,32,eDNA (passive),RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220811,Kaitlin McCloghry,20220914,Kaitlin McCloghry 20221011,
24,-22.7426,113.5507,20220520,12:42:58,,,No-take,79.3,Kaitlin McCloghry,Henry Evans,Yes,Yes,8,41,42,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220815,Henry Evans,20221208,,
25,-22.7053,113.5466,20220522,12:34:21,,,No-take,99.5,Kaitlin McCloghry,Henry Evans,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220824,Henry Evans,20221108,,
26,-22.7615,113.5484,20220520,09:08:31,,,No-take,77.2,Kaitlin McCloghry,Molly Gerrans/Kaitlin McCloghry,Yes,Yes,3,31,32,Cam 31 was off when taken out,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220801,,20221117,Henry Evans 20221011,
27,-22.7254,113.5459,20220522,08:31:16,,,No-take,90.4,Kaitlin McCloghry,Henry Evans,Yes,Yes,5,35,36,Showed wrong camera number at start (35 but then 36) - fixed in field after. ONLY ON BOTTOM FOR 59:15min,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220822,Henry Evans,20221024,,
28,-22.6987,113.5625,20220522,13:05:17,,,No-take,76.3,Kaitlin McCloghry,Molly Gerrans/Kaitlin McCloghry,Yes,Yes,8,41,42,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220830,,20221117,,
29,-22.691,113.5564,20220522,14:54:59,,,No-take,87.9,Henry Evans,Kaitlin McCloghry,Yes,Yes,8,41,42,Bait bag may have been emptied by fish,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220901,Kaitlin McCloghry,20220919,,
30,-22.7058,113.5588,20220522,10:47:54,,,No-take,78.5,Kaitlin McCloghry,Henry Evans,Yes,Yes,8,41,42,showed R cam wrong number - C,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220824,Henry Evans,20221025,,
31,-22.7542,113.5424,20220520,10:27:48,,,No-take,82.3,Kaitlin McCloghry,Molly Gerrans/Kaitlin McCloghry,Yes,Yes,8,41,42,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220803,,20221117,,
32,-22.7239,113.5552,20220522,08:39:35,,,No-take,78.3,Henry Evans,Kaitlin McCloghry,Yes,Yes,6,37,38,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220818,Kaitlin McCloghry,20220919,Henry Evans 20221011,
33,-22.719,113.549,20220522,10:09:30,,,No-take,85.4,Kaitlin McCloghry,Henry Evans,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220823,Henry Evans,20221024,,Changed Naso to Aluterus monoceros
34,-22.6928,113.5645,20220522,14:38:27,,,No-take,76.4,Kaitlin McCloghry,Molly Gerrans/Kaitlin McCloghry,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220831,,20221117,,
35,-22.6987,113.551,20220522,12:46:10,,,No-take,94.6,Kaitlin McCloghry,Henry Evans,Yes,Yes,4,33,34,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220829,Henry Evans,20221108,,
