campaignid,period,latitude_dd,longitude_dd,date_time,date_raw,day,month,year,time_raw,time_formatted,site,location,status,depth_m,observer_count,observer_length,successful_count,successful_length,panoramic_habitat_image_saved,downward_habitat_image_saved,successful_habitat_panoramic,successful_habitat_downward,observer_habitat_panoramic,observer_habitat_downward
2022-11_Investigator_stereo-BOSS,INV-DC-101,-33.9069,121.1818,2022-11-25T04:59:00+08:00,25/11/2022,25,11,2022,459,04:59:00,,Investigator MBH,No-take,47,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-071,-33.9165,121.1584,2022-11-25T05:18:00+08:00,25/11/2022,25,11,2022,518,05:18:00,,Investigator MBH,No-take,56,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-013,-33.9079,121.1207,2022-11-25T05:44:00+08:00,25/11/2022,25,11,2022,544,05:44:00,,Investigator MBH,No-take,52,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-102,-33.9101,121.1164,2022-11-25T05:57:00+08:00,25/11/2022,25,11,2022,557,05:57:00,,Investigator MBH,No-take,28,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-089,-33.9166,121.1042,2022-11-25T06:13:00+08:00,25/11/2022,25,11,2022,613,06:13:00,,Investigator MBH,No-take,54,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-047,-33.942,121.11,2022-11-25T06:33:00+08:00,25/11/2022,25,11,2022,633,06:33:00,,Investigator MBH,No-take,59,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-073,-33.9656,121.0715,2022-11-25T07:00:00+08:00,25/11/2022,25,11,2022,700,07:00:00,,Investigator MBH,No-take,62,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-103,-33.9743,121.0903,2022-11-25T07:16:00+08:00,25/11/2022,25,11,2022,716,07:16:00,,Investigator MBH,No-take,49,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-023,-33.9859,121.0884,2022-11-25T07:30:00+08:00,25/11/2022,25,11,2022,730,07:30:00,,Investigator MBH,No-take,70,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-104,-33.9827,121.1152,2022-11-25T07:47:00+08:00,25/11/2022,25,11,2022,747,07:47:00,,Investigator MBH,No-take,72,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-097,-33.9983,121.1386,2022-11-25T08:05:00+08:00,25/11/2022,25,11,2022,805,08:05:00,,Investigator MBH,No-take,72,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-003,-34.0092,121.1405,2022-11-25T08:19:00+08:00,25/11/2022,25,11,2022,819,08:19:00,,Investigator MBH,No-take,70,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-039,-34.0183,121.1523,2022-11-25T08:33:00+08:00,25/11/2022,25,11,2022,833,08:33:00,,Investigator MBH,No-take,71,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-105,-34.0371,121.145,2022-11-25T08:52:00+08:00,25/11/2022,25,11,2022,852,08:52:00,,Investigator MBH,No-take,73,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-079,-34.0574,121.1055,2022-11-25T09:17:00+08:00,25/11/2022,25,11,2022,917,09:17:00,,Investigator MBH,No-take,73,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-106,-34.0697,121.0947,2022-11-25T09:35:00+08:00,25/11/2022,25,11,2022,935,09:35:00,,Investigator MBH,No-take,72,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-031,-34.0804,121.122,2022-11-25T09:53:00+08:00,25/11/2022,25,11,2022,953,09:53:00,,Investigator MBH,No-take,77,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-087,-34.0757,121.1614,2022-11-25T10:14:00+08:00,25/11/2022,25,11,2022,1014,10:14:00,,Investigator MBH,No-take,82,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-043,-34.1006,121.1066,2022-11-25T10:46:00+08:00,25/11/2022,25,11,2022,1046,10:46:00,,Investigator MBH,No-take,84,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-098,-34.1106,121.1604,2022-11-25T11:13:00+08:00,25/11/2022,25,11,2022,1113,11:13:00,,Investigator MBH,No-take,85,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-048,-34.1505,121.1231,2022-11-25T11:44:00+08:00,25/11/2022,25,11,2022,1144,11:44:00,,Investigator MBH,No-take,82,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-032,-34.2071,121.155,2022-11-25T12:19:00+08:00,25/11/2022,25,11,2022,1219,12:19:00,,Investigator MBH,No-take,76.5,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-074,-34.2109,121.1059,2022-11-25T12:48:00+08:00,25/11/2022,25,11,2022,1248,12:48:00,,Investigator MBH,No-take,79,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-055,-34.2316,121.1584,2022-11-25T13:15:00+08:00,25/11/2022,25,11,2022,1315,13:15:00,,Investigator MBH,No-take,73,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-080,-34.2552,121.1198,2022-11-25T13:42:00+08:00,25/11/2022,25,11,2022,1342,13:42:00,,Investigator MBH,No-take,75,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-107,-34.261,121.1201,2022-11-25T13:56:00+08:00,25/11/2022,25,11,2022,1356,13:56:00,,Investigator MBH,No-take,74,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-008,-34.3127,121.0997,2022-11-25T14:27:00+08:00,25/11/2022,25,11,2022,1427,14:27:00,,Investigator MBH,No-take,84,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-064,-34.3173,121.1219,2022-11-25T14:45:00+08:00,25/11/2022,25,11,2022,1445,14:45:00,,Investigator MBH,No-take,82,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-014,-34.3383,121.116,2022-11-25T15:03:00+08:00,25/11/2022,25,11,2022,1503,15:03:00,,Investigator MBH,No-take,85,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-090,-34.3499,121.1568,2022-11-25T15:27:00+08:00,25/11/2022,25,11,2022,1527,15:27:00,,Investigator MBH,No-take,83,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-100,-34.3698,121.1381,2022-11-25T15:54:00+08:00,25/11/2022,25,11,2022,1554,15:54:00,,Investigator MBH,No-take,88,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-075,-34.4175,121.1289,2022-11-25T16:24:00+08:00,25/11/2022,25,11,2022,1624,16:24:00,,Investigator MBH,No-take,85,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-036,-34.4425,121.1388,2022-11-25T16:45:00+08:00,25/11/2022,25,11,2022,1645,16:45:00,,Investigator MBH,No-take,81,,,,,,,,,Unknown,
2022-11_Investigator_stereo-BOSS,INV-DC-084,-34.5012,121.164,2022-11-25T17:21:00+08:00,25/11/2022,25,11,2022,1721,17:21:00,,Investigator MBH,No-take,111,,,,,,,,,Unknown,
