Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,Frame info 1,Frame info 2,Frame info 3,Frame info 4,Frame info 5,Frame info 6,CATAMI_L2_L3,CATAMI_L4,CATAMI_L5,Relief,,,,,Radius %
INC_DC_092.jpg,0,,920,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8
INC_DC_092.jpg,0,,833,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,100
INC_DC_092.jpg,0,,686,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4
INC_DC_092.jpg,0,,1022,397,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6
INC_DC_092.jpg,0,,882,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8
INC_DC_092.jpg,0,,593,588,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1
INC_DC_092.jpg,0,,740,684,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
INC_DC_092.jpg,0,,844,458,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4
INC_DC_092.jpg,0,,580,329,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5
INC_DC_092.jpg,0,,725,340,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2
INC_DC_092.jpg,0,,580,61,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7
INC_DC_092.jpg,0,,732,87,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3
INC_DC_092.jpg,0,,1054,979,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
INC_DC_092.jpg,0,,777,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2
INC_DC_092.jpg,0,,881,1221,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3
INC_DC_092.jpg,0,,978,1488,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9
INC_DC_092.jpg,0,,1038,36,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4
INC_DC_092.jpg,0,,825,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9
INC_DC_092.jpg,0,,901,391,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3
INC_DC_092.jpg,0,,892,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,70
INV_DC_001.jpg,0,,593,1064,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,58.1
INV_DC_001.jpg,0,,1002,197,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,89.5
INV_DC_001.jpg,0,,654,1284,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,47.9
INV_DC_001.jpg,0,,582,522,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,81.1
INV_DC_001.jpg,0,,800,129,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,95.3
INV_DC_001.jpg,0,,823,1274,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,42.6
INV_DC_001.jpg,0,,788,1610,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,32.5
INV_DC_001.jpg,0,,855,953,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,55.5
INV_DC_001.jpg,0,,852,936,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,56.3
INV_DC_001.jpg,0,,692,663,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,72.2
INV_DC_001.jpg,0,,811,198,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,91.8
