opcode,latitude_dd,longitude_dd,date_time_raw,date_raw,time_raw,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_relief_forward,successful_habitat_backward,successful_relief_backward,observer_habitat_forward,observer_habitat_backward,System_number,left_camera,right_camera,rear_camera,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
CP1,-33.96517671,120.9360327,2022-11-03 06:59:11,2022-11-03,06:59:11,2022-11-03T06:59:11Z,Investigator Island,Eastern Recherche,No-take,27.9,Yes,No,Daniel Agnello,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Brooke Gibbons,5,35,36,23,BU1,6/12/2023,,,"shown INV-BV-35, but is CP1. Right cam is on an angle so cal is off. BRUV got stuck and retreived the next day. Rope and kelp obstructs the left cam all video, as we cant get lengths from the video, habitat image and maxn was done off right cam"
CP2,-33.96610615,120.9326288,2022-11-03 07:01:54,2022-11-03,07:01:54,2022-11-03T07:01:54Z,Investigator Island,Eastern Recherche,No-take,43.6,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,38,37,24,BU1,7/12/2023,Alex McLennan,15/01/2024,Showed camera INV-BV-55. Showed camera L37 R38. Metadata says L38 R37. Cals only work L37 R38. is this a typo in the metadata?
CP3,-33.96994272,120.9004951,2022-11-03 07:15:42,2022-11-03,07:15:42,2022-11-03T07:15:42Z,Investigator Island,Eastern Recherche,No-take,49.8,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,BU1,7/12/2023,Alex McLennan,15/01/2024,
CP4,-33.97750151,120.9150978,2022-11-03 07:25:03,2022-11-03,07:25:03,2022-11-03T07:25:03Z,Investigator Island,Eastern Recherche,No-take,46.7,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,BU1,7/12/2023,Alex McLennan,12/01/2024,Dolphins at waters surface when retrieving BRUV
INV-BV-02,-33.92375,121.05875,2022-11-04 04:01:53,2022-11-04,04:01:53,2022-11-04T04:01:53Z,Investigator Island,Eastern Recherche,No-take,38.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,BU1,27/11/2023,Daniel Agnello,09/01/2024,
INV-BV-03,-34.02375,120.95625,2022-11-03 03:51:28,2022-11-03,03:51:28,2022-11-03T03:51:28Z,Investigator Island,Eastern Recherche,No-take,60.7,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,38,37,24,BU1,30/11/2023,Alex McLennan,15/01/2024,Showed camera L37 R38. Metadata says L38 R37. Cals only work L37 R38. is this a typo in the metadata? Black spot dissease multiple on E.gerrardi
INV-BV-05,-34.03111308,120.9263512,2022-11-03 03:20:04,2022-11-03,03:20:04,2022-11-03T03:20:04Z,Investigator Island,Eastern Recherche,No-take,58.9,Yes,No,Daniel Agnello,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,BU1,28/11/2023,,,32 not recording on retrieve (did not record at all - no right camera)
INV-BV-07,-34.04886,120.94125,2022-11-03 01:12:31,2022-11-03,01:12:31,2022-11-03T01:12:31Z,Investigator Island,Eastern Recherche,No-take,57.7,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,38,37,24,BU1,20/11/2023,Alex McLennan,10/01/2024,Showed camera INV-BV-62 L37 R38. Metadata says L38 R37. Cals only work L37 R38. is this a typo in the metadata?
INV-BV-09,-33.93625,120.98375,2022-11-04 02:03:40,2022-11-04,02:03:40,2022-11-04T02:03:40Z,Investigator Island,Eastern Recherche,No-take,41.3,No,No,Ryan Simms,Ryan Simms,Yes,Yes,Yes,No,Yes,Yes,Brooke Gibbons,Brooke Gibbons,4,33,34,22,BU1,7/11/2024,Daniel Agnello,8/11/2024,Facing up (forwards) backwards image is fine 
INV-BV-11,-34.03604,120.9485867,2022-11-03 03:12:21,2022-11-03,03:12:21,2022-11-03T03:12:21Z,Investigator Island,Eastern Recherche,No-take,45.5,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,BU1,28/11/2023,Alex McLennan,12/01/2024,"Bait bag obscured, 35 species recorded! - really cool BRUV, check comments in points"
INV-BV-14,-34.043595,120.9337917,2022-11-03 01:23:17,2022-11-03,01:23:17,2022-11-03T01:23:17Z,Investigator Island,Eastern Recherche,No-take,53.8,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,BU1,27/11/2023,Alex McLennan,10/01/2024,Hammerhead
INV-BV-17,-33.99125,120.90875,2022-11-03 06:37:22,2022-11-03,06:37:22,2022-11-03T06:37:22Z,Investigator Island,Eastern Recherche,No-take,50,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,BU1,4/12/2023,Alex McLennan,15/01/2024,
INV-BV-20,-34.04372603,120.9536963,2022-11-03 01:32:12,2022-11-03,01:32:12,2022-11-03T01:32:12Z,Investigator Island,Eastern Recherche,No-take,57.9,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,BU1,27/11/2023,Alex McLennan,10/01/2024,
INV-BV-22,-33.9763802,120.9337514,2022-11-03 06:49:04,2022-11-03,06:49:04,2022-11-03T06:49:04Z,Investigator Island,Eastern Recherche,No-take,47.3,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,BU1,6/12/2023,Alex McLennan,15/01/2024,
INV-BV-24,-33.92866816,121.0312282,2022-11-04 02:27:35,2022-11-04,02:27:35,2022-11-04T02:27:35Z,Investigator Island,Eastern Recherche,No-take,46.3,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,42,41,26,BU1,09/01/2024,Alex McLennan,17/01/2024,Reef blocks midground of right cam but fish can still be measured
INV-BV-25,-34.07025833,120.9498167,2022-11-03 00:40:48,2022-11-03,00:40:48,2022-11-03T00:40:48Z,Investigator Island,Eastern Recherche,No-take,50.5,No,No,,,No,Yes,No,No,No,No,,Brooke Gibbons,1,27,28,19,BU organised not RAW,,,,Facing up
INV-BV-26,-33.9438414,120.9713517,2022-11-04 01:56:21,2022-11-04,01:56:21,2022-11-04T01:56:21Z,Investigator Island,Eastern Recherche,No-take,45.5,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,BU1,11/12/2023,Alex McLennan,16/01/2024,Seadragon
INV-BV-27,-34.00131032,120.9309073,2022-11-03 04:11:58,2022-11-03,04:11:58,2022-11-03T04:11:58Z,Investigator Island,Eastern Recherche,No-take,48.8,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,BU1,1/12/2023,Alex McLennan,15/01/2024,
