catami_l2_l3,catami_l4,catami_l5
Unscorable,NA,NA
Macroalgae > Large canopy-forming,Brown,Scytothalia dorycarpa
Substrate > Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm)
Substrate > Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments)
Bryozoa > Soft,Foliaceous,NA
Substrate > Unconsolidated (soft),NA,NA
Substrate > Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm)
Macroalgae > Erect coarse branching,Red,NA
Macroalgae > Erect fine branching,Red,NA
Macroalgae > Erect coarse branching,NA,NA
Macroalgae > Erect fine branching,NA,NA
Macroalgae > Filamentous / filiform,Red,NA
Sponges > Massive forms,Simple,NA
Matrix > Bryozoa / Cnidaria Matrix,NA,NA
Matrix > Mixed Sessile Invertebrate,NA,NA
Cnidaria > Corals,Black & Octocorals,Fan (2D)
Sponges > Erect forms,Laminar,NA
Macroalgae > Erect coarse branching,Brown,NA
Sponges > Massive forms,Cryptic,NA
Sponges > Erect forms,Simple,NA
Bryozoa > Soft,Dendroid,NA
Macroalgae > Erect fine branching,Green,NA
Sponges > Crusts,Encrusting,NA
Substrate > Consolidated (hard),Boulders,NA
Macroalgae,NA,NA
Macroalgae > Large canopy-forming,Brown,Ecklonia radiata
Substrate > Consolidated (hard),Cobbles,NA
Macroalgae > Large canopy-forming,Brown,Unidentifiable
Bryozoa > Hard,Branching,NA
Macroalgae > Filamentous / filiform,Green,NA
Cnidaria > Hydroids,NA,NA
Sponges > Erect forms,Branching,NA
Bryozoa > Hard,Fenestrate,NA
Sponges > Cup-likes,Barrels,NA
Cnidaria > Corals,Black & Octocorals,Branching (3D)
Macroalgae > Encrusting,Red,Calcareous
Macroalgae > Articulated calcareous,Red,Articulated Calcareous Red
Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments)
Sponges > Cup-likes,Cups,NA
Macroalgae > Articulated calcareous,Red,NA
General Unknown Biology,NA,NA
Macroalgae > Erect coarse branching,Green,NA
Macroalgae > Encrusting,Red,NA
Macroalgae > Filamentous / filiform,NA,NA
Substrate > Consolidated (hard),Rock,NA
Sponges,NA,NA
Ascidians > Stalked,Solitary,NA
Sponges > Massive forms,Balls,NA
Sponges > Cup-likes,Cups,Tables / discs
