Sample,Latitude,Longitude,Date.time,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,Observer.length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,System_number,left_cam,right_cam,rear_cam,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
SAL-BV-D08,-34.34624401,123.561841,22/11/2022 6:52,20221122,14:52:00,Salisbury Island,Eastern Recherche,Fished,33.7,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,24/10/2023,Claude Spencer,10/11/2023,
SAL-BV-D07,-34.34974407,123.5619386,22/11/2022 6:47,20221122,14:47:00,Salisbury Island,Eastern Recherche,Fished,32.3,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,26/10/2023,Claude Spencer,14/11/2023,Housing 43 but camera 36 - use post CAL
SAL-BV-D06,-34.35493861,123.5661515,22/11/2022 6:36,20221122,14:36:00,Salisbury Island,Eastern Recherche,Fished,41.6,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,31/10/2023,Claude Spencer,14/11/2023,
SAL-BV-D05,-34.35874449,123.5636954,22/11/2022 6:30,20221122,14:30:00,Salisbury Island,Eastern Recherche,Fished,49.1,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,25/10/2023,Claude Spencer,10/11/2023,
SAL-BV-D04,-34.36384065,123.5590472,22/11/2022 6:28,20221122,14:28:00,Salisbury Island,Eastern Recherche,Fished,39.2,Yes,Yes,Alex McLennan,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,RAW2,2/11/2023,Claude Spencer,8/11/2023,
SAL-BV-D03,-34.3663338,123.5575982,22/11/2022 6:23,20221122,14:23:00,Salisbury Island,Eastern Recherche,Fished,55.1,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,17/10/2023,Claude Spencer,9/11/2023,Depth and location may be slightly off
SAL-BV-D02,-34.36921229,123.5598427,22/11/2022 6:18,20221122,14:18:00,Salisbury Island,Eastern Recherche,Fished,71.9,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,11/10/2023,Claude Spencer,3/11/2023,
SAL-BV-D01,-34.37281759,123.571581,22/11/2022 6:11,20221122,14:11:00,Salisbury Island,Eastern Recherche,Fished,80.2,Yes,Yes,Daniel Agnello,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,25/10/2323,Alex McLennan,7/11/2023,D = Doc's choice. Three unknown sps - All commented with suggestions and all unmeasurable
SAL-BV-C13,-34.3466204,123.6296098,22/11/2022 4:17,20221122,12:17:00,Salisbury Island,Eastern Recherche,Fished,78.2,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,25/10/2023,Claude Spencer,10/11/2023,
SAL-BV-C12,-34.34719439,123.6530581,22/11/2022 4:08,20221122,12:08:00,Salisbury Island,Eastern Recherche,Fished,80.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,10/10/2023,Claude Spencer,3/11/2023,"Sounder looks good, check P.chrysopleuron ID - unsure if species exists in Esperance?"
