Dot Point Measurements

Generated: Monday 26 May 2025 15:36:26

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
FIG-BV-01_1_X.JPG	      0		3639	2875											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Sponges								9.4
FIG-BV-01_1_X.JPG	      0		3652	1233											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Sponges								65.9
FIG-BV-01_1_X.JPG	      0		2842	2569											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Sessile invertebrates								38.8
FIG-BV-01_1_X.JPG	      0		3385	4598											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Sessile invertebrates								56.0
FIG-BV-01_1_X.JPG	      0		3248	5324											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Sessile invertebrates								82.2
FIG-BV-01_1_X.JPG	      0		4205	5075											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							72.3
FIG-BV-01_1_X.JPG	      0		3944	562											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							89.6
FIG-BV-01_1_X.JPG	      0		2679	2004											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Unscorable								55.5
FIG-BV-01_1_X.JPG	      0		4796	5206											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							83.3
FIG-BV-01_1_X.JPG	      0		4674	3340											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Sponges								32.1
FIG-BV-01_1_X.JPG	      0		3269	3340											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							21.3
FIG-BV-01_1_X.JPG	      0		4685	883											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							84.1
FIG-BV-01_1_X.JPG	      0		3452	2561											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							22.4
FIG-BV-01_1_X.JPG	      0		4441	791											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Unscorable								84.4
FIG-BV-01_1_X.JPG	      0		4232	4311											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							46.3
FIG-BV-01_1_X.JPG	      0		4319	2569											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Sponges								25.7
FIG-BV-01_1_X.JPG	      0		2859	5100											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Bryozoa								79.3
FIG-BV-01_1_X.JPG	      0		4414	333											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							100.0
FIG-BV-01_1_X.JPG	      0		2723	3779											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							45.8
FIG-BV-01_1_X.JPG	      0		4696	5159											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-01	1					Substrate	Unconsolidated (soft)							80.3
FIG-BV-02-1_X.JPG	      0		3258	3905											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae								65.8
FIG-BV-02-1_X.JPG	      0		4646	1123											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				36.8
FIG-BV-02-1_X.JPG	      0		4541	3062											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				42.2
FIG-BV-02-1_X.JPG	      0		3956	583											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				43.9
FIG-BV-02-1_X.JPG	      0		4495	2631											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				30.3
FIG-BV-02-1_X.JPG	      0		4682	157											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				63.4
FIG-BV-02-1_X.JPG	      0		4256	2081											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				13.7
FIG-BV-02-1_X.JPG	      0		4279	2935											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				34.7
FIG-BV-02-1_X.JPG	      0		4474	162											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				60.8
FIG-BV-02-1_X.JPG	      0		4219	2883											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Sargassum spp				32.4
FIG-BV-02-1_X.JPG	      0		3251	423											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata				52.6
