Dot Point Measurements

Generated: Tuesday 27 May 2025 08:35:24

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		653	711											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Unscorable								39.8
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		817	441											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							62.4
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		575	444											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Unscorable								63.9
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		699	5											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							100.0
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		739	615											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							47.2
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		889	1483											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							30.1
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		549	1867											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Unscorable								63.7
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		649	1341											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Unscorable								18.2
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		762	1171											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Unscorable								1.0
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		1062	133											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							92.6
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		730	1869											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							61.3
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		667	1723											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Unscorable								49.3
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		996	1432											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							31.2
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		774	993											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							14.5
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		964	1640											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							45.1
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		676	1397											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Unscorable								21.7
FIG-BV-01__01_20240525_BRUV_9_L31_GX010069.MP4_0141829.jpg	      0		885	876											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-01	1					Substrate	Unconsolidated (soft)							26.9
