OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
Inside_1_15_Pilchard	Aidan	20		Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights	No	Drop Date	23/05/2013	Bait Arm Length	1.5	Camera Hight	500
Inside_1_25_pilchards	Aidan	29.2		Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Types	Canon HFM 52 0.66x Wide	Camera Pairs	284 285	Lights	No	Drop Date	30/05/2013	Bait Arm Length	1.5	Camera Hight	500
Inside_1_5_Pilchards	Aidan	9	Ask about Geogianus????????	Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	283 282	Lights	No	Drop Date	30/05/2013	Bait Arm Length	1.5	Camera Hight	500
Inside_2_15_Pilchards	Aidan	14		Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights	No	Drop Date	21/06/2013	Bait Arm Length	1.5	Camera Hight	500
INSIDE_2_25_PILCHARDS	Aidan	32		Survey - Project	Governor Island - Aidans Honours	Bait Type	Plichards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights	No	Drop Date	30/05/2013	Bait Arm Length	1.5	Camera Hight	500
Inside_2_5_Pilchards	Aidan	9	282 Battery Died after 10mins, Kelp	Survey - Project	Governor Island - Aidans Honours	Bait Types	Pilchards Crushed	Camera Types	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights	No	Drop Date	22/05/2013	Bait Arm Length	1.5	Camera Hight	500
Inside_3_15_Pilchards	Aidan	18	Fisherman nearby	Survey - Project	Governor Island - Aidans Honours	Bait Type	Plichards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights	No	Drop Date	30/05/2013	Bait Arm Length	1.5	Camera Hight	500
Inside_3_25_Pilchards	Aidan	28		Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights	No	Drop Date	31/05/2013	Bait Arm Length	1500	Camera Hight	500
Inside_3_5_Pilchards	Aidan	10		Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights	No	Drop Date	30/05/2013	Bait Arm Length	1.5	Camera Hight	500
Inside_4_15_Pilchards	Aidan	19		Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights	No	Drop Date	31/05/2013	Bait Arm Length	1500	Camera Hight	500
Inside_4_25_Pilchards	Aidan	32	Facing Sand	Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights	No	Drop Date	30/05/2013	Bait Arm Length	1500	Camera Hight	500
Inside_4_5_Pilchards	Aidan	7		Survey - Project	Governor Island - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights	no	Drop Date	22/05/2013	Bait Arm Length	1500	Camera Hight	500
Outside_1_15_Pilchards	Aidan	18		Survey - Project	Cape Lodi - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights	No	Drop Date	21/05/2013	Bait Arm Length	1500	Camera Hight	500
Outside_1_25_Pilchards	Aidan	34		Survey - Project	Cape Lodi - Aidans Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights	no	Drop Date	21/06/2013	Bait Arm Length	1500	Camera Hight	500
Outside_2_15_Pilchards	Aidan	Aidan		Survey - Project	Cape Lodi - Adians Honours	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights	no	Drop Date	30/05/2013	Bait Arm Length	1500	Camera Hight	500
