OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
APO_001	Scott Gray	-64.82		Latitude	-38.92799828	Longitude	143.5194884	Date	14/06/2021	Time	10:11	MPAStatus	MP	Site	Apollo Bay	Year	2021	Spare	Lights
APO_002	Scott Gray	-54.78		Latitude	-38.9138801	Longitude	143.5098785	Date	14/06/2021	Time	9:50	MPAStatus	MP	Site	Apollo Bay	Year	2021	Spare	Rubble, Invertebrates, Sand
APO_003	Scott Gray	59.78	Lights	Latitude	-38.92494358	Longitude	143.5159757	Date	14/06/2021	Time	10:07	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_004	Scott Gray	54.34		Latitude	-38.91826939	Longitude	143.5171301	Date	14/06/2021	Time	9:44	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Reef, Sponge
APO_005	Scott Gray	69.54	Lights	Latitude	-38.9289975	Longitude	143.524945	Date	14/06/2021	Time	10:15	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_006	Scott Gray	53.85	Lights	Latitude	-38.91451806	Longitude	143.5048102	Date	15/06/2021	Time	14:12	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Reef, Sponge
APO_007	Scott Gray	54.08		Latitude	-38.91446896	Longitude	143.5174201	Date	14/06/2021	Time	9:47	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Reef, Sponge
APO_008	Scott Gray	63.26		Latitude	-38.91964739	Longitude	143.5218293	Date	14/06/2021	Time	9:42	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge, Reef patches
APO_009	Scott Gray	52.99		Latitude	-38.92049873	Longitude	143.5104578	Date	14/06/2021	Time	9:59	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Reef, Sponge
APO_010	Scott Gray	58.74	Lights	Latitude	-38.92656863	Longitude	143.5080651	Date	14/06/2021	Time	10:03	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_011	Scott Gray	70.95		Latitude	-38.93760736	Longitude	143.5217666	Date	14/06/2021	Time	12:00	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge, Scattered reef
APO_012	Scott Gray	66.48	Lights	Latitude	-38.94150569	Longitude	143.508107	Date	14/06/2021	Time	12:48	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_013	Scott Gray	75.09	Lights	Latitude	-38.95304222	Longitude	143.5166972	Date	14/06/2021	Time	12:08	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_014	Scott Gray	64.98		Latitude	-38.9446462	Longitude	143.5145632	Date	14/06/2021	Time	12:25	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Reef, Sponge
APO_015	Scott Gray	70.1		Latitude	-38.95322675	Longitude	143.5110588	Date	14/06/2021	Time	12:11	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sponge
APO_016	Scott Gray	65.28		Latitude	-38.94471013	Longitude	143.5032129	Date	14/06/2021	Time	12:19	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_017	Scott Gray	75.15	Lights	Latitude	-38.94677217	Longitude	143.5224181	Date	14/06/2021	Time	12:04	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_018	Scott Gray	69.46	Lights	Latitude	-38.95379492	Longitude	143.5065876	Date	15/06/2021	Time	14:00	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Reef, Sponge
APO_019	Scott Gray	61.05	Lights	Latitude	-38.9383985	Longitude	143.5047276	Date	14/06/2021	Time	12:45	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_020	Scott Gray	68.75		Latitude	-38.94549409	Longitude	143.5086085	Date	14/06/2021	Time	12:22	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_021	Scott Gray	76.93	Lights	Latitude	-38.92904778	Longitude	143.5432448	Date	15/06/2021	Time	13:46	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_022	Scott Gray	74.26	Lights	Latitude	-38.9200127	Longitude	143.5455736	Date	14/06/2021	Time	14:10	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_023	Scott Gray	65.88	Lights	Latitude	-38.91789589	Longitude	143.5353245	Date	14/06/2021	Time	14:06	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_024	Scott Gray	73.73		Latitude	-38.92686787	Longitude	143.532159	Date	14/06/2021	Time	13:54	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_025	Scott Gray	77.01		Latitude	-38.92454577	Longitude	143.5452176	Date	14/06/2021	Time	14:12	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_026	Scott Gray	62.69		Latitude	-38.91778033	Longitude	143.5295293	Date	14/06/2021	Time	14:03	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Reef, Sponge
APO_027	Scott Gray	74.71		Latitude	-38.93021295	Longitude	143.5353694	Date	15/06/2021	Time	13:49	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_028	Scott Gray	71.99		Latitude	-38.92123832	Longitude	143.5380808	Date	14/06/2021	Time	14:00	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_029	Scott Gray	72.01		Latitude	-38.92400328	Longitude	143.5356899	Date	14/06/2021	Time	13:58	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	
APO_030	Scott Gray	77.64	Lights	Latitude	-38.92874003	Longitude	143.548942	Date	15/06/2021	Time	13:44	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_031	Scott Gray	74.88		Latitude	-38.9428436	Longitude	143.5650766	Date	15/06/2021	Time	11:52	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Invertebrates
APO_032	Scott Gray	77.01		Latitude	-38.94103251	Longitude	143.552435	Date	15/06/2021	Time	12:16	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_033	Scott Gray	78.43	Lights	Latitude	-38.94616391	Longitude	143.5558281	Date	15/06/2021	Time	12:13	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Invertebrates
APO_034	Scott Gray	75.36		Latitude	-38.94422792	Longitude	143.5684953	Date	15/06/2021	Time	11:55	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_035	Scott Gray	80.09	Lights	Latitude	-38.95177587	Longitude	143.5512001	Date	15/06/2021	Time	12:09	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_036	Scott Gray	75.77		Latitude	-38.95040076	Longitude	143.5631108	Date	15/06/2021	Time	12:03	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_037	Scott Gray	74.46		Latitude	-38.94662769	Longitude	143.5644767	Date	15/06/2021	Time	12:01	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_038	Scott Gray	76.46	Lights	Latitude	-38.93762869	Longitude	143.5698711	Date	15/06/2021	Time	11:47	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_039	Scott Gray	75.96		Latitude	-38.95153435	Longitude	143.5582595	Date	15/06/2021	Time	12:05	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Invertebrates
APO_040	Scott Gray	75.98	Lights	Latitude	-38.93777239	Longitude	143.5650812	Date	15/06/2021	Time	11:50	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Sponge
APO_041	Scott Gray	76.87	Lights	Latitude	-38.92831938	Longitude	143.6121707	Date	15/06/2021	Time	10:15	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_042	Scott Gray	77.25	Lights	Latitude	-38.92655138	Longitude	143.6211445	Date	15/06/2021	Time	10:11	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_043	Scott Gray	78.06		Latitude	-38.92256159	Longitude	143.6126475	Date	15/06/2021	Time	9:54	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_044	Scott Gray	79.07		Latitude	-38.92342275	Longitude	143.6242993	Date	15/06/2021	Time	10:08	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_045	Scott Gray	77.78		Latitude	-38.91308211	Longitude	143.6216389	Date	15/06/2021	Time	9:43	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	
APO_046	Scott Gray	78.13	Lights	Latitude	-38.9159008	Longitude	143.6161287	Date	15/06/2021	Time	9:46	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_047	Scott Gray	76.8		Latitude	-38.91685677	Longitude	143.6251699	Date	15/06/2021	Time	10:02	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_048	Scott Gray	76.87		Latitude	-38.92014837	Longitude	143.6190174	Date	15/06/2021	Time	9:58	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_049	Scott Gray	77.67		Latitude	-38.92032968	Longitude	143.6269818	Date	15/06/2021	Time	10:05	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand
APO_050	Scott Gray	77.16	Lights	Latitude	-38.9180188	Longitude	143.6074832	Date	15/06/2021	Time	9:50	MPAStatus	Fished	Site	Apollo Bay CMP	Year	2021	Spare	Sand, Reef, Sponge
