OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
APO_001	0	20210614_APO_001_Rig9_9L (1).MP4	7828	20210614_APO_001_Rig9_9R (1).MP4	6070	4.35324	Analysis	1.39918	197.56700	2.17565	1.09790	1489.85584	21.40468	18.67044	2.78543	530.23773	-120.36243	-1387.09454	Labridae	Pseudolabrus	rubicundus	37384023	1	AD	Passing			
APO_001	1	20210614_APO_001_Rig9_9L (1).MP4	7828	20210614_APO_001_Rig9_9R (1).MP4	6070	4.35324	Analysis	1.39918	208.34164	2.52886	2.19033	1824.95626	3.12312	15.83490	15.37387	24.95593	-96.24406	-1822.24577	Labridae	Pseudolabrus	rubicundus	37384023	1	AD	Passing			
APO_001	2	20210614_APO_001_Rig9_9L (1).MP4	7828	20210614_APO_001_Rig9_9R (1).MP4	6070	4.35324	Analysis	1.39918	179.63251	1.78442	2.29225	1979.99815	2.24219	6.10877	18.05941	-23.39977	73.84589	-1978.48222	Labridae	Pseudolabrus	rubicundus	37384023	1	AD	Passing			
APO_001	3	20210614_APO_001_Rig9_9L (1).MP4	7856	20210614_APO_001_Rig9_9R (1).MP4	6098	4.36881	Analysis	1.41475	160.33252	1.72625	1.57500	1625.57276	16.45907	0.77436	6.46872	367.88798	-277.10447	-1558.96066	Labridae	Pseudolabrus	rubicundus	37384023	1	AD	Passing			
APO_001	4	20210614_APO_001_Rig9_9L (1).MP4	16693	20210614_APO_001_Rig9_9R (1).MP4	14935	9.28316	Analysis	6.32910	181.27968	1.23468	1.66174	1009.26050	15.94245	27.66902	7.57856	-219.64198	169.13219	-970.44240	Serranidae	Caesioperca		37311919	1	AD	Passing			
APO_001	5	20210614_APO_001_Rig9_9L (1).MP4	16717	20210614_APO_001_Rig9_9R (1).MP4	14959	9.29651	Analysis	6.34245	224.13441	2.50906	2.45543	1420.41595	10.31999	29.97152	14.11276	182.90919	176.90286	-1397.43732	Serranidae	Caesioperca		37311919	1	AD	Passing			
APO_001	6	20210614_APO_001_Rig9_9L (1).MP4	16802	20210614_APO_001_Rig9_9R (1).MP4	15044	9.34378	Analysis	6.38972	194.77927	0.98711	0.39152	1065.42080	1.68112	12.92510	15.20827	30.17899	8.13470	-1064.96222	Serranidae	Caesioperca		37311919	1	AD	Passing			
APO_001	7	20210614_APO_001_Rig9_9L (1).MP4	16820	20210614_APO_001_Rig9_9R (1).MP4	15062	9.35379	Analysis	6.39973	218.67311	1.39914	2.93103	1412.27889	22.30795	5.92644	16.50972	-369.85648	388.05566	-1306.57975	Serranidae	Caesioperca		37311919	1	AD	Passing			
APO_001	8	20210614_APO_001_Rig9_9L (1).MP4	17821	20210614_APO_001_Rig9_9R (1).MP4	16063	9.91046	Analysis	6.95639	284.35400	2.56476	6.24250	2174.37355	9.25101	9.99385	27.78029	-197.12972	288.66332	-2146.09266	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
APO_001	9	20210614_APO_001_Rig9_9L (1).MP4	17840	20210614_APO_001_Rig9_9R (1).MP4	16082	9.92102	Analysis	6.96696	415.73104	1.71865	1.74360	1838.82557	9.93796	1.37170	3.97344	165.10759	271.01485	-1811.23436	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
APO_001	10	20210614_APO_001_Rig9_9L (2).MP4	16112	20210614_APO_001_Rig9_9R (2).MP4	14354	26.59435	Analysis	23.64028	411.06498	1.48350	7.05930	1496.16168	5.31823	12.46787	43.83750	135.39246	29.99605	-1489.72107	Moridae	Pseudophycis		37224916	1	AD	Passing			
APO_001	11	20210614_APO_001_Rig9_9L (2).MP4	16112	20210614_APO_001_Rig9_9R (2).MP4	14354	26.59435	Analysis	23.64028	489.00891	2.34356	3.02126	1998.27985	7.10929	11.07213	33.63279	-183.48231	165.82321	-1982.91686	Moridae	Pseudophycis		37224916	1	AD	Passing			
APO_001	12	20210614_APO_001_Rig9_9L (2).MP4	16155	20210614_APO_001_Rig9_9R (2).MP4	14397	26.61826	Analysis	23.66420	497.81615	4.63445	6.89975	2076.99873	8.03342	25.93831	19.02377	286.69779	45.34856	-2056.61655	Moridae	Pseudophycis		37224916	1	AD	Passing			
APO_001	13	20210614_APO_001_Rig9_9L (2).MP4	31357	20210614_APO_001_Rig9_9R (2).MP4	29599	35.07226	Analysis	32.11820	363.02960	2.10085	2.14544	1786.84514	21.81803	1.20443	4.83343	483.97953	454.74307	-1658.85144	Cheilodactylidae	Nemadactylus	macropterus		1	AD	Passing			
APO_001	14	20210614_APO_001_Rig9_9L (3).MP4	30564	20210614_APO_001_Rig9_9R (3).MP4	28806	52.26555	Analysis	49.31148	362.24846	1.08462	2.03209	1244.17862	7.22611	5.34882	33.47282	152.92527	33.25599	-1234.29670	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
APO_001	15	20210614_APO_001_Rig9_9L (3).MP4	30564	20210614_APO_001_Rig9_9R (3).MP4	28806	52.26555	Analysis	49.31148	352.86796	1.21168	1.90492	1162.24727	15.66092	10.58873	16.65975	303.40464	-79.87062	-1119.10009	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
APO_001	16	20210614_APO_001_Rig9_9L (4).MP4	1164	20210614_APO_001_Rig9_9R (3).MP4	31116	53.55016	Analysis	50.59610	394.62855	1.49467	3.73819	1394.58044	16.52774	2.19954	19.85282	386.12802	-91.10135	-1336.95935	Berycidae	Centroberyx	gerrardi	37258004	1	AD	Passing			
APO_001	17	20210614_APO_001_Rig9_9L (4).MP4	1164	20210614_APO_001_Rig9_9R (3).MP4	31116	53.55016	Analysis	50.59610	356.81407	5.09638	9.81439	2485.26191	24.92549	13.73777	3.99740	1001.74937	305.80638	-2253.77625	Berycidae	Centroberyx	gerrardi	37258004	1	AD	Passing			
APO_001	18	20210614_APO_001_Rig9_9L (4).MP4	1475	20210614_APO_001_Rig9_9R (3).MP4	31427	53.72311	Analysis	50.76905	290.81886	3.47954	3.69984	2075.59862	12.73548	17.47769	10.96450	285.78374	357.34364	-2024.53521	Berycidae	Centroberyx	gerrardi	37258004	1	AD	Passing			
APO_001	19	20210614_APO_001_Rig9_9L (4).MP4	2677	20210614_APO_001_Rig9_9R (4).MP4	919	54.39156	Analysis	51.43750	694.84534	1.85157	0.46236	1308.12803	6.52534	20.27877	14.85384	122.37779	84.39915	-1299.65357	Cheilodactylidae	Nemadactylus	valenciennesi		1	AD	Passing			
APO_001	20	20210614_APO_001_Rig9_9L (4).MP4	7390	20210614_APO_001_Rig9_9R (4).MP4	5632	57.01251	Analysis	54.05845	115.07190	2.65616	2.71545	1478.67133	16.20412	32.18512	9.71822	-251.76752	326.93031	-1419.92908	Carangidae	Trachurus		37337907	1	AD	Passing			
APO_001	21	20210614_APO_001_Rig9_9L (4).MP4	7397	20210614_APO_001_Rig9_9R (4).MP4	5639	57.01640	Analysis	54.06234	1834.88472	4.21207	3.84521	1699.81353	16.76582	33.84025	16.06466	297.23503	389.96678	-1627.55746	Hexanchidae	Notorynchus	cepedianus	37005002	1	AD	Passing			
APO_001	22	20210614_APO_001_Rig9_9L (4).MP4	8812	20210614_APO_001_Rig9_9R (4).MP4	7054	57.80330	Analysis	54.84924	1476.39485	3.70805	1.89360	2093.45426	17.60673	11.94861	14.85159	585.98405	240.01096	-1995.38672	Triakidae	Mustelus	antarcticus	37017001	1	AD	Passing			
APO_001	23	20210614_APO_001_Rig9_9L (4).MP4	13355	20210614_APO_001_Rig9_9R (4).MP4	11597	60.32971	Analysis	57.37565	240.31850	1.62474	1.35990	1103.31938	12.77490	34.52019	20.54334	-234.26013	68.13403	-1076.00817	Monacanthidae	Meuschenia	scaber	37465005	1	AD	Passing			
APO_001	24	20210614_APO_001_Rig9_9L (4).MP4	13383	20210614_APO_001_Rig9_9R (4).MP4	11625	60.34528	Analysis	57.39122	230.94778	1.59492	2.17273	1296.45449	10.49200	25.13523	41.82256	232.99630	-38.04543	-1274.77822	Monacanthidae	Meuschenia	scaber	37465005	1	AD	Passing			
