OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
APO_001	0	Analysis	20210614_APO_001_Rig9_9L (1).MP4	5312	2.95406				0
APO_002	0	Analysis	20210614_APO_002_Rig4_4L (1).MP4	5308	2.95184				0
APO_003	0	Analysis	20210614_APO_003_Rig8_8L (1).MP4	5079	2.82449				0
APO_004	0	Analysis	20210614_APO_004_Rig2_2L (1).MP4	4531	2.51974				0
APO_005	0	Analysis	20210614_APO_005_Rig10_10L (1).MP4	5769	3.20820				0
APO_006	0	Analysis	20210615_APO_006_Rig10_10L (1).MP4	8603	4.78422				0
APO_007	0	Analysis	20210614_APO_007_Rig3_3L (1).MP4	4129	2.29618				0
APO_008	0	Analysis	20210614_APO_008_Rig1_1L (1).MP4	11980	6.66221				0
APO_009	0	Analysis	20210614_APO_009_Rig6_6L (1).MP4	5786	3.21766				0
APO_010	0	Analysis	20210614_APO_010_Rig7_7L (1).MP4	5775	3.21154				0
APO_011	0	Analysis	20210614_APO_011_Rig3_3L (1).MP4	3685	2.04927				0
APO_012	0	Analysis	20210614_APO_012_Rig10_10L (1).MP4	4364	2.42687				0
APO_013	0	Analysis	20210614_APO_013_Rig7_7L (1).MP4	4505	2.50528				0
APO_014	0	Analysis	20210614_APO_014_Rig1_1L (1).MP4	5273	2.93237				0
APO_015	0	Analysis	20210614_APO_015_Rig6_6L (1).MP4	3769	2.09598				0
APO_016	0	Analysis	20210614_APO_016_Rig4_4L (1).MP4	6135	3.41174				0
APO_017	0	Analysis	20210614_APO_017_Rig8_8L (1).MP4	8132	4.52230				0
APO_018	0	Analysis	20210615_APO_018_Rig9_9L (1).MP4	12082	6.71893				0
APO_019	0	Analysis	20210614_APO_019_Rig9_9L (1).MP4	8175	4.54621				0
APO_020	0	Analysis	20210614_APO_020_Rig2_2L (1).MP4	5416	3.01190				0
APO_021	0	Analysis	20210615_APO_021_Rig7_7L (1).MP4	4688	2.60705				0
APO_022	0	Analysis	20210614_APO_022_Rig8_8L (1).MP4	6177	3.43510				0
APO_023	0	Analysis	20210614_APO_023_Rig7_7L (1).MP4	3847	2.13936				0
APO_024	0	Analysis	20210614_APO_024_Rig2_2L (1).MP4	4546	2.52808				0
APO_025	0	Analysis	20210614_APO_025_Rig3_3L (1).MP4	5107	2.84006				0
APO_026	0	Analysis	20210614_APO_026_Rig6_6L (1).MP4	5043	2.80447				0
APO_027	0	Analysis	20210615_APO_027_Rig1_1L (1).MP4	4166	2.31676				0
APO_028	0	Analysis	20210614_APO_028_Rig5_5L (1).MP4	3450	1.91858				0
APO_029	0	Analysis	20210614_APO_029_Rig4_4L (1).MP4	4750	2.64153				0
APO_030	0	Analysis	20210615_APO_030_Rig8_8L (1).MP4	3911	2.17495				0
APO_031	0	Analysis	20210615_APO_031_Rig1_1L (1).MP4	4622	2.57035				0
APO_032	0	Analysis	20210615_APO_032_Rig3_3L (1).MP4	5885	3.27271				0
APO_033	0	Analysis	20210615_APO_033_Rig8_8L (1).MP4	7126	3.96285				0
APO_034	0	Analysis	20210615_APO_034_Rig2_2L (1).MP4	4708	2.61817				0
APO_035	0	Analysis	20210615_APO_035_Rig7_7L (1).MP4	5608	3.11867				0
APO_036	0	Analysis	20210615_APO_036_Rig5_5L (1).MP4	4520	2.51362				0
APO_037	0	Analysis	20210615_APO_037_Rig4_4L (1).MP4	7181	3.99343				0
APO_038	0	Analysis	20210615_APO_038_Rig10_10L (1).MP4	8427	4.68635				0
APO_039	0	Analysis	20210615_APO_039_Rig6_6L (1).MP4	4847	2.69547				0
APO_040	0	Analysis	20210615_APO_040_Rig9_9L (1).MP4	4611	2.56423				0
APO_041	0	Analysis	20210615_APO_041_Rig10_10L (1).MP4	4534	2.52141				0
APO_042	0	Analysis	20210615_APO_042_Rig9_9L (1).MP4	5681	3.15927				0
APO_043	0	Analysis	20210615_APO_043_Rig6_6L (1).MP4	5170	2.87509				0
APO_044	0	Analysis	20210615_APO_044_Rig1_1L (1).MP4	4763	2.64876				0
APO_045	0	Analysis	20210615_APO_045_Rig3_3L (1).MP4	9670	5.37759				0
APO_046	0	Analysis	20210615_APO_046_Rig8_8L (1).MP4	4345	2.41630				0
APO_047	0	Analysis	20210615_APO_047_Rig4_4L (1).MP4	5971	3.32054				0
APO_048	0	Analysis	20210615_APO_048_Rig5_5L (1).MP4	6142	3.41563				0
APO_049	0	Analysis	20210615_APO_049_Rig2_2L (1).MP4	5276	2.93404				0
APO_050	0	Analysis	20210615_APO_050_Rig7_7L (1).MP4	6506	3.61806				0
