OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
APO_001	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_001.EMObs
APO_002	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_002.EMObs
APO_003	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_003.EMObs
APO_004	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_004.EMObs
APO_005	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_005.EMObs
APO_006	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_006.EMObs
APO_007	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_007.EMObs
APO_008	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_008.EMObs
APO_009	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_009.EMObs
APO_010	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_010.EMObs
APO_011	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_011.EMObs
APO_012	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_012.EMObs
APO_013	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_013.EMObs
APO_014	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_014.EMObs
APO_015	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_015.EMObs
APO_016	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_016.EMObs
APO_017	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_017.EMObs
APO_018	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_018.EMObs
APO_019	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_019.EMObs
APO_020	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_020.EMObs
APO_021	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_021.EMObs
APO_022	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_022.EMObs
APO_023	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_023.EMObs
APO_024	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_024.EMObs
APO_025	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_025.EMObs
APO_026	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_026.EMObs
APO_027	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_027.EMObs
APO_028	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_028.EMObs
APO_029	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210614\BRUVS\	APO_029.EMObs
APO_030	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_030.EMObs
APO_031	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_031.EMObs
APO_032	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_032.EMObs
APO_033	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_033.EMObs
APO_034	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_034.EMObs
APO_035	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_035.EMObs
APO_036	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_036.EMObs
APO_037	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_037.EMObs
APO_038	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_038.EMObs
APO_039	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_039.EMObs
APO_040	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_040.EMObs
APO_041	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_041.EMObs
APO_042	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_042.EMObs
APO_043	1.09	2023 11 01 16:31:40	E:\20210614_Apollo_Bay_BRUVS\20210615\BRUVS\	APO_043.EMObs
