OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
BAYULOC1_CAM10_RIG23	0	BAYULOC1_CAM10_RIG23_L_1.MP4	4185	BAYULOC1_CAM10_RIG23_R_1.MP4	3628	2.32733		-1	-31.49122	64.50313	-604.70522	0.31334	0.30757	0.50478	2.81632	608.95053	6.37326					0			Sync Point		
BAYULOC1_CAM20_RIG30	0	BAYULOC1_CAM20_RIG30_L_2.MP4	18769	BAYULOC1_CAM20_RIG30_R_2.MP4	17817	28.15593		-1	-235.56194	-191.32622	-1201.79659	0.68625	0.64021	1.98727	7.33481	1239.52015	14.91968	Lutjanidae	Lutjanus	malabaricus	37346007	1	AD	Passing			
BAYULOC1_CAM20_RIG30	1	BAYULOC1_CAM20_RIG30_L_3.MP4	3184	BAYULOC1_CAM20_RIG30_R_3.MP4	2232	37.20665		-1	-269.33967	-139.47468	-1076.45629	0.63711	0.55128	1.63273	1.24704	1118.37167	16.29362	Carcharhinidae	Carcharhinus	obscurus	37018003	1	AD	Passing			
BAYULOC1_CAM36_RIG29	0	BAYULOC1_CAM36_RIG29_L_1.MP4	930	BAYULOC1_CAM36_RIG29_R_1.MP4	1222	0.51718		-1	-6.29404	-81.26936	-777.69259	0.41249	0.39157	0.85859	3.24958	781.95274	6.90949					0	AD	Passing	synch point		
BAYULOC1_CAM36_RIG29	1	BAYULOC1_CAM36_RIG29_L_2.MP4	16885	BAYULOC1_CAM36_RIG29_R_2.MP4	17177	27.10822		-1	-159.83465	-86.28023	-738.0457	0.40642	0.37223	0.75703	5.45146	760.06766	14.28981	Carcharhinidae	Carcharhinus	coatesi	37018009	1	AD	Passing			
BAYULOC1_CAM36_RIG29	3	BAYULOC1_CAM36_RIG29_L_4.MP4	18854	BAYULOC1_CAM36_RIG29_R_4.MP4	19146	63.63864		-1	5.38473	-37.85782	-598.88903	0.33158	0.30333	0.53165	1.11036	600.10856	4.57434					0	AD	Passing	synch point		
BAYULOC1_CAM37_RIG22	0	BAYULOC1_CAM37_RIG22_L_1.MP4	1589	BAYULOC1_CAM37_RIG22_R_1.MP4	1095	0.88366		-1	-22.59019	-59.55599	-690.41347	0.37424	0.35106	0.69133	8.7922	693.34551	4.84095					0	AD	Passing	synch point		
BAYULOC1_CAM37_RIG22	1	BAYULOC1_CAM37_RIG22_L_3.MP4	3190	BAYULOC1_CAM37_RIG22_R_2.MP4	3000	19.60572		-1	-80.06081	-45.34644	-567.70102	0.32522	0.29361	0.5027	7.32781	575.10911	8.98701					0			synch point		
BAYULOC1_CAM37_RIG22	2	BAYULOC1_CAM37_RIG22_L_3.MP4	9936	BAYULOC1_CAM37_RIG22_R_2.MP4	9746	23.35725		-1	-275.86185	-109.67868	-1527.1116	0.90345	0.77561	3.12271	25.60968	1555.69888	10.83828	Lutjanidae	Lutjanus	vitta	37346003	1	AD	Passing			
BAYULOC1_CAM37_RIG22	3	BAYULOC1_CAM37_RIG22_L_4.MP4	829	BAYULOC1_CAM37_RIG22_R_3.MP4	540	36.01045		-1	-11.70045	8.60036	-621.18479	0.34073	0.31354	0.56663	1.20495	621.3545	1.65594	Carcharhinidae	Carcharhinus	sorrah	37018013	1	AD	Passing			
BAYULOC1_CAM40_RIG30	0	BAYULOC1_CAM40_RIG30_L_1.MP4	1632	BAYULOC1_CAM40_RIG30_R_1.MP4	1594	0.90757		-1	5.35889	-131.61882	-581.04525	0.34215	0.31247	0.53468	7.15683	595.79008	13.91774					0			synch point		
BAYULOC1_CAM42_RIG25	0	BAYULOC1_CAM42_RIG25_L_1.MP4	2091	BAYULOC1_CAM42_RIG25_R_1.MP4	1595	1.16283		-1	17.93269	-69.47049	-680.66816	0.36619	0.3464	0.66507	14.55381	684.43909	5.88179					0			synch point		
BAYULOC1_CAM42_RIG25	1	BAYULOC1_CAM42_RIG25_L_2.MP4	22737	BAYULOC1_CAM42_RIG25_R_2.MP4	22242	30.36258		-1	-433.6136	51.49556	-1489.29879	1.07299	0.72712	2.97973	57.48887	1551.99338	16.35815	Carcharhinidae	Carcharhinus	sorrah	37018013	1	AD	Passing	shit vis		
BAYULOC1_CAM42_RIG25	2	BAYULOC1_CAM42_RIG25_L_4.MP4	29981	BAYULOC1_CAM42_RIG25_R_4.MP4	29486	69.82649		-1	-277.46148	-40.61004	-1171.02739	0.69715	0.5734	1.85306	0.81345	1204.13421	13.44707	Lutjanidae	Lutjanus	malabaricus	37346007	1	AD	Passing			
BAYULOC1_CAM43_RIG27	0	BAYULOC1_CAM43_RIG27_L_1.MP4	1611	BAYULOC1_CAM43_RIG27_R_1.MP4	1690	0.8959		-1	21.80314	-72.82752	-582.89786	0.43662	0.31431	0.68255	9.68681	587.83428	8.77421					0			synch point		
BAYULOC1_CAM44_RIG28	0	BAYULOC1_CAM44_RIG28_L_1.MP4	3605	BAYULOC1_CAM44_RIG28_R_1.MP4	4329	2.00478		-1	8.98199	-64.40035	-627.61266	0.3385	0.32009	0.56956	14.38058	630.97206	6.61203					0			synch point		
