OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
BAYULOC1_CAM10_RIG23	0	0	1620.90957	382.41636	156.57083	399.47955
BAYULOC1_CAM10_RIG23	1	0	1557.17721	687.31227	892.33821	669.70632
BAYULOC1_CAM10_RIG23	1	1	936.29221	611.88848	316.73968	593.42379
BAYULOC1_CAM11_RIG23	0	0	1657.0413	574.12639	885.22739	561.07807
BAYULOC1_CAM11_RIG23	0	1	1086.96289	363.34572	219.80136	380.40892
BAYULOC1_CAM13_RIG22	0	0	859.13225	603.2342	304.10873	578.14126
BAYULOC1_CAM13_RIG22	0	1	1533.59122	636.35688	905.30058	616.28253
BAYULOC1_CAM20_RIG30	0	0	986.36591	804.78455	339.76628	757.44428
BAYULOC1_CAM20_RIG30	1	0	959.19799	754.23477	222.77129	723.74443
BAYULOC1_CAM36_RIG29	0	0	1525.41353	677.20654	363.80634	669.18276
BAYULOC1_CAM36_RIG29	1	0	1275.18797	702.88262	54.49082	661.15899
BAYULOC1_CAM36_RIG29	2	0	1455.6391	773.86776	780.77129	810.40119
BAYULOC1_CAM36_RIG29	2	1	1809.32331	766.64636	1115.72955	817.62259
BAYULOC1_CAM36_RIG29	3	0	1732.33083	608.20208	198.73122	608.20208
BAYULOC1_CAM37_RIG22	0	0	1613.63409	649.92571	312.52087	667.57801
BAYULOC1_CAM37_RIG22	1	0	1626.46617	675.60178	46.47746	617.83061
BAYULOC1_CAM37_RIG22	2	0	983.25815	637.08767	506.44407	656.34473
BAYULOC1_CAM37_RIG22	3	0	1713.08271	526.35958	254.82471	507.10253
BAYULOC1_CAM40_RIG30	0	0	1716.29073	879.40565	185.90985	842.49629
BAYULOC1_CAM40_RIG30	1	0	1146.86717	580.92125	641.06845	561.66419
BAYULOC1_CAM40_RIG30	1	1	1469.27318	332.18425	977.62938	304.90342
BAYULOC1_CAM40_RIG30	2	0	816.33083	763.70579	282.77129	708.4844
BAYULOC1_CAM40_RIG30	2	1	1271.86967	633.72065	738.73122	622.63001
BAYULOC1_CAM40_RIG30	3	0	1108.37093	503.89302	442.33723	484.63596
BAYULOC1_CAM40_RIG30	3	1	1685.81454	479.82169	903.90651	444.51709
BAYULOC1_CAM42_RIG25	0	0	1623.25815	718.93016	383.0384	710.90639
BAYULOC1_CAM42_RIG25	1	0	773.13283	422.05052	358.99833	545.61664
