Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
BAYULOC1_CAM10_RIG23,-11.306,127.313,20190901,10:35:48,North-west WA,Fished,1,82.2,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM11_RIG23,-11.333,127.356,20190901,1:17:06,North-west WA,Fished,1,114,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM13_RIG22,-11.347,127.354,20190901,1:31:40,North-west WA,Fished,1,115.9,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM15_RIG20,-11.346,127.343,20190901,1:45:22,North-west WA,Fished,1,119.5,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM20_RIG30,-11.333,127.332,20190901,2:23:32,North-west WA,Fished,1,118.6,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM36_RIG29,-11.326,127.265,20190901,11:03:58,North-west WA,Fished,1,119.3,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM37_RIG22,-11.317,127.257,20190901,11:09:28,North-west WA,Fished,1,106.6,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM38_RIG26,-11.305,127.269,20190901,11:19:02,North-west WA,Fished,1,112.7,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM39_RIG20,-11.299,127.253,20190901,11:27:16,North-west WA,Fished,1,115.4,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM40_RIG30,-11.295,127.26,20190901,11:32:58,North-west WA,Fished,1,115.9,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM42_RIG25,-11.291,127.286,20190901,11:47:26,North-west WA,Fished,1,105.1,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM43_RIG27,-11.287,127.291,20190901,11:51:24,North-west WA,Fished,1,92.8,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM44_RIG28,-11.291,127.293,20190901,11:55:16,North-west WA,Fished,1,74.8,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM45_RIG28,-11.291,127.302,20190901,14:31:02,North-west WA,Fished,1,62,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM46_RIG27,-11.295,127.299,20190901,14:34:52,North-west WA,Fished,1,58.5,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM47_RIG25,-11.3,127.295,20190901,14:38:58,North-west WA,Fished,1,52.7,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM49_RIG30,-11.31,127.283,20190901,14:48:24,North-west WA,Fished,1,113.8,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM50_RIG20,-11.311,127.291,20190901,14:54:04,North-west WA,Fished,1,97,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM52_RIG22,-11.304,127.301,20190901,15:00:20,North-west WA,Fished,1,52.8,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM53_RIG29,-11.309,127.305,20190901,15:04:38,North-west WA,Fished,1,46.9,Brigit Vaughan,Yes,Yes
BAYULOC1_CAM7_RIG30,-11.299,127.319,20190901,10:21:14,North-west WA,Fished,1,108.3,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM17_RIG29,-11.497,128.099,20190901,11:29:48,North-west WA,Fished,2,96.2,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM18_RIG26,-11.494,128.108,20190901,11:36:24,North-west WA,Fished,2,82.1,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM19_RIG30,-11.489,128.108,20190901,11:39:46,North-west WA,Fished,2,77.9,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM20_RIG24,-11.49,128.114,20190901,11:45:40,North-west WA,Fished,2,77.8,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM21_RIG24,-11.501,128.122,20190901,14:09:16,North-west WA,Fished,2,91.9,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM22_RIG30,-11.499,128.135,20190901,14:15:30,North-west WA,Fished,2,91.6,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM23_RIG26,-11.493,128.143,20190901,14:20:48,North-west WA,Fished,2,94.7,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM24_RIG29,-11.489,128.154,20190901,14:25:58,North-west WA,Fished,2,91.2,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM26_RIG25,-11.507,128.175,20190901,14:39:42,North-west WA,Fished,2,97.3,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM27_RIG23,-11.514,128.177,20190901,14:44:28,North-west WA,Fished,2,98.4,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM29_RIG28,-11.514,128.158,20190901,14:54:36,North-west WA,Fished,2,98.6,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM48_RIG20,-11.532,128.168,20190901,11:23:12,North-west WA,Fished,2,102.3,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM49_RIG27,-11.537,128.169,20190901,11:27:38,North-west WA,Fished,2,97,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM50_RIG28,-11.536,128.183,20190901,11:35:58,North-west WA,Fished,2,76,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM51_RIG28,-11.526,128.185,20190901,14:21:14,North-west WA,Fished,2,75.1,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM52_RIG27,-11.53,128.195,20190901,14:27:32,North-west WA,Fished,2,76.4,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM53_RIG20,-11.531,128.204,20190901,14:32:50,North-west WA,Fished,2,75.7,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM54_RIG23,-11.523,128.202,20190901,14:37:46,North-west WA,Fished,2,75.4,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM58_RIG26,-11.502,128.192,20190901,14:53:52,North-west WA,Fished,2,75.9,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM59_RIG30,-11.497,128.19,20190901,14:56:36,North-west WA,Fished,2,76,Brigit Vaughan,Yes,Yes
BAYULOC2_CAM60_RIG24,-11.493,128.192,20190901,14:59:52,North-west WA,Fished,2,76.2,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM10_RIG28,-11.616,128.467,20190901,8:47:16,North-west WA,Fished,2A,44.1,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM2_RIG30,-11.631,128.493,20190901,8:08:46,North-west WA,Fished,2A,59.2,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM3_RIG26,-11.626,128.491,20190901,8:12:54,North-west WA,Fished,2A,62.2,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM4_RIG29,-11.62,128.492,20190901,8:16:56,North-west WA,Fished,2A,59.1,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM5_RIG22,-11.616,128.489,20190901,8:20:00,North-west WA,Fished,2A,62.9,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM6_RIG25,-11.615,128.476,20190901,8:26:22,North-west WA,Fished,2A,45.2,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM7_RIG23,-11.621,128.476,20190901,8:30:32,North-west WA,Fished,2A,44.9,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM8_RIG20,-11.625,128.483,20190901,8:34:16,North-west WA,Fished,2A,46.1,Brigit Vaughan,Yes,Yes
BAYULOC2A_CAM9_RIG27,-11.623,128.462,20190901,8:38:16,North-west WA,Fished,2A,47.9,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM1_RIG24,-11.846,129.232,20190901,7:48:36,North-west WA,Fished,3,74.2,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM10_RIG28,-11.848,129.2,20190901,8:38:58,North-west WA,Fished,3,72.3,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM2_RIG30,-11.844,129.226,20190901,7:53:24,North-west WA,Fished,3,74.1,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM21_RIG24,-11.837,129.149,20190901,13:48:56,North-west WA,Fished,3,73,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM22_RIG30,-11.841,129.147,20190901,13:52:24,North-west WA,Fished,3,73.6,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM23_RIG26,-11.849,129.142,20190901,13:57:10,North-west WA,Fished,3,74.8,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM24_RIG29,-11.854,129.149,20190901,14:02:34,North-west WA,Fished,3,73.6,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM25_RIG22,-11.856,129.159,20190901,14:08:24,North-west WA,Fished,3,72.5,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM26_RIG25,-11.851,129.159,20190901,14:11:46,North-west WA,Fished,3,73,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM27_RIG23,-11.847,129.162,20190901,14:14:40,North-west WA,Fished,3,74.9,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM28_RIG20,-11.826,129.167,20190901,14:23:40,North-west WA,Fished,3,71.7,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM29_RIG27,-11.826,129.174,20190901,14:27:40,North-west WA,Fished,3,72.3,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM3_RIG26,-11.85,129.213,20190901,8:00:50,North-west WA,Fished,3,75.4,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM30_RIG28,-11.828,129.183,20190901,14:32:48,North-west WA,Fished,3,74,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM31_RIG28,-11.86,129.169,20190901,7:45:18,North-west WA,Fished,3,73.3,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM32_RIG27,-11.863,129.183,20190901,7:52:10,North-west WA,Fished,3,22,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM33_RIG20,-11.856,129.183,20190901,7:57:04,North-west WA,Fished,3,30.4,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM34_RIG23,-11.852,129.189,20190901,8:01:28,North-west WA,Fished,3,62.3,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM35_RIG25,-11.848,129.182,20190901,8:07:04,North-west WA,Fished,3,72.5,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM36_RIG22,-11.842,129.177,20190901,8:12:00,North-west WA,Fished,3,80.9,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM37_RIG29,-11.838,129.172,20190901,8:15:52,North-west WA,Fished,3,76.5,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM38_RIG26,-11.834,129.199,20190901,8:27:02,North-west WA,Fished,3,75,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM39_RIG30,-11.835,129.204,20190901,8:30:40,North-west WA,Fished,3,73.9,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM4_RIG29,-11.858,129.216,20190901,8:05:36,North-west WA,Fished,3,71.9,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM40_RIG24,-11.839,129.206,20190901,8:34:00,North-west WA,Fished,3,73.9,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM41_RIG24,-11.852,129.255,20190901,10:40:16,North-west WA,Fished,3,71.7,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM42_RIG30,-11.861,129.242,20190901,10:48:38,North-west WA,Fished,3,71.5,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM43_RIG26,-11.857,129.231,20190901,10:54:10,North-west WA,Fished,3,72,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM44_RIG29,-11.864,129.222,20190901,10:59:42,North-west WA,Fished,3,71.7,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM45_RIG22,-11.875,129.22,20190901,11:05:26,North-west WA,Fished,3,71.2,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM46_RIG25,-11.878,129.224,20190901,11:09:08,North-west WA,Fished,3,71.8,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM47_RIG23,-11.881,129.234,20190901,11:14:50,North-west WA,Fished,3,71.5,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM48_RIG20,-11.885,129.253,20190901,11:23:52,North-west WA,Fished,3,70.1,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM49_RIG27,-11.874,129.246,20190901,11:30:50,North-west WA,Fished,3,71.4,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM5_RIG22,-11.868,129.204,20190901,8:12:48,North-west WA,Fished,3,70.4,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM50_RIG28,-11.868,129.255,20190901,11:36:30,North-west WA,Fished,3,73.3,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM6_RIG25,-11.869,129.197,20190901,8:16:18,North-west WA,Fished,3,63.3,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM7_RIG23,-11.865,129.195,20190901,8:19:44,North-west WA,Fished,3,39.7,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM8_RIG20,-11.859,129.203,20190901,8:24:42,North-west WA,Fished,3,70.7,Brigit Vaughan,Yes,Yes
BAYULOC3_CAM9_RIG27,-11.852,129.195,20190901,8:32:16,North-west WA,Fished,3,71.9,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM11_RIG28,-12.017,129.853,20190901,10:13:30,North-west WA,Fished,4,59.6,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM12_RIG27,-12.025,129.853,20190901,10:18:46,North-west WA,Fished,4,59.9,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM13_RIG20,-12.026,129.858,20190901,10:22:10,North-west WA,Fished,4,54.9,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM14_RIG23,-12.021,129.865,20190901,10:27:04,North-west WA,Fished,4,44.4,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM15_RIG25,-12.029,129.877,20190901,10:34:14,North-west WA,Fished,4,48.3,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM16_RIG22,-12.024,129.884,20190901,10:39:14,North-west WA,Fished,4,51.1,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM17_RIG29,-12.021,129.879,20190901,10:43:08,North-west WA,Fished,4,54.6,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM18_RIG26,-12.016,129.878,20190901,10:46:32,North-west WA,Fished,4,57.2,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM19_RIG30,-12.019,129.891,20190901,10:54:42,North-west WA,Fished,4,55.2,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM20_RIG24,-12.027,129.894,20190901,10:59:20,North-west WA,Fished,4,52.8,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM21_RIG24,-11.993,129.845,20190901,13:14:44,North-west WA,Fished,4,67,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM22_RIG30,-11.999,129.844,20190901,13:19:24,North-west WA,Fished,4,61.5,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM23_RIG26,-11.996,129.854,20190901,13:24:38,North-west WA,Fished,4,57.8,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM24_RIG29,-12.002,129.859,20190901,13:28:54,North-west WA,Fished,4,60.6,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM25_RIG22,-11.999,129.866,20190901,13:33:00,North-west WA,Fished,4,63.3,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM26_RIG25,-12.001,129.875,20190901,13:37:20,North-west WA,Fished,4,67.8,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM27_RIG23,-11.994,129.881,20190901,13:41:28,North-west WA,Fished,4,69,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM28_RIG20,-12,129.885,20190901,13:46:14,North-west WA,Fished,4,66.2,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM29_RIG27,-11.994,129.889,20190901,13:50:30,North-west WA,Fished,4,67.6,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM30_RIG28,-11.999,129.895,20190901,13:55:40,North-west WA,Fished,4,60.7,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM31_RIG28,-12.019,129.797,20190901,7:44:38,North-west WA,Fished,4,53.4,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM32_RIG27,-12.026,129.805,20190901,7:50:54,North-west WA,Fished,4,53.5,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM33_RIG20,-12.019,129.814,20190901,7:56:34,North-west WA,Fished,4,54.4,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM34_RIG23,-12.026,129.816,20190901,8:01:10,North-west WA,Fished,4,53.3,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM35_RIG25,-12.028,129.822,20190901,8:04:42,North-west WA,Fished,4,53,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM36_RIG22,-12.024,129.827,20190901,8:08:16,North-west WA,Fished,4,56.2,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM37_RIG29,-12.019,129.825,20190901,8:11:20,North-west WA,Fished,4,55.9,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM38_RIG26,-12.018,129.835,20190901,8:17:12,North-west WA,Fished,4,61.7,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM39_RIG30,-12.027,129.836,20190901,8:21:42,North-west WA,Fished,4,61.5,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM40_RIG24,-12.026,129.845,20190901,8:27:00,North-west WA,Fished,4,64.3,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM51_RIG28,-12,129.787,20190901,1:11:58,North-west WA,Fished,4,54.5,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM52_RIG27,-11.992,129.791,20190901,1:16:42,North-west WA,Fished,4,52.7,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM53_RIG20,-11.996,129.8,20190901,1:22:20,North-west WA,Fished,4,52.5,Brigit Vaughan,Yes,Yes
BAYULOC4_CAM54_RIG23,-12.002,129.806,20190901,1:26:16,North-west WA,Fished,4,54.1,Brigit Vaughan,Yes,Yes
