OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
01	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_01.EMObs
02	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_02.EMObs
03	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_03.EMObs
04	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_04.EMObs
06	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_06.EMObs
07	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_07.EMObs
08	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_08.EMObs
09	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_09.EMObs
10	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_10.EMObs
100	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_100.EMObs
101	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_101.EMObs
102	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_102.EMObs
103	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_103.EMObs
104	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_104.EMObs
105	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_105.EMObs
107	1.08	2020 11 30 11:58:48	R:\TAFI\Data\CERF\BRUVS Video\201810_BeagleAMP\Converted\	Beagle_107.EMObs
