Sample,Longitude,Latitude,inclusion.probabilities,domain,FoV,Relief,Soft substata,Hard substrata,Biota,Habitat
1,147.099,-39.0782,0.01515253,3,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Bare,Coarse sand
2,147.116,-39.3455,0.28683751,4,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Dense Short Invert complex,Shellhash
3,146.971,-39.411,0.000410197,1,Open,1,50-75% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Shellhash
4,147.129,-39.3517,0.286325669,4,Open,1,25-50% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
6,147.503,-39.5697,0.013960292,2,Open,1,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
7,147.154,-39.3711,0.282604481,4,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock ,Dense Tall Invert complex,Reef
8,147.162,-39.0838,0.01515253,3,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock ,Dense Tall Invert complex,Reef
9,147.483,-39.5266,0.015336168,2,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
10,147.083,-39.4073,0.202572149,4,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
11,147.002,-39.3172,0.000236837,1,Open,1,50-75% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Shellhash
12,147.514,-39.4864,0.015910152,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
13,147.127,-39.049,0.01515253,3,Open,1,0-25% Unconsolidated Pebble / gravel (screwshells) ,,Sparse Short Invert complex,Screwshells
14,147.143,-39.44,0.275030221,4,Open,0,75-100% Unconsolidated Pebble / gravel (screwshells) ,,Bare,Screwshells
15,146.663,-39.3352,0.000423935,1,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Tall Invert complex,Shellhash
16,147.518,-39.597,0.015867859,2,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Bare,Coarse sand
18,147.533,-39.5403,0.015898785,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
21,147.503,-39.5196,0.015867739,2,Open,2,50-75% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
