OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
Howe_001	0	0	1391.46746	862.52632	1114.06509	859.31579
Howe_001	0	1	1782.24852	916.34211	1481.26036	920.65789
Howe_001	1	0	1102.70414	345.44737	633.37278	329.68421
Howe_001	1	1	1248.26627	529.47368	874.79290	508.73684
Howe_001	2	0	1104.26627	964.89474	973.27811	960.63158
Howe_001	2	1	1307.34320	1004.68421	1184.87574	1011.78947
Howe_001	3	0	1526.49112	774.28947	1336.79290	777.71053
Howe_001	3	1	1768.62130	831.84211	1566.85207	835.97368
Howe_001	4	0	1133.98817	967.02632	1102.47337	978.39474
Howe_001	4	1	1029.60947	955.65789	986.02367	962.76316
Howe_001	5	0	469.08284	540.44737	156.21302	528.10526
Howe_001	5	1	586.24260	527.65789	301.06509	519.57895
Howe_001	6	0	925.63314	572.47368	208.75740	554.68421
Howe_001	6	1	1097.46746	647.78947	433.13609	634.26316
Howe_001	7	0	1502.48521	885.31579	1149.47929	879.63158
Howe_001	7	1	1631.71598	906.63158	1273.02959	895.26316
Howe_001	8	0	974.19527	956.00000	863.50888	954.23684
Howe_001	8	1	1323.63314	1022.44737	1182.77515	1030.97368
Howe_001	9	0	928.75740	915.15789	693.01775	918.00000
Howe_001	9	1	1441.92308	1055.84211	1268.14201	1062.94737
Howe_001	10	0	884.49704	812.84211	697.17160	801.47368
Howe_001	10	1	1457.04142	891.00000	1247.30769	892.42105
Howe_001	11	0	1242.28994	731.31579	867.34320	725.89474
Howe_001	11	1	1493.65089	739.84211	1114.44379	725.89474
Howe_001	12	0	1526.31361	677.31579	1199.81657	664.73684
Howe_001	12	1	1863.19527	676.00000	1435.55621	660.47368
Howe_001	13	0	1401.65680	833.73684	1008.10059	825.31579
Howe_001	13	1	1736.80473	882.05263	1292.12426	867.94737
Howe_001	14	0	1410.17751	899.52632	1008.93491	886.73684
Howe_001	14	1	1634.55621	906.63158	1248.93491	896.68421
Howe_001	15	0	1661.25444	216.00000	983.97041	218.76316
Howe_001	15	1	1397.82249	256.50000	817.10651	244.34211
Howe_001	16	0	1545.47337	431.57895	1189.21893	424.18421
Howe_001	16	1	1382.15976	443.65789	1070.63905	441.94737
Howe_001	17	0	1703.81657	545.26316	1381.49112	541.28947
Howe_001	17	1	1529.14201	528.21053	1254.92308	525.15789
Howe_001	18	0	1587.36686	599.26316	1274.09467	595.50000
Howe_001	18	1	1712.33728	591.44737	1401.90533	589.81579
Howe_001	19	0	1440.27219	301.65789	1256.39053	294.65789
Howe_001	19	1	1345.83432	362.05263	1152.01183	358.60526
Howe_001	20	0	1659.40828	721.36842	1346.72781	713.44737
Howe_001	20	1	1799.28994	768.26316	1484.47929	759.63158
Howe_001	21	0	1024.35503	122.28947	508.46746	99.10526
Howe_001	21	1	1140.09467	196.89474	690.95266	185.78947
Howe_001	22	0	1156.53846	497.21053	819.37278	494.76316
Howe_001	22	1	1280.79882	522.07895	951.44379	516.78947
Howe_001	23	0	1270.85799	615.86842	1020.31953	611.28947
Howe_001	23	1	1162.21893	595.97368	903.15976	589.26316
Howe_001	24	0	1292.15976	616.57895	1057.24260	612.71053
Howe_001	24	1	1175.00000	568.97368	950.73373	568.65789
Howe_001	25	0	1324.82249	558.31579	1086.35503	559.42105
Howe_001	25	1	1251.68639	533.44737	991.91716	531.71053
Howe_001	26	0	1584.76923	394.23684	1086.21893	390.86842
Howe_001	26	1	1366.07101	406.31579	940.65680	407.21053
Howe_001	27	0	1676.36686	473.81579	1160.06509	466.18421
Howe_001	27	1	1442.75740	493.71053	992.49112	479.68421
Howe_001	28	0	1405.11834	866.26316	1028.63314	859.36842
Howe_001	28	1	1638.01775	844.23684	1191.23669	825.26316
Howe_001	29	0	1482.78698	907.92105	906.43195	887.78947
Howe_001	29	1	1841.18343	898.89474	1113.05917	860.78947
Howe_001	30	0	1006.56805	980.52632	837.23077	976.26316
Howe_001	30	1	1321.83432	972.00000	1141.13609	990.47368
Howe_001	31	0	1036.04142	1075.73684	888.74556	1072.89474
Howe_001	31	1	1205.74556	1060.10526	1084.72189	1062.94737
Howe_001	32	0	883.40237	808.39474	298.04142	823.42105
Howe_001	32	1	604.34911	836.10526	20.59172	865.50000
Howe_002	0	0	1299.13609	714.02632	963.38462	712.63158
Howe_002	0	1	1109.84024	633.57895	824.21302	638.02632
Howe_002	1	0	818.66864	467.00000	326.62722	471.78947
Howe_002	1	1	649.24852	385.60526	98.69822	396.21053
Howe_002	2	0	1241.86391	635.71053	420.51479	649.00000
Howe_002	2	1	1110.50296	569.63158	180.51479	582.21053
Howe_002	3	0	855.66272	558.42105	545.05325	566.05263
Howe_002	3	1	743.47337	532.13158	397.36095	541.89474
Howe_002	4	0	920.15976	599.31579	480.03550	612.81579
Howe_002	4	1	768.91716	541.05263	293.28994	555.26316
Howe_002	5	0	1099.82840	323.63158	393.77515	322.10526
Howe_002	5	1	889.65089	385.44737	180.75740	401.68421
Howe_002	6	0	1648.04734	837.34211	1524.24852	837.73684
Howe_002	6	1	1405.68047	723.21053	1296.07692	721.97368
Howe_002	7	0	1224.62722	409.73684	686.68047	411.68421
Howe_002	7	1	1368.76923	421.81579	808.81065	425.89474
Howe_002	8	0	1853.25444	893.13158	1596.52071	888.39474
Howe_002	8	1	1525.55030	767.21053	1330.30178	766.44737
Howe_002	9	0	1874.55621	565.57895	1133.25444	542.84211
Howe_002	9	1	1238.34320	383.68421	718.57988	392.21053
Howe_002	10	0	1599.63314	759.02632	1416.33136	757.23684
Howe_002	10	1	1403.65680	820.84211	1228.16568	820.47368
Howe_002	11	0	1633.28402	919.42105	1439.10059	920.84211
Howe_002	11	1	1367.01183	898.81579	1189.15976	901.65789
Howe_002	12	0	1722.11834	776.13158	1428.80473	768.81579
Howe_002	12	1	1322.35503	783.94737	1042.53254	767.39474
Howe_002	13	0	1104.59763	711.78947	981.85799	713.00000
Howe_002	13	1	926.37278	709.65789	800.79290	713.00000
Howe_002	14	0	1083.34320	463.92105	866.82840	466.63158
Howe_002	14	1	966.18343	475.28947	743.98817	481.55263
Howe_002	15	0	1081.43787	327.28947	888.24260	329.47368
Howe_002	15	1	963.56805	349.31579	766.82249	355.05263
Howe_002	16	0	1222.34911	910.84211	1153.04734	918.55263
Howe_002	16	1	1139.98225	864.65789	1069.26036	868.81579
Howe_003	0	0	1742.48521	297.71053	1426.20710	298.86842
Howe_003	0	1	1544.37870	297.00000	1281.35503	288.92105
Howe_003	1	0	1735.38462	275.68421	1283.36095	277.68421
Howe_003	1	1	1903.66864	223.39474	1460.16568	230.78947
Howe_003	2	0	1505.32544	622.42105	653.25444	602.52632
Howe_003	2	1	1212.78107	639.47368	460.11834	619.57895
Howe_003	3	0	686.40828	640.65789	144.43195	611.02632
Howe_003	3	1	885.22485	623.60526	353.18935	598.94737
Howe_003	4	0	1251.59763	294.78947	1037.92899	283.13158
Howe_003	4	1	1330.41420	291.94737	1145.85799	280.28947
Howe_003	5	0	1613.90533	105.00000	1102.00000	107.92105
Howe_003	5	1	1409.40828	108.55263	963.53846	99.39474
Howe_003	6	0	1442.84024	321.15789	518.41420	299.73684
Howe_003	6	1	1132.35503	262.21053	286.00592	213.71053
Howe_003	7	0	683.41420	393.81579	409.63905	365.84211
Howe_003	7	1	543.53254	354.02632	238.51479	322.50000
Howe_003	8	0	806.20118	495.84211	661.75148	478.10526
Howe_003	8	1	712.47337	505.07895	569.44379	480.23684
Howe_003	9	0	499.17160	553.44737	220.82840	512.05263
Howe_003	9	1	317.39645	512.23684	22.01183	489.31579
Howe_003	10	0	1239.75740	516.42105	1049.42604	498.47368
Howe_003	10	1	541.06509	485.94737	36.92308	449.68421
Howe_003	11	0	538.97633	637.84211	408.06509	605.21053
Howe_003	11	1	1058.73964	534.10526	915.04734	521.36842
