OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
Howe_001	Scott Gray	15		Latitude	-37.5078	Longitude	149.98027	Date	1/03/2021	Time	10:28	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Barren
Howe_002	Scott Gray	11.71		Latitude	-37.50908	Longitude	149.97547	Date	1/03/2021	Time	10:34	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Reef
Howe_003	Scott Gray	27		Latitude	-37.50945	Longitude	149.98413	Date	1/03/2021	Time	10:23	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Reef/inverts
Howe_004	Scott Gray	31	No measurement due to 6R camera fail	Latitude	-37.51173	Longitude	149.985	Date	1/03/2021	Time	10:17	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Inverts
Howe_005	Scott Gray	40		Latitude	-37.51254	Longitude	149.99086	Date	1/03/2021	Time	10:12	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Barren
Howe_006	Scott Gray	na		Latitude	-37.51574	Longitude	149.99355	Date	3/03/2021	Time	9:06	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Sand/inverts
Howe_007	Scott Gray	na		Latitude	-37.51697	Longitude	150.00045	Date	3/03/2021	Time	8:51	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Sand/inverts
Howe_008	Scott Gray	13.74		Latitude	-37.51948	Longitude	149.96777	Date	28/02/2021	Time	13:23	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_009	Scott Gray	56.2		Latitude	-37.5193	Longitude	149.9957	Date	3/03/2021	Time	9:00	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Sand
Howe_010	Scott Gray	9.61		Latitude	-37.52074	Longitude	149.95424	Date	28/02/2021	Time	13:33	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_011	Scott Gray	13.21		Latitude	-37.52232	Longitude	149.95993	Date	28/02/2021	Time	13:29	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_012	Scott Gray	75.46	Lights	Latitude	-37.52139	Longitude	150.00286	Date	3/03/2021	Time	9:25	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Inverts
Howe_013	Scott Gray	23.22		Latitude	-37.52422	Longitude	149.95315	Date	28/02/2021	Time	13:36	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_014	Scott Gray	21.19		Latitude	-37.52381	Longitude	149.96757	Date	28/02/2021	Time	13:20	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Reef/inverts
Howe_015	Scott Gray	13.15		Latitude	-37.52564	Longitude	149.95875	Date	28/02/2021	Time	13:40	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Barren
Howe_016	Scott Gray	na	Lights	Latitude	-37.524	Longitude	150.0095	Date	3/03/2021	Time	11:32	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Sand
Howe_018	Scott Gray	87.74	Lights	Latitude	-37.52816	Longitude	150.00586	Date	3/03/2021	Time	11:28	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Sand
Howe_019	Scott Gray	na	Lights	Latitude	-37.52872	Longitude	150.01764	Date	3/03/2021	Time	11:19	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Sand
Howe_022	Scott Gray	93.31	Lights	Latitude	-37.53618	Longitude	150.01553	Date	3/03/2021	Time	11:14	MPAStatus	No-take	Site	Cape Howe	Year	2021	Spare	Sand
Howe_025	Scott Gray	28.47		Latitude	-37.55713	Longitude	149.87493	Date	27/02/2021	Time	15:42	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_026	Scott Gray	29.69		Latitude	-37.56038	Longitude	149.82162	Date	27/02/2021	Time	15:08	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_028	Scott Gray	18.9		Latitude	-37.55976	Longitude	149.84225	Date	27/02/2021	Time	15:18	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Barren
Howe_029	Scott Gray	14.5	was originally labelled 023 by mistake	Latitude	-37.557599	Longitude	149.902271	Date	28/02/2021	Time	15:47	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Barren
Howe_030	Scott Gray	15.88		Latitude	-37.56106	Longitude	149.85091	Date	27/02/2021	Time	15:23	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Barren
Howe_032	Scott Gray	21.6		Latitude	-37.56032	Longitude	149.92018	Date	28/02/2021	Time	16:14	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_033	Scott Gray	23.77		Latitude	-37.56565	Longitude	149.85623	Date	27/02/2021	Time	15:32	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Barren
Howe_034	Scott Gray	19.25		Latitude	-37.56752	Longitude	149.82743	Date	27/02/2021	Time	15:00	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Barren
Howe_035	Scott Gray	32.49		Latitude	-37.56529	Longitude	149.88794	Date	27/02/2021	Time	15:50	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand
Howe_036	Scott Gray	20.48		Latitude	-37.56692	Longitude	149.84982	Date	27/02/2021	Time	15:28	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Barren
Howe_037	Scott Gray	26.58		Latitude	-37.56492	Longitude	149.9029	Date	28/02/2021	Time	15:52	MPAStatus	Fished	Site	Cape Howe	Year	2021	Spare	Sand/inverts
