OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
Howe_001	0	20210301_CapeHowe_001_Rig4_4L (1).MP4	15535	20210301_CapeHowe_001_Rig4_4R (1).MP4	16237	8.63919	Analysis	5.82916	380.84308	2.19053	5.43275	1776.01594	22.82338	1.20350	3.68425	577.21214	-376.04776	-1636.96269	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
Howe_001	1	20210301_CapeHowe_001_Rig4_4L (1).MP4	15677	20210301_CapeHowe_001_Rig4_4R (1).MP4	16379	8.71815	Analysis	5.90812	292.27843	2.42237	3.97466	1273.75496	4.68454	42.66706	30.30592	39.39598	96.27867	-1269.49993	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
Howe_001	2	20210301_CapeHowe_001_Rig4_4L (1).MP4	18157	20210301_CapeHowe_001_Rig4_4R (1).MP4	18859	10.09731	Analysis	7.28728	341.84599	2.87581	1.60521	2446.62916	19.05025	5.57034	10.07494	365.59195	-709.97272	-2312.63389	Cheilodactylidae	Nemadactylus	douglasii		1	AD	Passing			
Howe_001	3	20210301_CapeHowe_001_Rig4_4L (1).MP4	19341	20210301_CapeHowe_001_Rig4_4R (1).MP4	20043	10.75574	Analysis	7.94572	253.23844	3.37450	3.05609	2113.93027	24.51916	10.33483	9.55227	814.87366	-324.95166	-1923.30147	Labridae	Ophthalmolepis	lineolatus		1	AD	Passing			
Howe_001	4	20210301_CapeHowe_001_Rig4_4L (1).MP4	20747	20210301_CapeHowe_001_Rig4_4R (1).MP4	21449	11.53764	Analysis	8.72761	271.14279	8.69560	8.39824	3206.95661	17.45358	22.33109	10.14988	316.78304	-908.21063	-3059.30918	Labridae	Olisthops	cyanomelas	37385001	1	AD	Passing	Precision		
Howe_001	5	20210301_CapeHowe_001_Rig4_4L (1).MP4	23244	20210301_CapeHowe_001_Rig4_4R (1).MP4	23946	12.92625	Analysis	10.11622	117.75253	2.77473	3.06566	1745.22572	20.28385	21.13112	7.54816	-605.00181	-4.62583	-1636.99854	Pomacentridae	Chromis	hypsilepis	37372002	1	AD	Passing			
Howe_001	6	20210301_CapeHowe_001_Rig4_4L (1).MP4	24649	20210301_CapeHowe_001_Rig4_4R (1).MP4	25351	13.70758	Analysis	10.89755	131.01572	0.78027	1.23599	948.89393	10.30692	5.68908	22.23105	-163.11999	-47.07594	-933.58203	Scorpididae	Scorpis	lineolata	37361009	1	AD	Passing			
Howe_001	7	20210301_CapeHowe_001_Rig4_4L (1).MP4	26537	20210301_CapeHowe_001_Rig4_4R (1).MP4	27239	14.75752	Analysis	11.94749	121.69482	1.82847	3.34844	1571.11083	21.85047	5.24578	4.91868	473.19295	-343.53285	-1458.23964	Microcanthidae	Atypichthys	strigatus		1	AD	Passing			
Howe_001	8	20210301_CapeHowe_001_Rig4_4L (1).MP4	26671	20210301_CapeHowe_001_Rig4_4R (1).MP4	27373	14.83204	Analysis	12.02201	557.08274	5.17970	4.03309	2455.15869	18.25317	22.07504	1.94116	261.52393	-723.15973	-2331.61949	Labridae	Achoerodus	viridis	37384043	1	AD	Passing			
Howe_001	9	20210301_CapeHowe_001_Rig4_4L (1).MP4	28099	20210301_CapeHowe_001_Rig4_4R (1).MP4	28801	15.62617	Analysis	12.81614	826.08264	3.42436	7.45710	2030.48325	18.39123	19.36202	15.78702	239.63447	-594.11769	-1926.77495	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
Howe_001	10	20210301_CapeHowe_001_Rig4_4L (2).MP4	1482	20210301_CapeHowe_001_Rig4_4R (2).MP4	2184	18.45844	Analysis	15.64841	762.65230	2.44415	1.94635	1986.10759	13.33311	7.64799	4.69322	191.90820	-415.87723	-1932.57360	Triakidae	Mustelus	antarcticus	37017001	1	AD	Feeding			
Howe_001	11	20210301_CapeHowe_001_Rig4_4L (2).MP4	25459	20210301_CapeHowe_001_Rig4_4R (2).MP4	26161	31.79232	Analysis	28.98229	242.15244	1.33965	3.27281	1401.96004	12.79897	3.13456	0.82425	251.29008	-182.51515	-1367.12599	Sparidae	Chrysophrys	auratus	37353001	1	AD	Feeding			
Howe_001	12	20210301_CapeHowe_001_Rig4_4L (2).MP4	25459	20210301_CapeHowe_001_Rig4_4R (2).MP4	26161	31.79232	Analysis	28.98229	239.71363	2.95199	1.44632	1538.05425	21.88080	37.04688	6.50933	561.36945	-115.84253	-1427.25462	Sparidae	Chrysophrys	auratus	37353001	1	AD	Feeding			
Howe_001	13	20210301_CapeHowe_001_Rig4_4L (2).MP4	25459	20210301_CapeHowe_001_Rig4_4R (2).MP4	26161	31.79232	Analysis	28.98229	256.79018	1.54582	2.86776	1411.41103	20.14215	6.95910	3.17757	398.62776	-278.04940	-1325.09077	Sparidae	Chrysophrys	auratus	37353001	1	AD	Feeding			
Howe_001	14	20210301_CapeHowe_001_Rig4_4L (2).MP4	25735	20210301_CapeHowe_001_Rig4_4R (2).MP4	26437	31.94580	Analysis	29.13577	240.44898	1.90631	2.70656	1461.39935	20.43756	17.54865	2.31607	387.94409	-331.52127	-1369.40904	Sparidae	Chrysophrys	auratus	37353001	1	AD	Feeding			
Howe_001	15	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	146.77026	1.34668	1.53744	1032.12137	16.15558	30.81513	1.62758	189.45452	215.82798	-991.36259	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	16	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	148.32048	3.31217	4.64650	1525.03377	15.23459	38.12384	3.61753	383.22079	117.17892	-1471.44110	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	17	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	152.29123	3.93530	2.98600	1695.48511	20.56116	42.55484	6.17691	595.18562	18.28471	-1587.47897	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	18	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	136.37122	2.42186	3.36637	1671.60783	21.57761	12.32442	4.45290	613.07335	-45.40441	-1554.46205	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	19	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	169.09591	3.12434	4.39087	2026.52394	16.86093	16.93796	31.86071	505.63447	299.72296	-1939.40693	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	20	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	144.45404	2.36920	0.41182	1729.37342	24.62947	9.54530	16.96007	692.85868	-198.43173	-1572.03821	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	21	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	146.10980	1.96505	3.43970	1231.95662	15.42467	35.02985	13.57110	-74.35106	319.11798	-1187.58274	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	22	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	141.07937	1.38032	5.29938	1458.77409	5.37033	8.44567	8.64743	131.71140	35.95478	-1452.37089	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
Howe_001	23	20210301_CapeHowe_001_Rig4_4L (2).MP4	28461	20210301_CapeHowe_001_Rig4_4R (2).MP4	29163	33.46176	Analysis	30.65173	147.24016	2.01316	2.51058	1698.77298	7.25020	11.82662	9.13673	201.16023	-74.14384	-1685.19046	Carangidae	Trachurus	novaezelandiae	37337003	1	AD	Passing			
