Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
Howe_001,-37.5078,149.98027,20210301,10:28:00,Cape Howe,No-take,Cape Howe,15,Scott Gray,Yes,Yes,NA,Barren
Howe_002,-37.50908,149.97547,20210301,10:34:00,Cape Howe,No-take,Cape Howe,11.71,Scott Gray,Yes,Yes,NA,Good-Kelp
Howe_003,-37.50945,149.98413,20210301,10:23:00,Cape Howe,No-take,Cape Howe,27,Scott Gray,Yes,Yes,NA,Beautiful
Howe_004,-37.51173,149.985,20210301,10:18:00,Cape Howe,No-take,Cape Howe,31,Scott Gray,Yes,No,NA,Magic but 6R fail
Howe_005,-37.51254,149.99086,20210301,10:12:00,Cape Howe,No-take,Cape Howe,40,Scott Gray,Yes,Yes,NA,Magic drop - Esp RHS
Howe_006,-37.51574,149.99355,20210303,9:06:00,Cape Howe,No-take,Cape Howe,49.77,Scott Gray,Yes,Yes,NA,very nice
Howe_007,-37.51697,150.00045,20210303,8:51:00,Cape Howe,No-take,Cape Howe,60.86,Scott Gray,Yes,Yes,NA,"very nice, wobby"
Howe_008,-37.51948,149.96777,20210228,13:23:00,Cape Howe,Fished,Cape Howe,13.74,Scott Gray,Yes,Yes,NA,Sand
Howe_009,-37.5193,149.9957,20210303,9:00:00,Cape Howe,No-take,Cape Howe,56.2,Scott Gray,Yes,Yes,NA,Sand
Howe_010,-37.52074,149.95424,20210228,13:33:00,Cape Howe,Fished,Cape Howe,9.61,Scott Gray,Yes,Yes,NA,Sand
Howe_011,-37.52232,149.95993,20210228,13:29:00,Cape Howe,Fished,Cape Howe,13.21,Scott Gray,Yes,Yes,NA,Sand
Howe_012,-37.52139,150.00286,20210303,9:25:00,Cape Howe,No-take,Cape Howe,75.46,Scott Gray,Yes,Yes,NA,Lights Beautiful
Howe_013,-37.52422,149.95315,20210228,13:36:00,Cape Howe,Fished,Cape Howe,23.22,Scott Gray,Yes,Yes,NA,Sand
Howe_014,-37.52381,149.96757,20210228,13:20:00,Cape Howe,Fished,Cape Howe,21.19,Scott Gray,Yes,Yes,NA,Nice - Gummy's
