OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
Howe_001	0	Analysis	20210301_CapeHowe_001_Rig4_4L (1).MP4	5053	2.81003				0
Howe_002	0	Analysis	20210301_CapeHowe_002_Rig2_2L (1).MP4	8033	4.46724				0
Howe_003	0	Analysis	20210301_CapeHowe_003_Rig5_5L (1).MP4	3624	2.01535				0
Howe_004	0	Analysis	20210301_CapeHowe_004_Rig6_6L (1).MP4	4981	2.76999				0
Howe_005	0	Analysis	20210301_CapeHowe_005_Rig8_8L (1).MP4	4943	2.74886				0
Howe_006	0	Analysis	20210303_CapeHowe_006_Rig4_4L (1).MP4	8385	4.66299				0
Howe_007	0	Analysis	20210303_CapeHowe_007_Rig6_6L (1).MP4	8646	4.80814				0
Howe_008	0	Analysis	20210228_CapeHowe_008_Rig9_9L (1).MP4	5217	2.90123				0
Howe_009	0	Analysis	20210303_CapeHowe_009_Rig2_2L (1).MP4	14394	8.00466				0
Howe_010	0	Analysis	20210228_CapeHowe_010_Rig6_6L (1).MP4	6062	3.37115				0
Howe_011	0	Analysis	20210228_CapeHowe_011_Rig8_8L (1).MP4	7250	4.03181				0
Howe_012	0	Analysis	20210303_CapeHowe_012_Rig1_1L (1).MP4	15075	8.38337				0
Howe_013	0	Analysis	20210228_CapeHowe_013_Rig5_5L (1).MP4	3860	2.14659				0
Howe_014	0	Analysis	20210228_CapeHowe_014_Rig10_10L (1).MP4	10482	5.82916				0
Howe_015	0	Analysis	20210228_CapeHowe_015_Rig4_4L (1).MP4	4683	2.60427				0
Howe_016	0	Analysis	20210303_CapeHowe_016_Rig1_1L (1).MP4	9528	5.29863				0
Howe_018	0	Analysis	20210303_CapeHowe_018_Rig8_8L (1).MP4	14068	7.82337				0
Howe_019	0	Analysis	20210303_CapeHowe_019_Rig9_9L (1).MP4	11447	6.36580				0
Howe_022	0	Analysis	20210303_CapeHowe_022_Rig10_10L (1).MP4	5907	3.28495				0
Howe_025	0	Analysis	20210227_CapeHowe_025_Rig9_9L (1).MP4	4630	2.57479				0
Howe_026	0	Analysis	20210227_CapeHowe_026_Rig2_2L (1).MP4	10201	5.67289				0
Howe_028	0	Analysis	20210227_CapeHowe_028_Rig3_3L (1).MP4	10848	6.03269				0
Howe_029	0	Analysis	20210228_CapeHowe_023_Rig1_1L (1).MP4	9001	5.00556				0
Howe_030	0	Analysis	20210227_CapeHowe_030_Rig4_4L (1).MP4	3759	2.09042				0
Howe_032	0	Analysis	20210228_CapeHowe_032_Rig10_10L (1).MP4	4758	2.64598				0
Howe_033	0	Analysis	20210227_CapeHowe_033_Rig8_8L (1).MP4	3184	1.77066				0
Howe_034	0	Analysis	20210227_CapeHowe_034_Rig1_1L (1).MP4	8482	4.71693				0
Howe_035	0	Analysis	20210227_CapeHowe_035_Rig10_10L (1).MP4	9534	5.30196				0
Howe_036	0	Analysis	20210227_CapeHowe_036_Rig5_5L (1).MP4	5424	3.01635				0
Howe_037	0	Analysis	20210228_CapeHowe_037_Rig2_2L (1).MP4	7337	4.08019				0
Howe_039	0	Analysis	20210304_CapeHowe_039_Rig10_10L (1).MP4	5445	3.02802				0
Howe_040	0	Analysis	20210228_CapeHowe_040_Rig8_8L (1).MP4	5174	2.87732				0
Howe_041	0	Analysis	20210228_CapeHowe_041_Rig4_4L (1).MP4	7092	3.94394				0
Howe_042	0	Analysis	20210304_CapeHowe_042_Rig9_9L (1).MP4	4445	2.47191				0
Howe_043	0	Analysis	20210228_CapeHowe_043_Rig5_5L (1).MP4	4239	2.35736				0
Howe_044	0	Analysis	20210228_CapeHowe_044_Rig6_6L (1).MP4	4454	2.47692				0
Howe_045	0	Analysis	20210304_CapeHowe_045_Rig8_8L (1).MP4	4797	2.66766				0
Howe_046	0	Analysis	20210304_CapeHowe_046_Rig4_4L (1).MP4	6379	3.54743				0
Howe_047	0	Analysis	20210304_CapeHowe_047_Rig1_1L (1).MP4	9218	5.12623				0
Howe_048	0	Analysis	20210304_CapeHowe_048_Rig6_6L (1).MP4	5813	3.23267				0
Howe_050	0	Analysis	20210304_CapeHowe_050_Rig2_2L (1).MP4	3676	2.04426				0
Howe_051	0	Analysis	20210304_CapeHowe_051_Rig5_5L (1).MP4	3506	1.94973				0
Howe_058	0	Analysis	20210301_CapeHowe_058_Rig1_1L (1).MP4	5400	3.00300				0
Howe_060	0	Analysis	20210301_CapeHowe_060_Rig10_10L (1).MP4	11200	6.22844				0
Howe_061	0	Analysis	20210303_CapeHowe_061_Rig8_8L (1).MP4	12673	7.04760				0
Howe_062	0	Analysis	20210303_CapeHowe_062_Rig10_10L (1).MP4	5600	3.11422				0
Howe_063	0	Analysis	20210303_CapeHowe_063_Rig9_9L (1).MP4	4897	2.72328				0
Howe_064	0	Analysis	20210301_CapeHowe_064_Rig5_5L (1).MP4	9214	5.12401				0
Howe_065	0	Analysis	20210304_CapeHowe_065_Rig2_2L (1).MP4	6752	3.75486				0
Howe_066	0	Analysis	20210303_CapeHowe_066_Rig5_5L (1).MP4	11001	6.11778				0
Howe_067	0	Analysis	20210304_CapeHowe_067_Rig6_6L (1).MP4	6725	3.73985				0
Howe_071	0	Analysis	20210303_CapeHowe_071_Rig4_4L (1).MP4	3955	2.19942				0
Howe_072	0	Analysis	20210303_CapeHowe_072_Rig5_5L (1).MP4	11227	6.24346				0
Howe_075	0	Analysis	20210304_CapeHowe_075_Rig9_9L (1).MP4	5757	3.20153				0
Howe_076	0	Analysis	20210304_CapeHowe_076_Rig10_10L (1).MP4	7733	4.30041				0
Howe_078	0	Analysis	20210303_CapeHowe_078_Rig2_2L (1).MP4	11390	6.33411				0
Howe_079	0	Analysis	20210303_CapeHowe_079_Rig4_4L (1).MP4	8842	4.91713				0
Howe_081	0	Analysis	20210303_CapeHowe_081_Rig5_5L (1).MP4	7144	3.97286				0
Howe_082	0	Analysis	20210304_CapeHowe_082_Rig5_5L (1).MP4	8280	4.60460				0
Howe_083	0	Analysis	20210301_CapeHowe_083_Rig4_4L (1).MP4	9486	5.27527				0
Howe_084	0	Analysis	20210301_CapeHowe_084_Rig2_2L (1).MP4	7205	4.00678				0
Howe_085	0	Analysis	20210301_CapeHowe_085_Rig9_9L (1).MP4	8976	4.99165				0
Howe_086	0	Analysis	20210301_CapeHowe_086_Rig1_1L (1).MP4	7979	4.43721				0
Howe_087	0	Analysis	20210301_CapeHowe_087_Rig10_10L (1).MP4	4400	2.44689				0
Howe_088	0	Analysis	20210301_CapeHowe_088_Rig6_6L (1).MP4	5539	3.08030				0
Howe_089	0	Analysis	20210301_CapeHowe_089_Rig4_4L (1).MP4	6223	3.46068				0
Howe_090	0	Analysis	20210303_CapeHowe_090_Rig8_8L (1).MP4	6008	3.34112				0
Howe_091	0	Analysis	20210303_CapeHowe_091_Rig9_9L (1).MP4	5596	3.11200				0
Howe_092	0	Analysis	20210304_CapeHowe_092_Rig8_8L (1).MP4	5893	3.27716				0
Howe_093	0	Analysis	20210303_CapeHowe_093_Rig6_6L (1).MP4	6350	3.53131				0
Howe_094	0	Analysis	20210304_CapeHowe_094_Rig4_4L (1).MP4	5319	2.95796				0
Howe_095	0	Analysis	20210303_CapeHowe_095_Rig2_2L (1).MP4	5182	2.88177				0
Howe_096	0	Analysis	20210301_CapeHowe_096_Rig1_1L (1).MP4	6316	3.51240				0
Howe_097	0	Analysis	20210303_CapeHowe_097_Rig6_6L (1).MP4	8934	4.96830				0
Howe_100	0	Analysis	20210303_CapeHowe_100_Rig10_10L (1).MP4	6595	3.66755				0
Howe_101	0	Analysis	20210303_CapeHowe_101_Rig1_10L (1).MP4	9939	5.52719				0
Howe_102	0	Analysis	20210304_CapeHowe_102_Rig1_1L (1).MP4	4733	2.63207				0
Howe_103	0	Analysis	20210301_CapeHowe_103_Rig8_6L (1).MP4	6374	3.54465				0
Howe_104	0	Analysis	20210228_CapeHowe_104_Rig1_1L (1).MP4	6886	3.82938				0
Howe_105	0	Analysis	20210301_CapeHowe_105_Rig9_9L (1).MP4	10890	6.05605				0
Howe_107	0	Analaysis	20210301_CapeHowe_107_Rig6_6L (1).MP4	6325	3.51740				0
Howe_108	0	Analysis	20210301_CapeHowe_108_Rig9_9L (1).MP4	5213	2.89901				0
Howe_109	0	Analysis	20210301_CapeHowe_109_Rig10_10L (1).MP4	5951	3.30942				0
Howe_110	0	Analysis	20210301_CapeHowe_110_Rig8_8L (1).MP4	4777	2.65654				0
Howe_111	0	Analysis	20210301_CapeHowe_111_Rig5_5L (1).MP4	2282	1.26905				0
