OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
E107	0	0	1513.03253	217.61194	844.15530	213.58209
E107	0	1	1587.57608	648.80597	858.25813	672.98507
E107	1	0	1219.55963	214.36215	1470.63303	210.05220
E107	1	1	1156.58716	212.15987	1414.26606	209.61175
E107	2	0	1246.42202	185.73246	1496.61468	178.77977
E107	2	1	1319.52294	191.45840	1572.35780	177.45840
E107	3	0	1027.55963	291.36868	1165.14679	302.86134
E107	3	1	1278.27523	363.90865	1392.14679	371.20228
E107	4	0	1607.79817	183.94617	1735.66055	158.00326
E107	4	1	1408.45872	177.19250	1548.05505	162.45677
E107	5	0	386.66972	81.33768	335.63303	143.27243
E107	5	1	614.07339	76.34584	597.21101	118.31321
E107	6	0	149.01835	195.43067	443.82569	257.25122
E107	6	1	319.58716	183.97879	602.77982	236.31321
E107	7	0	173.29358	475.63785	278.75229	510.12887
E107	7	1	395.42202	358.16803	502.49541	389.99511
E107	8	0	1036.61468	148.75693	1102.63303	160.30506
E107	8	1	828.44954	139.30506	918.46789	164.40783
E107	9	0	1456.02752	502.13540	1841.61468	503.15987
E107	9	1	1489.49541	496.84992	1880.36697	498.31485
E107	10	0	858.45872	498.24959	1220.31193	513.21697
E107	10	1	911.59633	467.71126	1270.22018	480.03589
E107	11	0	192.00000	237.89723	69.57798	303.24307
E107	11	1	323.66972	194.29201	191.55963	255.67374
E107	12	0	896.09174	538.25449	1258.06422	549.64927
E107	12	1	930.00000	509.62480	1291.09174	523.22186
E107	13	0	505.09174	504.41599	534.79817	529.08320
E107	13	1	242.09174	357.78956	343.69725	398.21044
E107	14	0	1191.11927	681.18597	1199.77064	698.02610
E107	14	1	942.42202	632.10604	975.82569	647.07504
E107	15	0	1585.56881	668.92170	1328.20183	688.19413
E107	15	1	1759.51376	552.64111	1481.00917	565.74715
E107	16	0	1041.78899	324.60522	1184.33945	337.45514
E107	16	1	1240.54128	304.93148	1360.19266	306.91680
E107	17	0	1816.28440	392.96411	1860.11009	381.47145
E107	17	1	1494.87156	361.83850	1526.58716	357.13051
E107	18	0	1734.69725	551.74225	1880.68807	555.61501
E107	18	1	1459.66055	571.02773	1557.22936	583.14519
E107	19	0	927.47706	648.67700	970.07339	663.16150
E107	19	1	1183.35780	580.01142	1248.20183	593.83687
E107	20	0	309.03670	293.81892	438.35780	343.32953
E107	20	1	619.86239	359.88418	772.48624	386.90049
E107	21	0	1611.30275	784.58891	1405.09174	809.67210
E107	21	1	1808.14679	753.31648	1558.77982	781.48287
E107	22	0	465.22018	220.29690	625.31193	264.25612
E107	22	1	654.86239	169.63785	758.88991	201.12398
E107	23	0	764.37615	293.42251	1008.34862	311.19413
E107	23	1	575.01835	295.18434	822.83486	322.55139
E107	24	0	880.00917	476.23165	1254.50459	489.95759
E107	24	1	912.59633	471.38662	1286.21101	486.43393
