OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
E107	1	EMR_E107_406_407_406.avi	4029	EMR_E107_406_407_407.avi	2912	2.686	bottom	0.02867	171.29779	19.76228	2.20593	4130.2303	12.18682	57.52066	8.72001	618.59238	614.44102	-4037.15346	Chaetodontidae	Chaetodon	tricinctus		1	AD	Passing			
E107	2	EMR_E107_406_407_406.avi	4029	EMR_E107_406_407_407.avi	2912	2.686	bottom	0.02867	140.76785	11.53132	2.54797	4017.82215	14.39572	30.28219	7.45528	766.54721	640.47574	-3891.66944	Chaetodontidae	Chaetodon	tricinctus		1	AD	Passing			
E107	3	EMR_E107_406_407_406.avi	4070	EMR_E107_406_407_407.avi	2953	2.71333	bottom	0.056	414.22576	7.81165	2.9237	2994.37869	8.1489	38.47331	17.74667	310.88416	288.96665	-2964.14457	Kyphosidae	Kyphosus	sectatrix		1	AD	Passing			
E107	4	EMR_E107_406_407_406.avi	4076	EMR_E107_406_407_407.avi	2959	2.71733	bottom	0.06	306.05796	8.98524	0.03313	2933.37581	17.85963	52.77344	9.11895	764.74553	473.8037	-2792.01862	Acanthuridae	Acanthurus	albipectoralis		1	AD	Passing			
E107	5	EMR_E107_406_407_406.avi	4096	EMR_E107_406_407_407.avi	2979	2.73067	bottom	0.07333	297.17106	4.97499	2.03299	2220.72649	17.59482	47.77733	11.41821	-505.47451	441.72967	-2116.83645	Acanthuridae	Acanthurus	albipectoralis		1	AD	Passing			
E107	6	EMR_E107_406_407_406.avi	4104	EMR_E107_406_407_407.avi	2987	2.736	bottom	0.07867	328.40594	15.48059	9.49415	4183.52244	17.93938	41.09099	10.95708	-1135.17351	609.74677	-3980.13191	Kyphosidae	Kyphosus	sectatrix		1	AD	Passing			
E107	7	EMR_E107_406_407_406.avi	4120	EMR_E107_406_407_407.avi	3003	2.74667	bottom	0.08933	327.1719	6.23672	3.87763	2693.47664	17.39499	43.82184	27.871	-793.19264	138.73928	-2570.29439	Acanthuridae	Acanthurus	dussumieri	37437008	1	AD	Passing			
E107	8	EMR_E107_406_407_406.avi	4139	EMR_E107_406_407_407.avi	3022	2.75933	bottom	0.102	286.33862	4.93195	2.10455	2775.5843	10.38864	25.84085	5.76082	-24.59119	499.90036	-2730.08482	Acanthuridae	Acanthurus	albipectoralis		1	AD	Passing			
E107	9	EMR_E107_406_407_406.avi	4147	EMR_E107_406_407_407.avi	3030	2.76467	bottom	0.10733	88.11161	26.28604	1.08604	5390.78193	17.3124	43.29235	6.54121	1602.40088	75.88585	-5146.56027	Chaetodontidae	Chaetodon	plebeius	37365050	1	AD	Passing			
E107	10	EMR_E107_406_407_406.avi	4162	EMR_E107_406_407_407.avi	3045	2.77467	bottom	0.11733	200.99848	29.22734	5.95383	6133.56703	2.35222	36.6155	25.9106	210.29024	138.38177	-6128.39889	Chaetodontidae	Chaetodon	unimaculatus	37365061	1	AD	Passing			
E107	11	EMR_E107_406_407_406.avi	4168	EMR_E107_406_407_407.avi	3051	2.77867	bottom	0.12133	105.31915	1.97524	4.35513	1878.33633	22.13925	17.77304	23.45727	-663.42743	246.8621	-1739.84784	Labridae	Labroides	dimidiatus	37384028	1	AD	Passing			
