OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
E107	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E107.EMObs
E112	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E112.EMObs
E12	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E12.EMObs
E121	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E121.EMObs
E130	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E130.EMObs
E133	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E133.EMObs
E136	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E136.EMObs
E140	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E140.EMObs
E165	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E165.EMObs
E166	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E166.EMObs
E168	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E168.EMObs
E19	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E19.EMObs
E195	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E195.EMObs
E208	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E208.EMObs
E213	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E213.EMObs
E231	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E231.EMObs
E236	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E236.EMObs
E243	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E243.EMObs
E268	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E268.EMObs
E270	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E270.EMObs
E276	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E276.EMObs
E285	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E285.EMObs
E29	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E29.EMObs
E298	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E298.EMObs
E37	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E37.EMObs
E39	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E39.EMObs
E42	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E42.EMObs
E46	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E46.EMObs
E49	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E49.EMObs
E79	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E79.EMObs
E89	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E89.EMObs
E93	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_E93.EMObs
M03	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M03.EMObs
M06	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M06.EMObs
M07	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M07.EMObs
M08	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M08.EMObs
M104	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M104.EMObs
M105	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M105.EMObs
M109	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M109.EMObs
M110	1.08	2020 10 29 08:02:38	E:\EMR_Shallow\	EMR_M110.EMObs
M113	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M113.EMObs
M116	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M116.EMObs
M119	1.08	2020 10 29 08:02:38	E:\EMR_Shallow\	EMR_M119.EMObs
M123	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M123.EMObs
M13	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M13.EMObs
M132	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M132.EMObs
M137	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M137.EMObs
M141	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M141.EMObs
M16	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M16.EMObs
M161	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M161.EMObs
M163	1.08	2020 10 29 08:02:38	E:\EMR_Shallow\	EMR_M163.EMObs
M164	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M164.EMObs
M165	1.08	2020 10 29 08:02:38	E:\EMR_Shallow\	EMR_M165.EMObs
M169	1.08	2020 10 29 08:02:38	E:\EMR_converted_JH\	EMR_M169.EMObs
