Sample,Longitude,Latitude,Date,Time,Site,Location,Zone,Status,Depth,Successful.count,Successful.length,Observer,inclusion.probabilities,,,
E6,159.06422,-29.94691,20200205,15:21:00,E06,Elizabeth,Lagoon,Fished,-4.919752,Yes,Yes,Joel ,0.030332494,,,
E107,159.03851,-29.92328,20200205,12:10:00,E107,Elizabeth,Outside,Fished,-13.24134636,Yes,Yes,Kristy,0.220297919,,,
E112,159.05575,-29.90933,20200204,15:50:00,E112,Elizabeth,Outside,Fished,-27.33211517,Yes,Yes,Kristy,0.011685435,,,
E12,159.05239,-29.9151,20200205,16:13:00,E12,Elizabeth,Outside,Fished,-20.13380051,Yes,Yes,Kristy,0.331240605,,,
E121,159.03333,-29.91624,20200204,15:32:00,E121,Elizabeth,Outside,Fished,-30.73846436,Yes,Yes,Kristy,0.011685435,,,
E124,159.0637,-29.93513,20200205,14:59:00,E124,Elizabeth,Lagoon,Fished,-2.08098,Yes,Yes,Joel,0.045455575,,,
E130,159.03892,-29.89733,20200204,11:31:00,E130,Elizabeth,Outside,Fished,-52.45285034,Yes,Yes,Kristy,0.011446866,,,
E133,159.06311,-29.9086,20200204,15:54:00,E133,Elizabeth,Outside,Fished,-26.09704971,Yes,Yes,Kristy,0.05214676,,,
E136,159.02856,-29.89372,20200204,10:50:00,E136,Elizabeth,Outside,Fished,-97.73287964,Yes,Yes,Kristy,0.04403274,,,
E140,159.06052,-29.91654,20200205,11:45:00,E140,Elizabeth,Outside,Fished,-13.6982,Yes,Yes,Kristy,0.331240605,,,
E165,159.06195,-29.90068,20200204,16:10:00,E165,Elizabeth,Outside,Fished,-32.52280807,Yes,Yes,Kristy,0.05214676,,,
E166,159.05016,-29.91768,20200205,16:08:00,E166,Elizabeth,Outside,Fished,-17.12715149,Yes,Yes,Kristy,0.331240605,,,
E168,159.04669,-29.90572,20200204,11:21:00,E168,Elizabeth,Outside,Fished,-33.1035,Yes,Yes,Kristy,0.011685435,,,
E19,159.04378,-29.89453,20200204,11:36:00,E19,Elizabeth,Outside,Fished,-56.87878418,Yes,Yes,Kristy,0.018909332,,,
E191,159.05551,-29.93293,20200205,14:47:00,E191,Elizabeth,Lagoon,Fished,-2.496516,Yes,Yes,Joel,0.045455575,,,
E195,159.02727,-29.91137,20200204,15:28:00,E195,Elizabeth,Outside,Fished,-45.49755096,Yes,Yes,Kristy,0.033622978,,,
E208,159.03504,-29.91633,20200204,15:38:00,E208,Elizabeth,Outside,Fished,-30.519104,Yes,Yes,Kristy,0.011685435,,,
E213,159.05576,-29.92232,20200205,11:30:00,E213,Elizabeth,Outside,Fished,-14.11886,Yes,Yes,Kristy,0.220297919,,,
E231,159.06461,-29.90021,20200204,16:05:00,E231,Elizabeth,Outside,Fished,-32.07427979,Yes,Yes,Kristy,0.011685435,,,
E236,159.04561,-29.92341,20200205,15:55:00,E236,Elizabeth,Outside,Fished,-20.38117409,Yes,Yes,Kristy,0.064483758,,,
E243,159.03612,-29.90753,20200204,11:12:00,E243,Elizabeth,Outside,Fished,-32.82580566,Yes,Yes,Kristy,0.05214676,,,
E268,159.0469,-29.91876,20200205,16:04:00,E268,Elizabeth,Outside,Fished,-17.65852165,Yes,Yes,Kristy,0.220297919,,,
E270,159.07538,-29.90332,20200204,16:00:00,E270,Elizabeth,Outside,Fished,-29.74519157,Yes,Yes,Kristy,0.011685435,,,
E276,159.03053,-29.89521,20200204,10:46:00,E276,Elizabeth,Outside,Fished,-78.95681763,Yes,Yes,Kristy,0.018909332,,,
E285,159.0426,-29.91213,20200204,11:15:00,E285,Elizabeth,Outside,Fished,-31.0781498,Yes,Yes,Kristy,0.011685435,,,
E29,159.05426,-29.92214,20200205,11:15:00,E29,Elizabeth,Outside,Fished,-16.55679,Yes,Yes,Kristy,0.220297919,,,
E298,159.03753,-29.9254,20200205,12:30:00,E298,Elizabeth,Outside,Fished,-16.54883,Yes,Yes,Kristy,0.064483758,,,
E37,159.05943,-29.9142,20200205,15:37:00,E37,Elizabeth,Outside,Fished,-17.84951,Yes,Yes,Kristy,0.064483758,,,
E39,159.04908,-29.92413,20200205,10:30:00,E39,Elizabeth,Outside,Fished,-17.80526,Yes,Yes,Kristy,0.220297919,,,
E42,159.07062,-29.90476,20200204,15:58:00,E42,Elizabeth,Outside,Fished,-28.34314,Yes,Yes,Kristy,0.011685435,,,
