op_code,relief_1_some_relief_features_amongst_mostly_flat_substrate_sand_rubble_45_degree_substrate_slope,relief_2_mostly_relief_features_amongst_some_flat_substrate_or_rubble_45_substrate_slope,relief_3_good_relief_structure_with_some_overhangs_45_substrate_slope,relief_4_high_structural_complexity_fissures_and_caves_vertical_wall_90_substrate_slope,relief_unknown,field_of_view_facing_down,field_of_view_facing_up,field_of_view_limited,field_of_view_open,code,biota_consolidated_boulder_turf_mat,biota_consolidated_cobbles_turf_mat,biota_consolidated_cobbles_veneer,biota_consolidated_rock_turf_mat,biota_consolidated_rock_veneer,biota_invertebrate_complex_complex_1_na,biota_invertebrate_complex_complex_2_na,biota_invertebrate_complex_complex_3_na,biota_macroalgae_erect_course_branching_brown,biota_macroalgae_filamentous_and_filiform_na,biota_macroalgae_globose_saccate_na,biota_macroalgae_large_canopy_forming_brown,biota_macroalgae_sheet_like_membranous_na,biota_octocoral_black_branching_3d_na,biota_octocoral_black_fan_2d_na,biota_octocoral_black_massive_soft_corals_na,biota_octocoral_black_whip_na,biota_open_water_na_na,biota_seagrasses_elliptical_leaves_na,biota_sponges_crusts_encrusting,biota_sponges_erect_forms_branching,biota_sponges_erect_forms_lamiar,biota_sponges_hollow_forms_cups_and_alikes,biota_sponges_massive_forms_simple,biota_stony_corals_branching_bleached,biota_stony_corals_branching_live,biota_stony_corals_columnar_live,biota_stony_corals_digitate_bleached,biota_stony_corals_digitate_live,biota_stony_corals_encrusting_live,biota_stony_corals_foliose_plate_live,biota_stony_corals_massive_bleached,biota_stony_corals_massive_live,biota_stony_corals_small_mixed_live,biota_stony_corals_tabulate_live,biota_unconsolidated_pebble_gravel_biogenic_coral_rubble,biota_unconsolidated_pebble_gravel_biogenic_rhodolith,biota_unconsolidated_pebble_gravel_gravel_2_10mm_na,biota_unconsolidated_pebble_gravel_pebble_10_64mm_na,biota_unconsolidated_sand_mud_coarse_sand_na,biota_unconsolidated_sand_mud_fine_sand_na,biota_unknown_na_na
E06,2,0,0,0,0,0,0,2,18,656008112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2
E107,5,5,0,0,0,0,0,2,18,112909075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
E112,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E12,3,12,0,0,0,0,0,2,18,463494887,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0
E121,7,4,0,0,0,0,0,4,17,1066493902,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
E124,0,2,0,0,0,0,0,2,18,656008072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3
E130,12,0,0,0,0,0,0,2,18,309197929,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E133,0,0,0,0,0,0,0,4,16,820010150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
E136,19,0,0,0,0,0,0,3,17,1416354868,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E140,4,0,0,0,0,0,0,2,18,44797667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
