OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
DeepReef_Butlers_01_24032015	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.138207594	0.038599535	6.029988641	0.000538138	0.000588782	0	0.000305665	0.000888379	0	0.000471187	-325.9063552	0	0	-0.128470337	-7.945976498	-1.920776518	mm
DeepReef_Butlers_01_24032015	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.103985283	0.138819668	6.024699026	-0.000544366	0.000996731	0	0.000814077	0.000938178	0	0.000820868	325.9063552	0	0	0.128470337	7.030727005	-0.242299146	mm
DeepReef_Butlers_02_24032015	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.031510269	0.064653262	5.529151303	0.000506442	0.000882029	0	-0.000626681	0.000595965	0	0.000886181	-324.352947	0	0	-0.07496494	-6.475355512	-0.051214103	mm
DeepReef_Butlers_02_24032015	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.017631626	0.042325415	5.529508895	0.000712914	0.000599703	0	-0.000815779	0.000234347	0	0.000227331	324.352947	0	0	0.07496494	8.73854738	-0.639404238	mm
DeepReef_Butlers_03_26032015	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.09450898	-0.036836119	6.033872383	2.34822E-05	0.000731343	0	0.000386811	0.000290937	0	-0.000167518	-335.9331425	0	0	0.070577815	-7.807595652	-1.630917281	mm
DeepReef_Butlers_03_26032015	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.079907369	-0.040681041	6.045254982	-0.001255501	0.001158262	0	8.47754E-05	6.94002E-05	0	0.001092408	335.9331425	0	0	-0.070577815	8.39046698	-1.939128089	mm
DeepReef_Butlers_04_09032015	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.146503968	0.025540679	6.018130346	0.000448516	0.000659716	0	0.000226531	0.0002858	0	-0.000499126	-334.9378883	0	0	-0.708679018	-7.277408488	-0.559291797	mm
DeepReef_Butlers_04_09032015	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.156202969	-0.009968506	6.037131472	0.000608582	0.000597144	0	0.000453628	0.000354518	0	0.000257498	334.9378883	0	0	0.708679018	7.542720522	0.183599226	mm
DeepReef_Butlers_05_26032015	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.031510269	0.064653262	5.529151303	0.000506442	0.000882029	0	-0.000626681	0.000595965	0	0.000886181	-324.352947	0	0	-0.07496494	-6.475355512	-0.051214103	mm
DeepReef_Butlers_05_26032015	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.017631626	0.042325415	5.529508895	0.000712914	0.000599703	0	-0.000815779	0.000234347	0	0.000227331	324.352947	0	0	0.07496494	8.73854738	-0.639404238	mm
DeepReef_Butlers_06	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.019310358	0.052045287	5.541063976	0.001142108	0.000693556	0	-0.000284464	0.000340412	0	-0.000151895	-324.5020336	0	0	-0.077857895	-7.359669095	-0.350501435	mm
DeepReef_Butlers_06	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.004371981	0.044972418	5.522742043	0.000899902	0.000779872	0	-0.00063172	0.000340598	0	0.000376469	324.5020336	0	0	0.077857895	8.111734017	-0.172986761	mm
DeepReef_Butlers_07	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.146503968	0.025540679	6.018130346	0.000448516	0.000659716	0	0.000226531	0.0002858	0	-0.000499126	-334.9378883	0	0	-0.708679018	-7.277408488	-0.559291797	mm
DeepReef_Butlers_07	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.156202969	-0.009968506	6.037131472	0.000608582	0.000597144	0	0.000453628	0.000354518	0	0.000257498	334.9378883	0	0	0.708679018	7.542720522	0.183599226	mm
DeepReef_Butlers_08	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.146503968	0.025540679	6.018130346	0.000448516	0.000659716	0	0.000226531	0.0002858	0	-0.000499126	-334.9378883	0	0	-0.708679018	-7.277408488	-0.559291797	mm
DeepReef_Butlers_08	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.156202969	-0.009968506	6.037131472	0.000608582	0.000597144	0	0.000453628	0.000354518	0	0.000257498	334.9378883	0	0	0.708679018	7.542720522	0.183599226	mm
DeepReef_Butlers_09	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.017631626	0.042325415	5.529508895	0.000712914	0.000599703	0	-0.000815779	0.000234347	0	0.000227331	324.352947	0	0	0.07496494	8.73854738	-0.639404238	mm
DeepReef_Butlers_09	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.031510269	0.064653262	5.529151303	0.000506442	0.000882029	0	-0.000626681	0.000595965	0	0.000886181	-324.352947	0	0	-0.07496494	-6.475355512	-0.051214103	mm
DeepReef_Butlers_10	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.019310358	0.052045287	5.541063976	0.001142108	0.000693556	0	-0.000284464	0.000340412	0	-0.000151895	-324.5020336	0	0	-0.077857895	-7.359669095	-0.350501435	mm
DeepReef_Butlers_10	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.004371981	0.044972418	5.522742043	0.000899902	0.000779872	0	-0.00063172	0.000340598	0	0.000376469	324.5020336	0	0	0.077857895	8.111734017	-0.172986761	mm
DeepReef_Butlers_11	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.132794634	0.000933726	6.025413557	0.001069574	0.000400171	0	0.000268197	-6.68255E-05	0	-0.000184756	-335.4213457	0	0	-0.696814758	-7.554772988	0.185098007	mm
DeepReef_Butlers_11	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.156202969	-0.009968506	6.037131472	0.000608582	0.000597144	0	0.000453628	0.000354518	0	0.000257498	334.9378883	0	0	0.708679018	7.542720522	0.183599226	mm
