OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
DeepReef_Butlers_01_24032015	Bastien Taormina	51		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	no	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_02_24032015	Bastien Taormina	48		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	no	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_03_26032015	Justin Hulls	44		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type 	Pilchards Crushed	Camera Types	Canon HFM 300 0.5x Wide	Camera Pair	286 287	Lights 	no	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_04_09032015	Bastien Taormina	35	bait falls at the begining - bait not central - cameras in height (difficult to see the bottom)	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	no	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_05_26032015	Bastien Taormina	30	Pointing Up - Kelp in front of right camera	Survey - Project	FRDC_DeepReef	Bait Type	BP_05	Camera Type	??	Camera Pair	406-407	Lights 	no	Drop Date	5/05/2015	Bait Arm Length		Camera Height	
DeepReef_Butlers_06	Justin Hulls	27	Lot of kelps	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Crushed Pilchards	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_07	Bastien Taormina	22	Lot of kelps - Right camera stop at 45min	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_08	Bastien Taormina	51		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_09	Justin Hulls	49	Camera on the side Scored Right Cam	Survey - Project	FRDC_DeepReef_2015	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_10	Bastien Taormina	42		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_11	Bastien Taormina	35	Pointing up	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchars Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_12	Justin Hulls	30	Work with the right camera instead of the left (better vision)	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_13	Bastien Taormina	26	Pointing up	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_14	Bastien Taormina	23	Pointing down - Kelps	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_16	Jusitn Hulls	45	Pointing down	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Canon HFM 300 0.5x Wide	Camera Type	Reef	Camera Pair	282 283	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_17	Bastien Taormina	41	Pointing Up 	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	25/03/2015	Bair Arm Length	1500	Camera Height	500
DeepReef_Butlers_18	Bastien Taormina	40	Camera moove just befor the end 	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair 	404 405	Lights 	No	Date Scored	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_19	Bastien Taormina	33		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_20	Bastien Taormina	27	Pointinf up - Kelps	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_21	Bastien Taormina	24	Lots of kelps	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_22	Justin Hulls	50	Camera remove juste before the end (1min)	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_23	Bastien Taormina	50		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_24	Justin Hulls	40		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Light	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_25	Justin Hulls	36	Lots of kelps - Works with right camera	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Reef	Camera Pair	282 283	Light	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_26	Bastien Taormina	35		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_27	Bastien Taormina	26	Lots of kelps - Using right camera - Flip at 10min	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Light	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_28	Bastient Taormina	23	Lors of kelps	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_29	Bastien Taormina	51	Pointing down - Camera remoove 7 min before the end	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_30	Justin Hulls	47	"Frame lands on its side, Scored Right Cam"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_31	Justin Hulls	43	facing up	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_32	Justin Hulls	35		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_33	Justin Hulls	31	"Scored right Cam, Left out of focus, faced up after 23min BT then returns to normal at 37mim BT"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_34	Justin Hulls	27	Faces Downish in Kelp	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_35	Justin Hulls	21	"Kelp Over Right Cam, Right Cam Stops at 57 mim Bottom Time"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_36	Justin Hulls	51	Scored Right Cam Left Behind a rock	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_37	Bastien Taormina	48		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Chushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_38	Justin Hulls	41	Scored Right Cam Left Behind kelp	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_39	Justin Hulls	37	Facing down	Survey - Project	FRDC_DeepReef_2015	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_40	Bastien Taormina	32		Survey - Project	Butlers Point - FRDC_DeepReed	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	24/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_42	Justin Hulls	23	"Scored Left Cam, Right Behind Kelp"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_43	Justin Hulls	51		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_44	Justin Hulls	45	"Scored Left Cam, Right Behind Sponge"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_45	Justin Hulls	40	"Scored Left Cam, Right Behind Kelp"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_46	Justin Hulls	37	Only 58 min Bottom Time	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_47	Justin Hulls	32		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_48	Justin Hulls	28	"Scored Left Cam, Right Behind Kelp, Frame Moves up untill 11min Bottom time"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_49	Justin Hulls	23	"Facing Up, Very Hard to ID, poor "	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_50	Bastien Taormina	50		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Reef-Sand	Camera  Pair	282 283	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_51	Bastien Taormina	48	Point of view change after 6 min	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_52	Bastien Taormina	41	Camera remoove 2min before the end	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	404 405	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_53	Justin Hulls	37	"Scored Right Video, Left stoped after 4 min total time"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	10/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_54	Bastien Taormina	30	Lots of kelps and current	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_55	Justin Hulls	26	"Facing a rock covered in Kelp, limmited field of view "	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_56	Justin Hulls	23	"Scored Left Cam, Right Behind Kelp, frame moves after 24:30 bottom time."	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_57	Bastien Taormina	53	Camera on the side - Work with the right camera instead of the left (better vision)	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_58	Justin Hulls	50	"Scored Left Cam, Right Behind Sponge"	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_59	Bastien Taormina	43		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Light	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_60	Bastien Taormina	37	Work with right camera	Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_61	Bastien Taormina	34		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 25 (No wide angle)	Camera Pair	406 407	Light	No	Drop Date	9/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_62	Bastien Taormina	28		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	26/03/2015	Bait Arm Length	1500	Camera Height	500
DeepReef_Butlers_63	Justin Hulls	21		Survey - Project	Butlers Point - FRDC_DeepReef	Bait Type	Pilchards Crushed	Camera Type	Reef	Camera Pair	286 287	Lights 	No	Drop Date	25/03/2015	Bait Arm Length	1500	Camera Height	500
DR_Firars_1	Justin Hulls	78	Frame rolls onto its side at 34min BT	Survey - Project	Firars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	15/04/2015	Bait Arm Length	1500	Camera Height	500
DR_Firars_2	Justin Hulls	63	Facing a wall. Very Grainy	Survey - Project	Friars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	15/04/2015	Bait Arm Length	1500	Camera Height	500
DR_Firars_3	Justin Hulls	56	"Right Cam Stops 20min, left Cam stops at 54 min bottom time"	Survey - Project	Friars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Reef	Camera Pair	282 283	Lights 	No	Drop Date	16/03/2015	Bait Arm Length	1500	Camera Height	500
DR_Firars_4	Justin Hulls	41	Frame sitting on a 45deg angle	Survey - Project	Friars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	10/04/2015	Bait Arm Length	1500	Camera Height	500
DR_Firars_5	Justin Hulls	40	"Scoring Right Cam, Left Blury Right Cam stoped after 49:30 min Left cam Stopes at 57:30, nothing new seen on Left Cam after right finished"	Survey - Project	Friars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	284 285	Lights 	No	Drop Date	16/03/2015	Bait Arm Lenght	1500	Camera Height	500
DR_Firars_6	Justin Hulls	25	"Facing Up, Weed in bottom of frame"	Survey - Project	Friars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	21/04/2015	Bait Arm Length	1500	Camera Height	500
DR_Firars_7	Justin Hulls	73	Reef	Survey - Project	Friars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	282 283	Lights 	No	Drop Date	15/04/2015	Bait Arm Length	1500	Camera Height	500
DR_Firars_8	Justin Hulls	63	" Right (287) Cam Only, 49 min frame faced down"	Survey - Project	Friars - FRDC_DeepReef	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 52 0.66x Wide	Camera Pair	286 287	Lights 	No	Drop Date	15/04/2015	Bait Arm Length	1500	Camera Height	500
