OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
DeepReef_Butlers_01_24032015	0	DeepReef_Butlers_01_24032015_282.avi	25245	DeepReef_Butlers_01_24032015_283.avi	22740	16.83	Bottom	9.934	318.54418	2.59944	0.59063	1900.46684	16.26341	26.83634	2.62918	335.1485	413.45782	-1824.41836	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
DeepReef_Butlers_01_24032015	1	DeepReef_Butlers_01_24032015_282.avi	47101	DeepReef_Butlers_01_24032015_283.avi	44596	31.40067	Bottom	24.50467	260.14771	1.18145	2.11397	1553.86709	13.1191	7.20962	4.19677	-352.68268	-2.33411	-1513.31174	Labridae	Notolabrus	tetricus	37384003	1	F	Passing	TL		
DeepReef_Butlers_01_24032015	2	DeepReef_Butlers_01_24032015_282.avi	47217	DeepReef_Butlers_01_24032015_283.avi	44712	31.478	Bottom	24.582	507.91221	12.08385	1.25258	3397.99408	13.43992	45.64665	8.92206	352.10473	706.94865	-3304.93716	Labridae	Notolabrus	tetricus	37384003	1	M	Passing	TL		
DeepReef_Butlers_01_24032015	3	DeepReef_Butlers_01_24032015_282.avi	47696	DeepReef_Butlers_01_24032015_283.avi	45191	31.79733	Bottom	24.90133	353.95612	0.78781	2.9939	1243.75436	15.49325	4.83345	22.46647	255.66071	-212.17805	-1198.55871	Labridae	Notolabrus	tetricus	37384003	1	F	Passing	TL		
DeepReef_Butlers_02_24032015	0	DeepReef_Butlers_02_24032015_406.avi	51710	DeepReef_Butlers_02_24032015_407.avi	49531	34.47333	Bottom	28.51333	290.62302	2.41056	1.02706	1597.78126	14.67302	53.12422	36.82048	238.21448	327.19063	-1545.67303	Labridae	Notolabrus	tetricus	37384003	1	F	Passing	TL		
DeepReef_Butlers_02_24032015	1	DeepReef_Butlers_02_24032015_406.avi	51837	DeepReef_Butlers_02_24032015_407.avi	49658	34.558	Bottom	28.598	396.30973	1.74795	1.94373	1643.34674	15.82192	24.14387	7.52742	282.92878	347.42682	-1581.08646	Labridae	Notolabrus	tetricus	37384003	1	F	Passing	TL		
DeepReef_Butlers_02_24032015	2	DeepReef_Butlers_02_24032015_406.avi	52370	DeepReef_Butlers_02_24032015_407.avi	50191	34.91333	Bottom	28.95333	448.76373	1.70291	2.30006	1910.10257	13.72734	14.65065	22.0933	-259.81943	371.41368	-1855.54239	Labridae	Notolabrus	tetricus	37384003	1	M	Passing	TL		
DeepReef_Butlers_02_24032015	3	DeepReef_Butlers_02_24032015_406.avi	65674	DeepReef_Butlers_02_24032015_407.avi	63495	43.78267	Bottom	37.82267	448.73451	1.05724	0.52197	1735.84161	12.28208	1.62758	4.42481	192.73118	314.96835	-1696.11195	Cheilodactylidae	Cheilodactylus	spectabilis	37377006	1		Passing	FL		
DeepReef_Butlers_02_24032015	4	DeepReef_Butlers_02_24032015_406.avi	90091	DeepReef_Butlers_02_24032015_407.avi	87912	60.06067	Bottom	54.10067	351.48447	1.23056	0.44813	1697.2273	3.18328	12.20208	19.35568	64.75851	68.47558	-1694.60849	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
DeepReef_Butlers_02_24032015	5	DeepReef_Butlers_02_24032015_406.avi	90120	DeepReef_Butlers_02_24032015_407.avi	87941	60.08	Bottom	54.12	310.39003	2.53705	0.84231	1632.71214	4.30811	37.71198	1.54	117.8822	-33.86142	-1628.09893	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
DeepReef_Butlers_02_24032015	6	DeepReef_Butlers_02_24032015_406.avi	90197	DeepReef_Butlers_02_24032015_407.avi	88018	60.13133	Bottom	54.17133	289.40292	2.22765	1.66226	1965.14648	16.47358	18.65627	0.88929	-496.39535	253.24604	-1884.47839	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Feeding	FL		
DeepReef_Butlers_02_24032015	7	DeepReef_Butlers_02_24032015_406.avi	90198	DeepReef_Butlers_02_24032015_407.avi	88019	60.132	Bottom	54.172	392.06921	1.65954	0.38031	1739.13111	9.3165	18.43346	6.79176	131.91945	248.72596	-1716.19045	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
DeepReef_Butlers_03_26032015	0	DeepReef_Butlers_03_26032015_286.avi	35079	DeepReef_Butlers_03_26032015_287.avi	31387	23.386	Bottom	18.00733	341.51534	3.64905	1.63367	1722.63579	12.82701	57.60458	10.34064	360.76007	-126.9328	-1679.64708	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
DeepReef_Butlers_03_26032015	1	DeepReef_Butlers_03_26032015_286.avi	35180	DeepReef_Butlers_03_26032015_287.avi	31488	23.45333	Bottom	18.07467	295.51443	2.76766	1.96757	1849.35269	17.01198	33.05529	4.3885	525.1362	-130.3332	-1768.43168	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
DeepReef_Butlers_03_26032015	2	DeepReef_Butlers_03_26032015_286.avi	60219	DeepReef_Butlers_03_26032015_287.avi	56527	40.146	Bottom	34.76733	509.35313	68.1122	2.22921	10111.47404	7.90163	28.07946	14.02907	-987.42487	978.38471	-10015.47117	Cheilodactylidae	Cheilodactylus	spectabilis	37377006	1		Passing	FL		
DeepReef_Butlers_03_26032015	3	DeepReef_Butlers_03_26032015_286.avi	63220	DeepReef_Butlers_03_26032015_287.avi	59528	42.14667	Bottom	36.768	432.9333	3.96467	1.83291	1964.44281	14.79237	45.31675	7.2616	415.58646	-280.79511	-1899.33608	Latridae	Latris	lineata	37378001	1		Passing	FL		
DeepReef_Butlers_03_26032015	4	DeepReef_Butlers_03_26032015_286.avi	70332	DeepReef_Butlers_03_26032015_287.avi	66640	46.888	Bottom	41.50933	364.04416	11.63969	5.09403	3318.65634	4.38966	44.70848	1.62559	-241.32431	-79.25885	-3308.92135	Labridae	Notolabrus	tetricus	37384003	1	F	Passing	TL		
DeepReef_Butlers_03_26032015	5	DeepReef_Butlers_03_26032015_286.avi	80226	DeepReef_Butlers_03_26032015_287.avi	76534	53.484	Bottom	48.10533	454.20279	1.26537	2.55003	1767.81582	9.56947	7.46218	18.63868	241.64645	-167.26282	-1743.21626	Labridae	Notolabrus	tetricus	37384003	1	M	Passing	TL		
DeepReef_Butlers_04_09032015	0	DeepReef_Butlers_04_09032015_284.avi	13555	DeepReef_Butlers_04_09032015_285.avi	13434	9.03667	Bottom	6.31067	400.60441	17.87555	7.23742	6010.59975	14.28503	17.88907	17.06376	1385.1297	530.06807	-5824.75346	Labridae	Notolabrus	tetricus	37384003	1	M	Passing	TL		
DeepReef_Butlers_04_09032015	1	DeepReef_Butlers_04_09032015_284.avi	34211	DeepReef_Butlers_04_09032015_285.avi	34090	22.80733	Bottom	20.08133	389.75465	9.88447	3.35641	5144.00423	7.56313	14.16581	8.05744	221.39883	-639.82311	-5099.25371	Cheilodactylidae	Cheilodactylus	spectabilis	37377006	1		Passing	FL		
DeepReef_Butlers_04_09032015	2	DeepReef_Butlers_04_09032015_284.avi	68211	DeepReef_Butlers_04_09032015_285.avi	68090	45.474	Bottom	42.748	308.53531	4.33141	1.22829	2077.83188	12.23018	42.34221	0.58941	185.19562	-399.31167	-2030.67429	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
DeepReef_Butlers_04_09032015	3	DeepReef_Butlers_04_09032015_284.avi	92689	DeepReef_Butlers_04_09032015_285.avi	92568	61.79267	Bottom	59.06667	258.27278	1.69409	1.84758	1972.41053	11.5782	10.57514	7.73032	341.02966	-201.03259	-1932.27533	Labridae	Notolabrus	tetricus	37384003	1	F	Passing	TL		
DeepReef_Butlers_04_09032015	4	DeepReef_Butlers_04_09032015_284.avi	92756	DeepReef_Butlers_04_09032015_285.avi	92635	61.83733	Bottom	59.11133	267.7677	5.58641	6.49724	2343.71216	19.83124	49.79377	4.58364	-765.29119	215.69302	-2204.72053	Labridae	Notolabrus	tetricus	37384003	1	F	Passing	TL		
