CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_01_24032015,-41.96421099,148.3396899,20150315,9:00:00,Butlers,Fished,1,51,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_02_24032015,-41.9663604,148.3408771,20150315,13:22:00,Butlers,Fished,2,48,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_03_26032015,-41.96652574,148.3388302,20150315,15:15:00,Butlers,Fished,3,44,Justin Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_04_09032015,-41.96648441,148.3331807,20150315,11:39:00,Butlers,Fished,4,35,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_05_26032015,-41.95240992,148.3216635,20150515,10:30:00,Butlers,Fished,5,30,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_06,-41.97696277,148.31424,20150315,8:36:00,Butlers,Fished,6,27,Justin Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_07,-41.97547472,148.3103099,20150315,14:37:00,Butlers,Fished,7,22,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_08,-41.96448656,148.340611,20150315,13:10:00,Butlers,Fished,8,51,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_09,-41.96371498,148.338994,20150315,10:31:00,Butlers,Fished,9,49,Justin Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_10,-41.96360475,148.3366605,20150315,9:50:00,Butlers,Fished,10,42,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_11,-41.9635083,148.3299057,20150315,10:19:00,Butlers,Fished,11,35,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_12,-41.96524436,148.3238468,20150315,11:09:00,Butlers,Fished,12,30,Justin Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_13,-41.96778645,148.3187705,20150315,12:40:00,Butlers,Fished,13,26,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_14,-41.96133823,148.3199168,20150315,10:44:00,Butlers,Fished,14,23,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_16,-41.96316385,148.3367628,20150315,13:32:00,Butlers,Fished,16,45,Jusitn Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_17,-41.96220396,148.3335287,20150315,10:11:00,Butlers,Fished,17,41,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_18,-41.96268161,148.3315432,20150315,11:15:00,Butlers,Fished,18,40,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_19,-41.96871649,148.3253206,20150315,15:45:00,Butlers,Fished,19,33,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_20,-41.96276428,148.3240106,20150315,10:06:00,Butlers,Fished,20,27,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_21,-41.95885814,148.3205172,20150315,11:40:00,Butlers,Fished,21,24,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_22,-41.96560719,148.3411534,20150315,9:15:00,Butlers,Fished,22,50,Justin Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_23,-41.96307199,148.3384413,20150315,12:45:00,Butlers,Fished,23,50,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_24,-41.96187328,148.3314818,20150315,15:32:00,Butlers,Fished,24,40,Justin Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_25,-41.97433801,148.32835,20150315,13:42:00,Butlers,Fished,25,36,Justin Hulls,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_26,-41.96574038,148.3285957,20150315,10:20:00,Butlers,Fished,26,35,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_27,-41.96481035,148.3213905,20150315,10:52:00,Butlers,Fished,27,26,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_28,-41.97150658,148.3122204,20150315,15:07:00,Butlers,Fished,28,23,Bastient Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_29,-41.96494583,148.3404575,20150315,15:55:00,Butlers,Fished,29,51,Bastien Taormina,Yes,Yes
2015-03_FRDC_Deep_Reefs_stereoBRUVs_Metadata,DeepReef_Butlers_30,-41.96527651,148.3395978,20150315,13:22:00,Butlers,Fished,30,47,Justin Hulls,Yes,Yes
