OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
DeepReef_Butlers_01_24032015	0	0	0	0	DeepReef_Butlers_01_24032015_282.avi	137005	25
DeepReef_Butlers_01_24032015	1	0	0	0	DeepReef_Butlers_01_24032015_283.avi	137016	25
DeepReef_Butlers_02_24032015	0	0	0	1	DeepReef_Butlers_02_24032015_406.avi	117193	25
DeepReef_Butlers_02_24032015	1	0	0	0	DeepReef_Butlers_02_24032015_407.avi	117553	25
DeepReef_Butlers_03_26032015	0	0	0	1	DeepReef_Butlers_03_26032015_286.avi	127836	25
DeepReef_Butlers_03_26032015	1	0	0	0	DeepReef_Butlers_03_26032015_287.avi	126059	25
DeepReef_Butlers_04_09032015	0	0	0	1	DeepReef_Butlers_04_09032015_284.avi	102828	25
DeepReef_Butlers_04_09032015	1	0	0	0	DeepReef_Butlers_04_09032015_285.avi	102839	25
DeepReef_Butlers_05_26032015	0	0	0	0	DeepReef_Butlers_05_26032015_406.avi	102838	25
DeepReef_Butlers_05_26032015	1	0	0	0	DeepReef_Butlers_05_26032015_407.avi	104771	25
DeepReef_Butlers_06	0	0	0	0	DeepReef_Butlers_06_09032015_404.avi	110016	25
DeepReef_Butlers_06	1	0	0	0	DeepReef_Butlers_06_09032015_405.avi	107280	25
DeepReef_Butlers_07	0	0	0	0	DeepReef_Butlers_07_26032015_284.avi	136990	25
DeepReef_Butlers_07	1	0	0	0	DeepReef_Butlers_07_26032015_285.avi	72575	25
DeepReef_Butlers_08	0	0	0	0	DeepReef_Butlers_08_24032015_284.avi	102888	25
DeepReef_Butlers_08	1	0	0	0	DeepReef_Butlers_08_24032015_285.avi	119973	25
DeepReef_Butlers_09	0	0	0	1	DeepReef_Butlers_09_09032015_407.avi	119916	25
DeepReef_Butlers_09	1	0	0	0	DeepReef_Butlers_09_09032015_406.avi	119916	25
DeepReef_Butlers_10	0	0	0	0	DeepReef_Butlers_10_25032015_404.avi	116304	25
DeepReef_Butlers_10	1	0	0	0	DeepReef_Butlers_10_25032015_405.avi	119916	25
DeepReef_Butlers_11	0	0	0	0	DeepReef_Butlers_11_25032015_284.avi	127644	25
DeepReef_Butlers_11	1	0	0	0	DeepReef_Butlers_11_25032015_285.avi	126827	25
DeepReef_Butlers_12	0	0	0	1	DeepReef_Butlers_12_25032015_405.avi	136716	25
DeepReef_Butlers_12	1	0	0	0	DeepReef_Butlers_12_25032015_404.avi	137027	25
DeepReef_Butlers_13	0	0	0	0	DeepReef_Butlers_13_25032015_404.avi	102851	25
DeepReef_Butlers_13	1	0	0	0	DeepReef_Butlers_13_25032015_405.avi	102683	25
DeepReef_Butlers_14	0	0	0	0	DeepReef_Butlers_14_10032015_286.avi	102827	25
DeepReef_Butlers_14	1	0	0	0	DeepReef_Butlers_14_10032015_287.avi	107316	25
DeepReef_Butlers_16	0	0	0	1	DeepReef_Butlers_16_25032015_282.avi	119616	25
DeepReef_Butlers_16	1	0	0	0	DeepReef_Butlers_16_25032015_283.avi	89605	25
DeepReef_Butlers_17	0	0	0	0	DeepReef_Butlers_17_25032015_286.avi	117899	25
DeepReef_Butlers_17	1	0	0	0	DeepReef_Butlers_17_25032015_287.avi	119771	25
DeepReef_Butlers_18	0	0	0	0	DeepReef_Butlers_18_26032015_404.avi	102826	25
DeepReef_Butlers_18	1	0	0	0	DeepReef_Butlers_18_26032015_405.avi	102828	25
DeepReef_Butlers_19	0	0	0	0	DeepReef_Butlers_19_09032015_406.avi	102876	25
DeepReef_Butlers_19	1	0	0	0	DeepReef_Butlers_19_09032015_407.avi	102852	25
DeepReef_Butlers_20	0	0	0	0	DeepReef_Butlers_20_10032015_404.avi	119653	25
DeepReef_Butlers_20	1	0	0	0	DeepReef_Butlers_20_10032015_405.avi	119652	25
DeepReef_Butlers_21	0	0	0	0	DeepReef_Butlers_21_24032015_287.avi	102345	25
DeepReef_Butlers_21	1	0	0	0	DeepReef_Butlers_21_24032015_286.avi	99852	25
DeepReef_Butlers_22	0	0	0	1	DeepReef_Butlers_22_24032015_286.avi	102828	25
DeepReef_Butlers_22	1	0	0	0	DeepReef_Butlers_22_24032015_287.avi	112498	25
DeepReef_Butlers_23	0	0	0	0	DeepReef_Butlers_23_24032015_404.avi	119976	25
DeepReef_Butlers_23	1	0	0	0	DeepReef_Butlers_23_24032015_405.avi	102864	25
DeepReef_Butlers_24	0	0	0	1	DeepReef_Butlers_24_26032015_282.avi	133426	25
DeepReef_Butlers_24	1	0	0	0	DeepReef_Butlers_24_26032015_283.avi	129059	25
DeepReef_Butlers_25	0	0	0	1	DeepReef_Butlers_25_24032015_283.avi	137002	25
DeepReef_Butlers_25	1	0	0	0	DeepReef_Butlers_25_24032015_282.avi	137026	25
DeepReef_Butlers_26	0	0	0	0	DeepReef_Butlers_26_10032015_406.avi	119737	25
DeepReef_Butlers_26	1	0	0	0	DeepReef_Butlers_26_10032015_407.avi	119653	25
DeepReef_Butlers_27	0	0	0	0	DeepReef_Butlers_27_24032015_407.avi	102839	25
DeepReef_Butlers_27	1	0	0	0	DeepReef_Butlers_27_24032015_406.avi	102319	25
DeepReef_Butlers_28	0	0	0	0	DeepReef_Butlers_28_25032015_284.avi	102552	25
DeepReef_Butlers_28	1	0	0	0	DeepReef_Butlers_28_25032015_285.avi	102827	25
DeepReef_Butlers_29	0	0	0	0	DeepReef_Butlers_29_24032015_404.avi	119926	25
DeepReef_Butlers_29	1	0	0	0	DeepReef_Butlers_29_24032015_405.avi	102876	25
DeepReef_Butlers_30	0	0	0	1	DeepReef_Butlers_30_25032015_285.avi	112330	25
DeepReef_Butlers_30	1	0	0	0	DeepReef_Butlers_30_25032015_284.avi	111140	25
DeepReef_Butlers_31	0	0	0	1	DeepReef_Butlers_31_26032015_284.avi	119915	25
DeepReef_Butlers_31	1	0	0	0	DeepReef_Butlers_31_26032015_285.avi	119939	25
DeepReef_Butlers_32	0	0	0	1	DeepReef_Butlers_32_24032015_286.avi	128962	25
DeepReef_Butlers_32	1	0	0	0	DeepReef_Butlers_32_24032015_287.avi	132456	25
DeepReef_Butlers_33	0	0	0	1	DeepReef_Butlers_33_26032015_405.avi	119864	25
DeepReef_Butlers_33	1	0	0	0	DeepReef_Butlers_33_26032015_404.avi	119914	25
DeepReef_Butlers_34	0	0	0	1	DeepReef_Butlers_34_24032015_282.avi	131289	25
DeepReef_Butlers_34	1	0	0	0	DeepReef_Butlers_34_24032015_283.avi	129538	25
DeepReef_Butlers_35	0	0	0	1	DeepReef_Butlers_35_24032015_286.avi	90247	25
DeepReef_Butlers_35	1	0	0	0	DeepReef_Butlers_35_24032015_287.avi	136620	25
DeepReef_Butlers_36	0	0	0	1	DeepReef_Butlers_36_26032015_407.avi	133259	25
DeepReef_Butlers_36	1	0	0	0	DeepReef_Butlers_36_26032015_406.avi	131448	25
DeepReef_Butlers_37	0	0	0	0	DeepReef_Butlers_37_26032015_286.avi	136476	25
DeepReef_Butlers_37	1	0	0	0	DeepReef_Butlers_37_26032015_287.avi	136548	25
DeepReef_Butlers_38	0	0	0	1	DeepReef_Butlers_38_25032015_283.avi	102827	25
DeepReef_Butlers_38	1	0	0	0	DeepReef_Butlers_38_25032015_282.avi	102828	25
DeepReef_Butlers_39	0	0	0	1	DeepReef_Butlers_39_26032015_404.avi	102838	25
DeepReef_Butlers_39	1	0	0	0	DeepReef_Butlers_39_26032015_405.avi	102828	25
DeepReef_Butlers_40	0	0	0	0	DeepReef_Butlers_40_24032015_406.avi	149340	25
DeepReef_Butlers_40	1	0	0	0	DeepReef_Butlers_40_24032015_407.avi	148980	25
DeepReef_Butlers_42	0	0	0	1	DeepReef_Butlers_41_10032015_284.avi	137003	25
DeepReef_Butlers_42	1	0	0	0	DeepReef_Butlers_41_10032015_285.avi	136931	25
DeepReef_Butlers_43	0	0	0	0	DeepReef_Butlers_43_10032015_406.avi	119927	25
DeepReef_Butlers_43	1	0	0	0	DeepReef_Butlers_43_10032015_407.avi	119928	25
DeepReef_Butlers_44	0	0	0	1	DeepReef_Butlers_44_26032015_287.avi	127944	25
DeepReef_Butlers_44	1	0	0	0	DeepReef_Butlers_44_26032015_286.avi	127968	25
DeepReef_Butlers_45	0	0	0	1	DeepReef_Butlers_45_25032015_407.avi	119916	25
DeepReef_Butlers_45	1	0	0	0	DeepReef_Butlers_45_25032015_406.avi	119916	25
DeepReef_Butlers_46	0	0	0	1	DeepReef_Butlers_46_10032015_284.avi	101713	25
DeepReef_Butlers_46	1	0	0	0	DeepReef_Butlers_46_10032015_285.avi	102324	25
DeepReef_Butlers_47	0	0	0	1	DeepReef_Butlers_47_26032015_282.avi	136882	25
DeepReef_Butlers_47	1	0	0	0	DeepReef_Butlers_47_26032015_283.avi	137003	25
DeepReef_Butlers_48	0	0	0	1	DeepReef_Butlers_48_26032015_405.avi	171203	25
DeepReef_Butlers_48	1	0	0	0	DeepReef_Butlers_48_26032015_404.avi	167213	25
DeepReef_Butlers_49	0	0	0	1	DeepReef_Butlers_49_10032015_282_2.avi	102232	25
DeepReef_Butlers_49	1	0	0	0	DeepReef_Butlers_49_10032015_283_2.avi	82606	25
DeepReef_Butlers_50	0	0	0	0	DeepReef_Butlers_50_10032015_282_2.avi	119917	25
DeepReef_Butlers_50	1	0	0	0	DeepReef_Butlers_50_10032015_283_2.avi	119965	25
DeepReef_Butlers_51	0	0	0	0	DeepReef_Butlers_51_26032015_406_2.avi	123109	25
DeepReef_Butlers_51	1	0	0	0	DeepReef_Butlers_51_26032015_407_2.avi	121141	25
DeepReef_Butlers_52	0	0	0	0	DeepReef_Butlers_52_10032015_404.avi	102828	25
DeepReef_Butlers_52	1	0	0	0	DeepReef_Butlers_52_10032015_405.avi	102829	25
DeepReef_Butlers_53	0	0	0	1	DeepReef_Butlers_53_10032015_287.avi	119916	25
DeepReef_Butlers_53	1	0	0	0	DeepReef_Butlers_53_10032015_286_OnlyOneVideo.avi	6563	25
DeepReef_Butlers_54	0	0	0	0	DeepReef_Butlers_54_09032015_286.avi	102828	25
DeepReef_Butlers_54	1	0	0	0	DeepReef_Butlers_54_09032015_287.avi	98208	25
DeepReef_Butlers_55	0	0	0	1	DeepReef_Butlers_55_25032015_406.avi	143147	25
DeepReef_Butlers_55	1	0	0	0	DeepReef_Butlers_55_25032015_407.avi	145159	25
DeepReef_Butlers_56	0	0	0	1	DeepReef_Butlers_56_26032015_285.avi	119612	25
DeepReef_Butlers_56	1	0	0	0	DeepReef_Butlers_56_26032015_284.avi	119924	25
DeepReef_Butlers_57	0	0	0	0	DeepReef_Butlers_57_25032015_283.avi	112631	25
DeepReef_Butlers_57	1	0	0	0	DeepReef_Butlers_57_25032015_282.avi	116388	25
DeepReef_Butlers_58	0	0	0	1	DeepReef_Butlers_58_09032015_287.avi	102852	25
DeepReef_Butlers_58	1	0	0	0	DeepReef_Butlers_58_09032015_286.avi	102840	25
DeepReef_Butlers_59	0	0	0	0	DeepReef_Butlers_59_25032015_286.avi	128759	25
DeepReef_Butlers_59	1	0	0	0	DeepReef_Butlers_59_25032015_287.avi	128639	25
DeepReef_Butlers_60	0	0	0	0	DeepReef_Butlers_60_26032015_407.avi	136992	25
DeepReef_Butlers_60	1	0	0	0	DeepReef_Butlers_60_26032015_406.avi	135539	25
DeepReef_Butlers_61	0	0	0	0	DeepReef_Butlers_61_09032015_406.avi	102828	25
DeepReef_Butlers_61	1	0	0	0	DeepReef_Butlers_61_09032015_407.avi	109944	25
