OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
DeepReef_Butlers_01_24032015	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_01_24032015.EMObs
DeepReef_Butlers_02_24032015	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_02_24032015.EMObs
DeepReef_Butlers_03_26032015	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_03_26032015_JH.EMObs
DeepReef_Butlers_04_09032015	1.07	2017 12 07 09:07:20	R:\TAFI\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_04_09032015.EMObs
DeepReef_Butlers_05_26032015	1.07	2017 12 07 09:07:20	R:\TAFI\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_05_26032015.EMObs
DeepReef_Butlers_06	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_06_09032015_JH.EMObs
DeepReef_Butlers_07	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_07_26032015.EMObs
DeepReef_Butlers_08	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_08_24032015.EMObs
DeepReef_Butlers_09	1.07	2017 12 07 09:07:20	R:\TAFI\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_09_09032015_JH.EMObs
DeepReef_Butlers_10	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_10_25032015.EMObs
DeepReef_Butlers_11	1.07	2017 12 07 09:07:20	T:\Data\FRDC_DEEP_REEF\BRUV Footage N Cal\Butlers Pt\all_avi\	DeepReef_Butlers_11_25032015.EMObs
