Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L1	CATAMI_L2	CATAMI_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6	Description [Code]	CATAMI Sp Code	Radius %
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	136	193	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					100
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	405	193	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	675	193	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	944	193	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					100
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	136	576	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	405	576	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	675	576	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	944	576	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	136	960	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					46.6
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	405	960	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					15.5
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	675	960	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					15.5
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	944	960	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					46.6
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	136	1344	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	405	1344	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	675	1344	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	944	1344	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	136	1727	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					100
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	405	1727	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	675	1727	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_01_04122015_404.avi	19808	13.2053	944	1727	1/08/2017	Butlers Point Autumn											Open Water			Facing Up					100
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	136	193	1/08/2017	Butlers Point Autumn											Sponges	Small Multi Form <10cm		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"	10000000			100
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	405	193	1/08/2017	Butlers Point Autumn											Sponges	Small Multi Form <10cm		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"	10000000			89.8
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	675	193	1/08/2017	Butlers Point Autumn											Sponges	Erect forms	Branching	Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"	10000915			89.8
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	944	193	1/08/2017	Butlers Point Autumn											Sponges	Erect forms	Branching	Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	10000915			100
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	136	576	1/08/2017	Butlers Point Autumn											Sponges	Large Multi Form >10cm		Open	3. Good relief structure with some overhangs. >45 substrate slope	10000000			64.3
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	405	576	1/08/2017	Butlers Point Autumn											Invertebrate Complex	Complex 2		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				46.9
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	675	576	1/08/2017	Butlers Point Autumn											Sponges	Erect forms	Branching	Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"	10000915			46.9
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	944	576	1/08/2017	Butlers Point Autumn											Sponges	Erect forms	Branching	Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	10000915			64.3
DeepReef_Butlers_02_03122015_404.avi	21690	80.316	136	960	1/08/2017	Butlers Point Autumn											Open Water			Open					46.6
