OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
DR_Butlers_01	0	0	622.35572	737.81343	40.79748	729.04478
DR_Butlers_01	0	1	1106.33263	882.87313	570.16369	883.45149
DR_Butlers_01	1	0	1337.68206	641.02239	1330.74816	655.26119
DR_Butlers_01	1	1	1785.51941	693.39552	1831.85729	725.13433
DR_Butlers_01	2	0	957.11962	875.11194	626.27807	869.00373
DR_Butlers_01	2	1	338.02833	539.66791	152.10913	545.13433
DR_Butlers_01	3	0	406.15740	900.65299	473.78594	880.07463
DR_Butlers_01	3	1	713.39769	940.95149	751.30955	934.47761
DR_Butlers_02	0	0	964.14166	396.27239	1361.50262	388.17910
DR_Butlers_02	0	1	1456.50157	360.42910	1855.52991	360.69403
DR_Butlers_02	1	0	577.13116	418.49627	986.98741	405.60075
DR_Butlers_02	1	1	1194.39874	401.63433	1598.68520	394.28731
DR_Butlers_02	2	0	1050.63169	238.17537	896.90346	229.61194
DR_Butlers_02	2	1	1337.72508	332.87687	1153.77650	332.87687
DR_Butlers_02	3	0	445.22665	432.52612	1153.14166	419.17164
DR_Butlers_02	3	1	1408.22246	410.02239	1877.18783	403.30970
DR_Butlers_03	0	0	505.56243	776.05224	284.07135	810.12687
DR_Butlers_03	0	1	1066.42288	697.01493	781.05456	744.58209
DR_Butlers_03	1	0	1549.29696	732.38060	936.63589	777.34328
DR_Butlers_03	1	1	1039.41448	478.12687	448.26863	519.90299
DR_Butlers_03	2	0	655.14166	832.69030	51.87828	864.78358
DR_Butlers_03	2	1	982.76285	781.49254	566.45016	826.39925
DR_Butlers_03	3	0	1412.99475	395.75000	1502.06821	423.70522
DR_Butlers_03	3	1	1629.07030	311.62687	1808.68835	327.89925
DR_Butlers_03	4	0	750.51417	479.08955	734.05037	530.70522
DR_Butlers_03	4	1	1049.69570	479.08955	1024.16579	523.14925
DR_Butlers_03	5	0	456.70829	639.27612	100.73452	679.99254
DR_Butlers_03	5	1	780.39140	454.92537	486.55299	501.76866
DR_Butlers_03	6	0	609.72298	515.59701	507.81112	567.41791
DR_Butlers_03	6	1	762.33578	691.39925	633.22560	736.16791
DR_Butlers_04	0	0	1371.92760	155.67910	1274.85414	183.75373
DR_Butlers_04	0	1	1126.13536	270.52985	1047.19412	292.55970
DR_Butlers_04	1	0	167.72298	525.92164	296.40399	568.19030
DR_Butlers_04	1	1	436.18048	377.82463	648.97482	401.95896
DR_Butlers_04	2	0	528.31899	438.01866	779.59496	457.68284
DR_Butlers_04	2	1	801.81322	386.63806	1146.26863	404.28731
DR_Butlers_04	3	0	651.83631	427.41045	941.77754	445.48507
DR_Butlers_04	3	1	1255.23610	360.91791	1544.16999	374.96269
DR_Butlers_05	0	0	1224.56348	978.24627	979.82162	973.20896
DR_Butlers_05	0	1	1572.09759	916.79104	1421.03882	942.98507
DR_Butlers_05	1	0	1067.54669	843.86567	456.32739	826.10448
DR_Butlers_05	1	1	612.22665	561.77612	192.40294	522.85821
DR_Butlers_06	0	0	832.62854	259.92537	895.70199	276.04478
DR_Butlers_06	0	1	511.28541	120.89552	541.11647	163.20896
DR_Butlers_06	1	0	389.24029	613.59701	767.78489	626.72761
DR_Butlers_06	1	1	204.89612	588.41045	613.15740	601.54104
DR_Butlers_06	2	0	542.51102	1073.95522	204.49108	1061.86567
DR_Butlers_06	2	1	931.34627	825.11194	606.42183	837.20149
DR_Butlers_07	0	0	469.75551	602.07463	563.29276	584.05970
DR_Butlers_07	0	1	40.79748	632.62687	174.27072	615.94030
DR_Butlers_07	1	0	305.06925	579.88060	246.79328	565.39179
DR_Butlers_07	1	1	579.57083	409.11567	524.31689	407.22015
DR_Butlers_08	0	0	1096.40399	660.45896	792.80693	676.98507
DR_Butlers_08	0	1	1665.64533	647.35075	1443.36621	670.39179
DR_Butlers_08	1	0	557.26023	340.79851	361.12382	365.57463
DR_Butlers_08	1	1	866.71144	49.36567	671.69990	72.53731
DR_Butlers_08	2	0	1111.09759	480.75000	821.49738	497.73881
DR_Butlers_08	2	1	606.68206	582.20522	409.20881	597.66045
