OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
DR_Butlers_01	0	Bottom	DeepReef_Butlers_01_04122015_404.avi	5790	3.86000	DeepReef_Butlers_01_04122015_404.avi	93545	62.36333	1
DR_Butlers_02	0	Bottom	DeepReef_Butlers_02_03122015_405.avi	8005	5.33667	DeepReef_Butlers_02_03122015_405.avi	98006	65.33733	1
DR_Butlers_02	1	Extra	DeepReef_Butlers_02_03122015_405.avi	98007	65.33800	DeepReef_Butlers_02_03122015_405.avi	110164	73.44267	1
DR_Butlers_03	0	Bottom	DeepReef_Butlers_03_02122015_284.avi	6486	4.32400	DeepReef_Butlers_03_02122015_284.avi	96493	64.32867	1
DR_Butlers_03	1	Extra	DeepReef_Butlers_03_02122015_284.avi	96494	64.32933	DeepReef_Butlers_03_02122015_284.avi	110429	73.61933	1
DR_Butlers_04	0	Bottom	DeepReef_Butlers_04_02122015_283.avi	4310	2.87333	DeepReef_Butlers_04_02122015_283.avi	94227	62.81800	1
DR_Butlers_05	0	Bottom	DeepReef_Butlers_05_04122015_282.avi	4564	3.04267	DeepReef_Butlers_05_04122015_282.avi	94581	63.05400	1
DR_Butlers_06	0	Bottom	DeepReef_Butlers_06_02122015_406.avi	8804	5.86933	DeepReef_Butlers_06_02122015_406.avi	98822	65.88133	1
DR_Butlers_07	0	Bottom	DeepReef_Butlers_07_02122015_286.avi	11490	7.66000	DeepReef_Butlers_07_02122015_286.avi	101499	67.66600	1
DR_Butlers_07	1	Extra	DeepReef_Butlers_07_02122015_286.avi	101500	67.66667	DeepReef_Butlers_07_02122015_286.avi	124310	82.87333	1
DR_Butlers_08	0	Bottom	DeepReef_Butlers_08_03122015_406.avi	5058	3.37200	DeepReef_Butlers_08_03122015_406.avi	95090	63.39333	1
DR_Butlers_09	0	Bottom	DeepReef_Butlers_09_03122015_285.avi	3635	2.42333	DeepReef_Butlers_09_03122015_285.avi	93644	62.42933	1
DR_Butlers_09	1	Extra	DeepReef_Butlers_09_03122015_285.avi	93645	62.43000	DeepReef_Butlers_09_03122015_285.avi	96643	64.42867	1
DR_Butlers_10	0	Bottom	DeepReef_Butlers_10_02122015_405.avi	3648	2.43200	DeepReef_Butlers_10_02122015_405.avi	93651	62.43400	1
