OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
69 GRTS_10_10	Justin Hulls	65		Survey - Project	Flinders CMR - NERP	Bait Type	Pilchard Crushed	Camera Types	Canon HFM 300 0.5x Wide	Camera Pair	224 225	Lights 	No	Drop Date	15/08/2012	Bait Arm Length	1500	Camera Height	500
73 GRTS_10_1014	Justin Hulls	65	Only LH Cam, RH Cam Fail	Survey - Project	Flinders CMR - NERP	Bait Type	Pilchard Crushed	Camera Type	JVC Everio GZ-MS100 0.7x Wide	Camera Pair	84 85	Lights 	No	Drop Date 	15/08/2012	Bait Arm Length	1500	Camera Height	500
71 GRTS_10_477	Justin Hulls	65		Survey - Project	Flinders CRM - NERP	Bait Type	Pilchard Chrushed	Camera Type	Canon HFM 300 0.5x Wide	Camera Pair	223 226	Lights 	No	Drop Date	15/08/2012	Bait Arm Length	1500	Camera Height	500
72 GRTS_10_586	Justin Hulls	65	No Bait left after about 10min L. lineata ate it all	Survey - Project	Flinders CMR - NERP	Bait Type	Pilchards Crushed	Camera Type	Canon HFM 300 0.5x Wide	Camera Pair	173 174	Lights 	No	Drop Date	15/08/2012	Bait Arm Length	1500	Camera Height	500
70 GRTS_10_reef	Justin Hulls	65		Survey - Project	Flinders CMR- NERP	Bait Type	Pilchard Crushed	Camera Pair	177 178	Camera Type	Canon HFM 300 0.5x Wide	Lights 	No	Drop Date	15/08/2012	Bait Arm Length	1500	Camera Height	500
44 GRTS_15_15	Justin Hulls	68	Dark footage hard to define fish for measurements	Survey - Project	Flinders CMR - NERP	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 300 0.5x Wide	Camera Pair	173 174	Lights 	No	Drop Date	13/08/2012	Bait Arm Length	1500	Camera Height	500
46 GRTS_15_207	Justin Hulls	68	Frame Bounces Slightly	Survey - Project	Flinders CMR - NERP	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 300 0.5x Wide	Camera Pair	223 226	Lights 	No	Drop Date	13/08/2012	Bait Arm Length	1500	Camera Height	500
47 GRTS_15_911	Justin Hulls	68		Survey - Project	Flinders CMR - NERP	Bait Type	Pilchard Crushed	Camera Type	Canon HFM 300 0.5x Wide	Camera Pair	177 178	Lights 	No	Drop Date	13/08/2012	Bait Arm Length	1500	Camera Height	500
45 GRTS_15_reef	Justin Hulls	68	Large Sponge in the lower Right of LH Cam, bottom fish hard to see	Survey - Project	Flinders CMR - NERP	Bait Type	GRTS_15_reef	Camera Type	Canon HFM 300 0.5x Wide	Camera Pair	224 225	Lights 	No	Drop Date	13/08/2012	Bait Arm Length	1500	Camera Height	500
51 GRTS_16_16	Richard Zavalas	98	Out of focus, a lot of frame movement, bouncing. No Cal Data	Survey - Project	Flinders CMR - NERP	Bait Type	Pilchard Crushed	Camera Type	JVC Everio GZ-MS100 0.7x Wide	Camera Pair	84 85	Lights 	Blue	Drop Date	14/08/2012	Bait Arm Length	1500	Camera Height	500
