OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
69 GRTS_10_10	0	Bottom Time	10_10_S3D2_150812_repeat_LHCam_224_join.avi	6490	4.32667	10_10_S3D2_150812_repeat_LHCam_224_join.avi	96638	64.42533	1
73 GRTS_10_1014	0	Bottom Time	10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	75510	50.34000	10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	165570	110.38000	1
71 GRTS_10_477	0	Bottom Time	10_477_S3D2_150812_repeat_LHCam_226_Join.avi	7174	4.78267	10_477_S3D2_150812_repeat_LHCam_226_Join.avi	97326	64.88400	1
72 GRTS_10_586	0	Bottom Time	10_586_S3D2_150812_repeat_LHCam_174_Join.avi	9213	6.14200	10_586_S3D2_150812_repeat_LHCam_174_Join.avi	99502	66.33467	1
70 GRTS_10_reef	0	Bottom Time	10_reef_S3D2_150812_repeat_LHCam_178_Join.avi	7457	4.97133	10_reef_S3D2_150812_repeat_LHCam_178_Join.avi	97772	65.18133	1
44 GRTS_15_15	0	Bottom Time	15_15_S2D1_130812_LHCam_174_Join.avi	5168	3.44533	15_15_S2D1_130812_LHCam_174_Join.avi	95404	63.60267	1
46 GRTS_15_207	0	Bottom Time	15_207_S1D1_130812_LHCam_226_Join.avi	6706	4.47067	15_207_S1D1_130812_LHCam_226_Join.avi	97133	64.75533	1
47 GRTS_15_911	0	Bottom Time	15_911_S1D1_1130812_LHCam_178_Join.avi	9688	6.45867	15_911_S1D1_1130812_LHCam_178_Join.avi	99978	66.65200	1
45 GRTS_15_reef	0	Bottom Time	15_reef_S2D1_130812_LHCam_224_Join.avi	8369	5.57933	15_reef_S2D1_130812_LHCam_224_Join.avi	98595	65.73000	1
51 GRTS_16_16	0	Bottom Time	16_16_S3D1_1408412_LHCam_84_Join.avi	13400	8.93333	16_16_S3D1_1408412_LHCam_84_Join.avi	103469	68.97933	1
54 GRTS_16_236	0	Bottom Time	16_236_S3D1_140812_LHCam_226_Join.avi	11364	7.57600	16_236_S3D1_140812_LHCam_226_Join.avi	102086	68.05733	1
53 GRTS_16_492	0	Bottom Time	16_492_S3D1_140812_LHCam_178_Join.avi	9810	6.54000	16_492_S3D1_140812_LHCam_178_Join.avi	100657	67.10467	1
55 GRTS_16_592	0	Bottom Time	16_592_S3D1_140812_LHCam_174_Join.avi	12560	8.37333	16_592_S3D1_140812_LHCam_174_Join.avi	103449	68.96600	1
52 GRTS_16_reef	0	Bottom Time	16_reef_S3D1_140812_LHCam_224_Join.avi	7807	5.20467	16_reef_S3D1_140812_LHCam_224_Join.avi	99087	66.05800	1
78 GRTS_1_1	0	Bottom Time	1_1_S1D1_170812_repeat_LHCam_174_join.avi	21653	14.43533	1_1_S1D1_170812_repeat_LHCam_174_join.avi	111930	74.62000	1
79 GRTS_1_1153	0	Bottom Time	1_1153_S1D1_170812_repeat_LHCam_178_join.avi	12762	8.50800	1_1153_S1D1_170812_repeat_LHCam_178_join.avi	102864	68.57600	1
82 GRTS_1_2049	0	Bottom Time	1_2049_S1D1_170812_repeat_LHCam_84_join.avi	26873	17.91533	1_2049_S1D1_170812_repeat_LHCam_84_join.avi	117088	78.05867	1
80 GRTS_1_2177	0	Bottom Time	1_2177_S1D1_170812_repeat_LHCam_226_join.avi	10865	7.24333	1_2177_S1D1_170812_repeat_LHCam_226_join.avi	100986	67.32400	1
81 GRTS_1_577	0	Bottom Time	1_577_S1D1_170812_repeat_LHCam_224_join.avi	13809	9.20600	1_577_S1D1_170812_repeat_LHCam_224_join.avi	102710	68.47333	1
13 GRTS_23_1047	0	Bottom TIme	23_1047_S2S1_110812_LHCam_224_Join.avi	88	0.05867	23_1047_S2S1_110812_LHCam_224_Join.avi	91500	61.00000	1
15 GRTS_23_1111	0	Bottom Time	23_1111_S1D1_110812_LHCam_226_Join.avi	5467	3.64467	23_1111_S1D1_110812_LHCam_226_Join.avi	96007	64.00467	1
12 GRTS_23_23	0	Bottom Time	23_23_S1D1_110812_LHCam_174_Join.avi	6938	4.62533	23_23_S1D1_110812_LHCam_174_Join.avi	97505	65.00333	1
16 GRTS_23_855	0	Bottom Time	23_855_S1D1_110812_LHCam_175_Join.avi	8655	5.77000	23_855_S1D1_110812_LHCam_175_Join.avi	99085	66.05667	1
14 GRTS_23_967	0	Bottom Time	23_967_S1D1_110812_LHCam_178_Join.avi	4832	3.22133	23_967_S1D1_110812_LHCam_178_Join.avi	96004	64.00267	1
100 GRTS_28_1052	0	Bottom Time	28_1052_S1D1_220812_LHCam_226_Join.avi	16296	10.86400	28_1052_S1D1_220812_LHCam_226_Join.avi	106794	71.19600	1
98 GRTS_28_28	0	Bottom Time	28_28_S1D1_220812_LHCam_224_Join.avi	5638	3.75867	28_28_S1D1_220812_LHCam_224_Join.avi	96002	64.00133	1
101 GRTS_28_284	0	Bottom Time	28_284_S1D1_220812_LHCam_178_Join.avi	4055	2.70333	28_284_S1D1_220812_LHCam_178_Join.avi	94524	63.01600	1
99 GRTS_28_348	0	Bottom Time	28_348_S1D1_220812_LHCam_174_Join.avi	10167	6.77800	28_348_S1D1_220812_LHCam_174_Join.avi	100541	67.02733	1
