OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
69 GRTS_10_10	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	10_10.EMObs
73 GRTS_10_1014	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	10_1014.EMObs
71 GRTS_10_477	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	10_477.EMObs
72 GRTS_10_586	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	10_586.EMObs
70 GRTS_10_reef	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	10_Reef.EMObs
44 GRTS_15_15	1.07	2017 12 05 15:58:31	T:\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BRUV\All avi\	15_15.EMObs
46 GRTS_15_207	1.07	2017 12 05 15:58:31	T:\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BRUV\All avi\	15_207.EMObs
47 GRTS_15_911	1.07	2017 12 05 15:58:31	T:\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BRUV\All avi\	15_911.EMObs
45 GRTS_15_reef	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	15_reef.EMObs
51 GRTS_16_16	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	16_16.EMObs
54 GRTS_16_236	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	16_236.EMObs
53 GRTS_16_492	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	16_492.EMObs
55 GRTS_16_592	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	16_592.EMObs
52 GRTS_16_reef	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	16_reef.EMObs
78 GRTS_1_1	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BRUV\All avi\	1_1.EMObs
79 GRTS_1_1153	1.07	2017 12 05 15:58:31	T:\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BRUV\All avi\	1_1153.EMObs
82 GRTS_1_2049	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	1_2049.EMObs
80 GRTS_1_2177	1.07	2017 12 05 15:58:31	T:\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BRUV\All avi\	1_2177.EMObs
81 GRTS_1_577	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	1_577.EMObs
13 GRTS_23_1047	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	23_1047.EMObs
15 GRTS_23_1111	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	23_1111.EMObs
12 GRTS_23_23	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	23_23.EMObs
16 GRTS_23_855	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	23_855.EMObs
14 GRTS_23_967	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	23_967.EMObs
100 GRTS_28_1052	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	28_1052.EMObs
98 GRTS_28_28	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	28_28.EMObs
101 GRTS_28_284	1.07	2017 12 05 15:58:31	R:\TAFI\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BUV\All avi\	28_284.EMObs
99 GRTS_28_348	1.07	2017 12 05 15:58:31	T:\Data\CERF\Flinders_Survey_Aug2012_Data\Shelf_BRUV\All avi\	28_348.EMObs
