Camera Details

Generated: Friday 03 November 2023 15:08:28

OpCode	TapeReader	Depth	Comment	Habitat								Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
AR_BTC_R1	Tom		Starts at 1:34, facing slightly upwards, poor vis	Rocky reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R1	Tom		Starts at 1:34, facing slightly upwards, poor vis	Rocky reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R2	Tom		Starts at 0:51	Rocky reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R2	Tom		Starts at 0:51	Rocky reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R3	Tom		Starts at 1:00, turns on side at 1:48	Sandy								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R3	Tom		Starts at 1:00, turns on side at 1:48	Sandy								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R4	Tom		Starts at 0:54	Rocky reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R4	Tom		Starts at 0:54	Rocky reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R5	Tom		Starts at 1:16	Rocky reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R5	Tom		Starts at 1:16	Rocky reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R6	Tom		Starts at 1:15	Rocky reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
AR_BTC_R6	Tom		Starts at 1:15	Rocky reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
