OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute	Attribute
AR_BTC_R1	0	BTC_R1.avi	4872	1.624		-1	770.11635	946.02829	0	0	Cheilodactylidae	Cheilodactylus	nigripes	37377001	1	AD	Passing			
AR_BTC_R1	1	BTC_R1.avi	8108	2.70267		-1	349.1978	1035.34276	0	0	Kyphosidae	Girella	zebra	37361008	1	AD	Passing			
AR_BTC_R1	2	BTC_R1.avi	10399	3.46633		-1	1890.60625	890.79434	0	0	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
AR_BTC_R1	3	BTC_R1.avi	13333	4.44433		-1	1480.26944	408.96627	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	4	BTC_R1.avi	13897	4.63233		-1	1449.69994	591.12078	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	5	BTC_R1.avi	13897	4.63233		-1	1501.43295	696.88792	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Attracted			
AR_BTC_R1	6	BTC_R1.avi	18503	6.16767		-1	1285.09492	524.13493	0	0	Monacanthidae	Acanthaluteres	brownii	37465001	6	AD	Passing			
AR_BTC_R1	7	BTC_R1.avi	18503	6.16767		-1	614.91733	1051.79543	0	0	Enoplosidae	Enoplosus	armatus	37366001	1	AD	Passing			
AR_BTC_R1	8	BTC_R1.avi	19868	6.62267		-1	1136.9504	842.61153	0	0	Enoplosidae	Enoplosus	armatus	37366001	1	AD	Passing			
AR_BTC_R1	9	BTC_R1.avi	19868	6.62267		-1	824.20086	1040.04353	0	0	Enoplosidae	Enoplosus	armatus	37366001	1	AD	Passing			
AR_BTC_R1	10	BTC_R1.avi	21664	7.22133		-1	757.1831	662.8074	0	0	Monacanthidae	Acanthaluteres	brownii	37465001	31	AD	Passing			
AR_BTC_R1	11	BTC_R1.avi	22847	7.61567		-1	1644.87446	470.07617	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	12	BTC_R1.avi	22847	7.61567		-1	19.98775	852.01306	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	13	BTC_R1.avi	22847	7.61567		-1	195.17453	681.61045	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	14	BTC_R1.avi	22847	7.61567		-1	229.27128	329.05332	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	15	BTC_R1.avi	23692	7.89733		-1	224.56828	896.67029	0	0	Dinolestidae	Dinolestes	lewini	37327041	1	AD	Passing			
AR_BTC_R1	16	BTC_R1.avi	36929	12.30967		-1	1580.20821	271.46899	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	17	BTC_R1.avi	36929	12.30967		-1	1496.72994	511.20783	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	18	BTC_R1.avi	36929	12.30967		-1	1226.30741	596.99674	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	19	BTC_R1.avi	36929	12.30967		-1	1181.6289	642.82916	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	20	BTC_R1.avi	36929	12.30967		-1	479.70606	598.17193	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	21	BTC_R1.avi	43783	14.59433		-1	1320.36742	673.38411	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Feeding			
AR_BTC_R1	22	BTC_R1.avi	47857	15.95233		-1	1239.24066	553.51469	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	23	BTC_R1.avi	47857	15.95233		-1	1369.74893	601.6975	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	24	BTC_R1.avi	47857	15.95233		-1	1533.1782	614.62459	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	25	BTC_R1.avi	47857	15.95233		-1	1319.19167	719.21654	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	26	BTC_R1.avi	47857	15.95233		-1	1327.42192	774.45049	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	27	BTC_R1.avi	47857	15.95233		-1	1159.28965	775.62568	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R1	28	BTC_R1.avi	49462	16.48733		-1	1122.8414	820.28292	0	0	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
AR_BTC_R1	29	BTC_R1.avi	59035	19.67833		-1	1718.94672	434.82046	0	0	Monacanthidae	Meuschenia	galii	37465040	1	AD	Passing			
AR_BTC_R1	30	BTC_R1.avi	61466	20.48867		-1	463.24556	458.32427	0	0	Monacanthidae	Meuschenia	galii	37465040	3	AD	Passing			
AR_BTC_R1	31	BTC_R1.avi	61626	20.542		-1	1152.23515	300.84875	0	0	Monacanthidae	Acanthaluteres	brownii	37465001	49	AD	Passing			
AR_BTC_R1	32	BTC_R1.avi	62994	20.998		-1	1125.1929	799.12949	0	0	Labridae	Notolabrus	tetricus	37384003	1	M	Passing			
AR_BTC_R1	33	BTC_R1.avi	67048	22.34933		-1	1005.26638	598.17193	0	0	Carangidae	Pseudocaranx		37337924	10	AD	Passing			
AR_BTC_R1	34	BTC_R1.avi	68955	22.985		-1	1258.05266	426.59412	0	0	Carangidae	Pseudocaranx		37337924	11	AD	Passing			
AR_BTC_R1	35	BTC_R1.avi	72662	24.22067		-1	731.3166	1014.18934	0	0	Kyphosidae	Girella	zebra	37361008	4	AD	Passing			
AR_BTC_R1	36	BTC_R1.avi	83489	27.82967		-1	915.90937	138.67247	0	0	Arripidae	Arripis	georgianus	37344001	3	AD	Passing			
AR_BTC_R1	37	BTC_R1.avi	96151	32.05033		-1	1395.61543	532.36126	0	0	Carangidae	Pseudocaranx		37337924	13	AD	Passing			
AR_BTC_R1	38	BTC_R1.avi	97289	32.42967		-1	476.17881	721.56692	0	0	Carangidae	Pseudocaranx		37337924	14	AD	Passing			
AR_BTC_R1	39	BTC_R1.avi	99091	33.03033		-1	959.41212	417.1926	0	0	Carangidae	Pseudocaranx		37337924	19	AD	Passing			
AR_BTC_R1	40	BTC_R1.avi	123709	41.23633		-1	1012.32088	578.19369	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Feeding			
AR_BTC_R1	41	BTC_R1.avi	124320	41.44		-1	1018.19963	578.19369	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	42	BTC_R1.avi	124320	41.44		-1	808.91611	989.51034	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	43	BTC_R1.avi	125351	41.78367		-1	163.42927	631.07726	0	0	Sphyraenidae	Sphyraena	novaehollandiae	37382002	2	AD	Passing			
AR_BTC_R1	44	BTC_R1.avi	141467	47.15567		-1	1560.22045	555.86507	0	0	Carangidae	Pseudocaranx		37337924	23	AD	Passing			
AR_BTC_R1	45	BTC_R1.avi	153526	51.17533		-1	1484.97244	424.24374	0	0	Carangidae	Pseudocaranx		37337924	31	AD	Passing			
AR_BTC_R1	46	BTC_R1.avi	177486	59.162		-1	345.67055	12.92709	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	47	BTC_R1.avi	177486	59.162		-1	215.16228	98.716	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	48	BTC_R1.avi	177486	59.162		-1	288.05879	325.52775	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	49	BTC_R1.avi	177486	59.162		-1	14.109	263.24266	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	50	BTC_R1.avi	178149	59.383		-1	343.31904	943.67791	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R1	51	BTC_R1.avi	179708	59.90267		-1	1509.6632	983.63439	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R1	52	BTC_R1.avi	184768	61.58933		-1	1088.74464	626.3765	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Feeding			
AR_BTC_R1	53	BTC_R1.avi	185241	61.747		-1	651.36558	551.16431	0	0	Carangidae	Pseudocaranx		37337924	38	AD	Passing			
AR_BTC_R1	54	BTC_R1.avi	207695	69.23167		-1	1074.63564	645.17954	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	55	BTC_R1.avi	207695	69.23167		-1	1012.32088	611.09902	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	56	BTC_R1.avi	207695	69.23167		-1	1021.72688	450.09793	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	57	BTC_R1.avi	217246	72.41533		-1	1029.95713	591.12078	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	58	BTC_R1.avi	217246	72.41533		-1	987.63013	581.71926	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	59	BTC_R1.avi	217246	72.41533		-1	852.41886	533.53645	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	60	BTC_R1.avi	217246	72.41533		-1	463.24556	860.23939	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	61	BTC_R1.avi	268219	89.40633		-1	750.1286	860.23939	0	0	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Attracted			
