Camera Details

Generated: Monday 06 November 2023 13:10:00

OpCode	TapeReader	Depth	Comment	Habitat	Date							Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
DR_R1	Caitlin/Christine			Reef/Algae	16/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R1	Caitlin/Christine			Reef/Algae	16/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R2	Caitlin/Christine		not reef	Algae/sand	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R2	Caitlin/Christine		not reef	Algae/sand	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R3	Caitlin/Christine		facing down	reef	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R3	Caitlin/Christine		facing down	reef	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R4	Caitlin/Christine				16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R4	Caitlin/Christine				16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R5	Caitlin/Christine			rock / algae	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R5	Caitlin/Christine			rock / algae	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R6	Caitlin/Christine			sand / grass	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_R6	Caitlin/Christine			sand / grass	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S1	Caitlin/Christine			Sand	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S1	Caitlin/Christine			Sand	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S2	Caitlin/Christine			Sand/Algae	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S2	Caitlin/Christine			Sand/Algae	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S3	Caitlin/Christine			sand/algae	16/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S3	Caitlin/Christine			sand/algae	16/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S4	Caitlin/christine			rocky bottom	16/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S4	Caitlin/christine			rocky bottom	16/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S5	caitlin/Christine			Sand	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S5	caitlin/Christine			Sand	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S6	Caitlin/Christine		Slight facing up, foggy lens	Sand/Seagrass	16/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DR_S6	Caitlin/Christine		Slight facing up, foggy lens	Sand/Seagrass	16/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R1	Caitlin/Christine		algae obstructing view 	Reef/Algae	14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R1	Caitlin/Christine		algae obstructing view 	Reef/Algae	14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R2	Caitlin/Christine		facing up	reef	14/02/19 							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R2	Caitlin/Christine		facing up	reef	14/02/19 							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R3	CAITLIN				14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R3	CAITLIN				14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R4	Caitlin			Reef	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R4	Caitlin			Reef	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R5	CAITLIN		obstructed by algae, tilted	REEF/ALGAE	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R5	CAITLIN		obstructed by algae, tilted	REEF/ALGAE	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R6	Christine		Algae often blocking viewm bruv tip down at 27.47, again at 30.05	Reef	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R6	Christine		Algae often blocking viewm bruv tip down at 27.47, again at 30.05	Reef	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S1	Caitlin/Christine		unstable position, view partially blocked by algae	reef	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S1	Caitlin/Christine		unstable position, view partially blocked by algae	reef	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S2	Caitlin/Christine			reef not sand	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S2	Caitlin/Christine			reef not sand	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S3	Caitlin			SAND	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S3	Caitlin			SAND	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S4	CAITLIN			ALGAE	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S4	CAITLIN			ALGAE	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S5	Caitlin			Seagrass	15/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S5	Caitlin			Seagrass	15/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S6	Christine		Facing up, unwatchable	Seagrass	15/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_S6	Christine		Facing up, unwatchable	Seagrass	15/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
