Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comments
DR_R1,-34.8180667,136.2035,20190216,14:44:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_R2,-34.8190833,136.2059667,20190216,14:05:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_R3,-34.8169667,136.2100333,20190216,14:53:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_R4,-34.8145333,136.2172833,20190216,16:28:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_R5,-34.81453,136.20062,20190216,16:37:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_R6,-34.8190833,136.2132,20190216,16:46:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_S1,-34.8211,136.2203667,20190216,15:07:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_S2,-34.8311667,136.22115,20190216,15:12:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_S3,-34.8209833,136.2180833,20190216,15:03:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_S4,-34.82458,136.22142,20190216,17:02:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_S5,-34.81603,136.22142,20190216,17:25:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
DR_S6,-34.82178,136.21467,20190216,17:32:00,Dangerous Reef,No-take,Dangerous Reef,25,Caitlin Fox,Yes,No,NA
NN_R1,-35.22855,136.07515,20190214,17:31:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_R2,-35.22545,136.0758167,20190214,17:11:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_R3,-35.2246333,136.0789833,20190214,17:00:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_R4,-35.2290833,136.0722833,20190215,9:32:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_R5,-35.23185,136.0722167,20190215,9:37:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_R6,-35.2345667,136.0744667,20190215,9:47:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_S1,-35.22237,136.06855,20190215,8:32:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_S2,-35.2231,136.0764,20190215,8:49:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_S3,-35.2252667,136.0726167,20190215,11:01:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_S4,-35.2298,136.06985,20190215,8:58:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_S5,-35.2301167,136.06903,20190215,11:02:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
NN_S6,-35.2331667,136.0760333,20190215,11:04:00,North Neptunes,No-take,North Neptunes,25,Caitlin Fox,Yes,No,NA
SN_R1,-35.3279833,136.1158667,20190214,9:48:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_R2,-35.3302333,136.1166667,20190214,9:55:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_R3,-35.3333833,136.1231167,20190214,10:00:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_R4,-35.3360833,136.1283667,20190214,13:18:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_R6,-35.33175,136.1192833,20190214,13:38:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_S1,-35.3224,136.1196,20190214,10:01:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_S2,-35.3245833,136.1163833,20190214,10:22:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_S3,-35.3253833,136.1253833,20190214,10:36:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_S4,-35.3285833,136.1217833,20190214,12:42:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_S5,-35.3284167,136.11885,20190214,12:53:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
SN_S6,-35.3345167,136.1212167,20190214,13:03:00,South Neptunes,Fished,South Neptunes,25,Caitlin Fox,Yes,No,NA
