OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
DR_R1	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_R1_19.EMObs
DR_R2	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_R2_19.EMObs
DR_R3	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_R3_19.EMObs
DR_R4	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_R4_19.EMObs
DR_R5	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_R5_19.EMObs
DR_R6	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_R6_19.EMObs
DR_S1	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_S1_19.EMObs
DR_S2	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_S2_19.EMObs
DR_S3	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_S3_19.EMObs
DR_S4	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	DR_S4_19.EMObs
DR_S5	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	DR_S5_19.EMObs
DR_S6	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	DR_S6_19.EMObs
NN_R1	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	NN_R1_19.EMObs
NN_R2	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	NN_R2_19.EMObs
NN_R3	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	NN_R3_19.EMObs
NN_R4	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	NN_R4_19.EMObs
NN_R5	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	NN_R5_19.EMObs
NN_R6	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	NN_R6_19.EMObs
NN_S1	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	NN_S1_19.EMObs
NN_S2	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	NN_S2_19.EMObs
NN_S3	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	NN_S3_19.EMObs
NN_S4	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	NN_S4_19.EMObs
NN_S5	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	NN_S5_19.EMObs
NN_S6	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	NN_S6_19.EMObs
SN_R1	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_R1_19.EMObs
SN_R2	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_R2_19.EMObs
SN_R3	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_R3_19.EMObs
SN_R4	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_R4_19.EMObs
SN_R5	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_R5_19.EMObs
SN_R6	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_R6_19.EMObs
SN_S1	1.09	2023 11 01 15:58:35	E:\Neptunes 2019\	SN_S1_19.EMObs
SN_S2	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_S2_19.EMObs
SN_S3	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_S3_19.EMObs
SN_S4	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_S4_19.EMObs
SN_S5	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_S5_19.EMObs
SN_S6	1.09	2023 11 01 15:58:35	D:\Neptunes 2019\	SN_S6_19.EMObs
