OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
DR_R1_20	0	Analysis	GH015663.MP4	2900	1.61272				0
DR_R2_20	0	Analysis	GH015766.MP4	10392	5.77911				0
DR_R3_20	0	Analysis	GH014203.MP4	7194	4.00066				0
DR_R4_20	0	Analysis	GH015768.MP4	1982	1.10221				0
DR_R5_20	0	Analysis	GH015744.MP4	3005	1.67111				0
DR_R6_20	0	Analysis	GH015790.MP4	2966	1.64943				0
DR_S1_20	0	Analysis	GH015861.MP4	3412	1.91525				0
DR_S2_20	0	Analysis	GH012500.MP4	2092	1.16338				0
DR_S3_20	0	Analysis	GH014291.MP4	835	0.46435				0
DR_S4_20	0	Analysis	GH018492.MP4	6065	3.37281				0
DR_S5_20	0	Analysis	GH015768.MP4	11394	6.33633				0
DR_S6_20	0	Analysis	GH015675.MP4	2680	1.49038				0
NN_R1_20	0	Analysis	GH015862.MP4	5286	2.93960				0
NN_R2_20	0	Analysis	GH014204.MP4	3632	2.01980				0
NN_R2_20_May	0	Analysis	GH015750.MP4	1386	0.77077				0
NN_R3_20	0	Analysis	GH015769.MP4	5633	3.13257				0
NN_R3_20_May	0	Analysis	GH018496.MP4	3051	1.69669				0
NN_R4_20_May	0	Analysis	GH014296.MP4	2984	1.65944				0
NN_R5_20	0	Analysis	GH018493.MP4	2863	1.59215				0
NN_R6_20	0	Analysis	GH015815.MP4	4678	2.60149				0
NN_R6_20_May	0	Analysis	GH015773.MP4	1302	2.88955				0
NN_S1_20	0	Analysis	GH015664.MP4	14172	7.88121				0
NN_S2_20	0	Analysis	GH015676.MP4	5825	3.23935				0
NN_S3_20	0	Analysis	GH015769.MP4	3898	2.16772				0
NN_S4_20	0	Analysis	GH014292.MP4	2683	1.49205				0
NN_S5_20	0	Analysis	GH015745.MP4	2192	1.21900				0
NN_S6_20	0	Analysis	GH015767.MP4	3058	1.70059				0
SN_R10_20	0	Analysis	GH015864.MP4	2246	1.24903				0
SN_R11_20	0	Analysis	GH015748.MP4	2060	1.14559				0
SN_R12_20	0	Analysis	GH018495.MP4	2625	1.45979				0
SN_R13_20	0	Analysis	GH014295.MP4	9770	5.43321				0
SN_R14_20	0	Analysis	GH015819.MP4	1846	1.02658				0
SN_R15_20	0	Analysis	GH015771.MP4	2371	1.31854				0
SN_R1_20	0	Analysis	GH015747.MP4	3536	2.19441				0
SN_R2_20	0	Analysis	GH018494.MP4	2978	1.65610				0
SN_R3_20	0	Analysis	GH015818.MP4	25962	14.43776				0
SN_R4_20	0	Analysis	GH015770.MP4	2463	1.36970				0
SN_R5_20	0	Analysis	GH015863.MP4	10524	5.85251				0
SN_R6_20	0	Analysis	GH014294.MP4	2358	1.31131				0
SN_R7_20	0	Analysis	GH015772.MP4	1549	0.86142				0
SN_R8_20	0	Analysis	GH015770.MP4	3158	1.75620				0
SN_R9_20	0	Analysis	GH014211.MP4	3750	2.08542				0
