Camera Details

Generated: Monday 06 November 2023 14:19:27

OpCode	TapeReader	Depth	Comment	Habitat								Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
NP_R1	MOwens	~ 20 m	1.08	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R1	MOwens	~ 20 m	1.08	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R2	MOwens	~ 20 m	Started at 1.06	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R2	MOwens	~ 20 m	Started at 1.06	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R3	MOwens	Reef	 45s	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R3	MOwens	Reef	 45s	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R4	MOwens	~ 20 m	Started at 1.15	Seagrass/Macroalgae								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R4	MOwens	~ 20 m	Started at 1.15	Seagrass/Macroalgae								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R5	MOwens	~ 22 m	Started at 1.06	Sand								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R5	MOwens	~ 22 m	Started at 1.06	Sand								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R6	MOwens	~ 28	Sarted at 45	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NP_R6	MOwens	~ 28	Sarted at 45	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R1	MOwens	 ~ 20 m	Started at 55	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R1	MOwens	 ~ 20 m	Started at 55	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R2	LH	~ 10 m		Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R2	LH	~ 10 m		Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R3	MO	~ 25 m	Started at 55s	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R3	MO	~ 25 m	Started at 55s	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R4	MOwens	~ 15 m	Started at 7.45	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R4	MOwens	~ 15 m	Started at 7.45	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R5	MOwens	~ 12 m	4.41	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R5	MOwens	~ 12 m	4.41	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R6	MOwens	~ 15 m	 Started at 55s	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SP_R6	MOwens	~ 15 m	 Started at 55s	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
