OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
NP_R1	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\NP_R1\	NP_R1_EMOB.EMObs
NP_R2	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\NP_R2\	NP_R2_EMOB.EMObs
NP_R3	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\NP_R3\	NP_R3_EMOB.EMObs
NP_R4	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\NP_R4\	NP_R4_EMOB.EMObs
NP_R5	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\NP_R5\	NP_R5_EMOB.EMObs
NP_R6	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\NP_R6\	NP_R6_EMOB.EMObs
SP_R1	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\SP_R1\	SP_R1_EMOB.EMObs
SP_R2	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\SP_R2\	SP_R2_EMOB.EMObs
SP_R3	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\SP_R3\	SP_R3_EMOB.EMObs
SP_R4	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\SP_R4\	SP_R4_EMOB.EMObs
SP_R5	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\SP_R5\	SP_R5_EMOB.EMObs
SP_R6	1.09	2023 10 31 17:03:53	D:\Pages BRUVS July 2020\SP_R6\	SP_R6_EMOB.EMObs
