Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comments
S1_R1,-34.745569,135.899189,20211011,10:51:00,Boston Bay,Fished,Site 1,13.5,Joshua Dennis,Yes,No,NA
S1_R2,-34.745539,135.903639,20211011,10:56:00,Boston Bay,Fished,Site 1,12.5,Joshua Dennis,Yes,No,NA
S1_R3,-34.749159,135.899442,20211011,10:59:00,Boston Bay,Fished,Site 1,13.5,Joshua Dennis,Yes,No,NA
S1_R4,-34.749101,135.90391,20211011,11:05:00,Boston Bay,Fished,Site 1,13,Joshua Dennis,Yes,No,NA
S1_R5,-34.752784,135.899702,20211011,11:08:00,Boston Bay,Fished,Site 1,10.5,Joshua Dennis,Yes,No,NA
S1_R6,-34.752666,135.904115,20211011,11:13:00,Boston Bay,Fished,Site 1,12,Joshua Dennis,Yes,No,NA
S1_R7,-34.74696,135.907531,20211011,14:20:00,Boston Bay,Fished,Site 1,12.8,Joshua Dennis,Yes,No,NA
S1_R8,-34.750607,135.907883,20211011,14:24:00,Boston Bay,Fished,Site 1,12.9,Joshua Dennis,Yes,No,NA
S2_R1,-34.766118,135.897578,20211011,9:10:00,Boston Bay,Fished,Site 2,10.5,Joshua Dennis,Yes,No,NA
S2_R2,-34.769848,135.897711,20211011,9:15:00,Boston Bay,Fished,Site 2,9.7,Joshua Dennis,Yes,No,NA
S2_R3,-34.765866,135.901991,20211011,9:21:00,Boston Bay,Fished,Site 2,12.3,Joshua Dennis,Yes,No,NA
S2_R4,-34.76952,135.90213,20211011,9:25:00,Boston Bay,Fished,Site 2,11,Joshua Dennis,Yes,No,NA
S2_R5,-34.765558,135.906402,20211011,9:30:00,Boston Bay,Fished,Site 2,12,Joshua Dennis,Yes,No,NA
S2_R6,-34.769331,135.90653,20211011,9:34:00,Boston Bay,Fished,Site 2,11.6,Joshua Dennis,Yes,No,NA
S2_R7,-34.772778,135.900302,20211011,14:31:00,Boston Bay,Fished,Site 2,10.7,Joshua Dennis,Yes,No,NA
S2_R8,-34.772667,135.904726,20211011,14:36:00,Boston Bay,Fished,Site 2,10.7,Joshua Dennis,Yes,No,NA
S3_R1,-34.72514,135.894928,20211011,12:36:00,Boston Bay,Fished,Site 3,15.6,Joshua Dennis,Yes,No,NA
S3_R2,-34.724529,135.899362,20211011,12:39:00,Boston Bay,Fished,Site 3,16,Joshua Dennis,Yes,No,NA
S3_R3,-34.728724,135.895475,20211011,12:43:00,Boston Bay,Fished,Site 3,15,Joshua Dennis,Yes,No,NA
S3_R4,-34.728209,135.899869,20211011,12:47:00,Boston Bay,Fished,Site 3,14.8,Joshua Dennis,Yes,No,NA
S3_R5,-34.732358,135.896081,20211011,12:51:00,Boston Bay,Fished,Site 3,15,Joshua Dennis,Yes,No,NA
S3_R6,-34.731879,135.900408,20211011,12:55:00,Boston Bay,Fished,Site 3,14.3,Joshua Dennis,Yes,No,NA
S3_R7,-34.725865,135.903386,20211011,14:07:00,Boston Bay,Fished,Site 3,15.5,Joshua Dennis,Yes,No,NA
S3_R8,-34.729508,135.903937,20211011,14:14:00,Boston Bay,Fished,Site 3,15.5,Joshua Dennis,Yes,No,NA
