OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
S1_R1	0	Analysis	GH015960.MP4	6540	1.81848				0
S1_R2	0	Analysis	GH015805.MP4	4355	1.21093				0
S1_R3	0	Analysis	GH018747.MP4	3954	1.09943				0
S1_R4	0	Analysis	GH015696.MP4	3363	0.93510				0
S1_R5	0	Analysis	GH015687.MP4	20311	5.64759				0
S1_R6	0	Analysis	GH018564.MP4	2862	0.79580				0
S1_R7	0	Analysis	GH018749.MP4	3060	0.85085				0
S1_R8	0	Analysis	GH015698.MP4	3603	1.00183				0
S2_R1	0	Analysis	GH015959.MP4	9754	2.71215				0
S2_R2	0	Analysis	GH015804.MP4	6099	1.69586				0
S2_R3	0	Analysis	GH018746.MP4	8538	2.37404				0
S2_R4	0	Analysis	GH015695.MP4	6045	1.68085				0
S2_R5	0	Analysis	GH015686.MP4	6501	1.80764				0
S2_R6	0	Analysis	GH018563.MP4	6283	1.74702				0
S2_R7	0	Analysis	GH018563.MP4	3383	0.94066				0
S2_R8	0	Analysis	GH018566.MP4	8936	2.48470				0
S3_R1	0	Analysis	GH015961.MP4	3729	1.03687				0
S3_R2	0	Analysis	GH015806.MP4	4698	1.30630				0
S3_R3	0	Analysis	GH018748.MP4	5726	1.59215				0
S3_R4	0	Analysis	GH015697.MP4	5909	1.64303				0
S3_R5	0	Analysis	GH015688.MP4	3294	0.91592				0
S3_R6	0	Analysis	GH018565.MP4	8636	2.40129				0
S3_R7	0	Analysis	GH015962.MP4	4863	1.35218				0
S3_R8	0	Analysis	GH015807.MP4	5334	1.48315				0
