OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
S1_R1	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R1\	S1_R1.EMObs
S1_R2	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R2\	S1_R2.EMObs
S1_R3	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R3\	S1_R3.EMObs
S1_R4	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R4\	S1_R4.EMObs
S1_R5	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R5\	S1_R5.EMObs
S1_R6	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R6\	S1_R6.EMObs
S1_R7	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R7\	S1_R7.EMObs
S1_R8	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_1\S1_R8\	S1_R8.EMObs
S2_R1	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R1\	S2_R1.EMObs
S2_R2	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R2\	S2_R2.EMObs
S2_R3	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R3\	S2_R3.EMObs
S2_R4	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R4\	S2_R4.EMObs
S2_R5	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R5\	S2_R5.EMObs
S2_R6	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R6\	S2_R6.EMObs
S2_R7	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R7\	S2_R7.EMObs
S2_R8	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_2\S2_R8\	S2_R8.EMObs
S3_R1	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R1\	S3_R1.EMObs
S3_R2	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R2\	S3_R2.EMObs
S3_R3	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R3\	S3_R3.EMObs
S3_R4	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R4\	S3_R4.EMObs
S3_R5	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R5\	S3_R5.EMObs
S3_R6	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R6\	S3_R6.EMObs
S3_R7	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R7\	S3_R7.EMObs
S3_R8	1.09	2023 10 31 14:06:08	D:\DESAL_2021\Site_3\S3_R8\	S3_R8.EMObs
