Camera Details

Generated: Monday 06 November 2023 14:39:35

OpCode	TapeReader	Depth	Comment	Habitat	Soak time	FOV	Bias	Vis				Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
FB_S1_R1	TClarke	31.0	Starts at 1:22. Camera tilted up	Sand	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R1	TClarke	31.0	Starts at 1:22. Camera tilted up	Sand	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R10	TClarke		Starts at 1:35		60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R10	TClarke		Starts at 1:35		60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R11	TClarke		Starts at 1:01. Tilted up		60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R11	TClarke		Starts at 1:01. Tilted up		60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R12	TClarke		Starts at 1:36. Tilted up		60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R12	TClarke		Starts at 1:36. Tilted up		60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R2	TClarke	30.8	Starts at 0:50	Sand/rubble	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R2	TClarke	30.8	Starts at 0:50	Sand/rubble	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R3	TClarke		Starts at 1:00	Sand/rubble	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R3	TClarke		Starts at 1:00	Sand/rubble	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R4	TClarke		Starts at 1:08. BRUV facing straight up		60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R4	TClarke		Starts at 1:08. BRUV facing straight up		60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R5	TClarke		Starts at 1:36. Facing upwards	Coral/Sand	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R5	TClarke		Starts at 1:36. Facing upwards	Coral/Sand	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R6	TClarke		Starts at 2:16. Tilted up		60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R6	TClarke		Starts at 2:16. Tilted up		60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S1_R7	TClarke		Starts at 0:55. Tiltedupwards. Stopped at 50:48		60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
