Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comments
DR_R1,-34.81805,136.2032,20220316,9:03:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_R2,-34.81878,136.2235,20220316,9:25:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_R3,-34.81861,136.2061,20220316,9:45:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_R4,-34.81784,136.21016,20220316,9:16:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_R5,-34.81487,136.21741,20220316,9:57:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_R6,-34.81418,136.20972,20220316,10:03:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_S1,-34.8217,136.22478,20220316,9:48:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_S2,-34.81666,136.21313,20220316,9:35:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_S3,-34.82405,136.2243,20220316,9:16:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_S4,-34.81507,136.20551,20220316,9:52:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_S5,-34.81345,136.21442,20220316,9:33:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
DR_S6,-34.82522,136.22087,20220316,9:28:00,Dangerous Reef,No-take,Dangerous Reef,20,Mollie Owens,Yes,No,NA
NN_R1,-35.22285,136.06914,20220315,3:48:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R2,-35.22612,136.07559,20220315,10:58:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R3,-35.22598,136.07567,20220315,10:45:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R4,-35.22894,136.07216,20220315,10:17:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R5,-35.23075,136.07091,20220315,10:28:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R6,-35.23263,136.07301,20220315,10:22:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R7,-35.23412,136.07361,20220315,10:02:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R8,-35.3262,136.11493,20220315,10:09:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R9,-35.2289,136.07347,20220315,10:33:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R10,-35.22553,136.07246,20220315,10:54:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R11,-35.22478,136.07805,20220315,11:02:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
NN_R12,-35.22908,136.07581,20220315,10:33:00,North Neptunes,No-take,North Neptunes,20,Mollie Owens,Yes,No,NA
SN_R2,-35.32512,136.11748,20220314,9:43:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R3,-35.32295,136.11833,20220314,9:36:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R4,-35.324,136.11545,20220314,9:36:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R5,-35.3251,136.11545,20220314,10:09:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R6,-35.32295,136.11833,20220314,10:48:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R7,-35.33252,136.12322,20220314,10:33:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R8,-35.33282,136.11912,20220314,11:03:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R9,-35.33338,136.12072,20220314,10:53:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R10,-35.33273,136.11963,20220314,11:21:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R11,-35.33307,136.12227,20220314,11:30:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R13,-35.32855,136.1158,20220314,11:10:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
SN_R14,-35.32602,136.1149,20220314,10:56:00,South Neptunes,Fished,South Neptunes,20,Mollie Owens,Yes,No,NA
