OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
BB_S1_R1	0	GH015903.MP4	21744	6.04604		-1.00000	403.36134	936.92308	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	1	GH015903.MP4	31632	8.79545		-1.00000	488.64346	964.61538	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	2	GH015903.MP4	31632	8.79545		-1.00000	1081.00840	920.76923	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	3	GH015903.MP4	43814	12.18273		-1.00000	1565.04202	874.61538	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	4	GH015903.MP4	43814	12.18273		-1.00000	537.04682	985.38462	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	5	GH015903.MP4	43814	12.18273		-1.00000	679.95198	874.61538	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	6	GH015903.MP4	49420	13.74151		-1.00000	1509.72389	953.07692	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	7	GH015903.MP4	49420	13.74151		-1.00000	1553.51741	835.38462	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	8	GH015903.MP4	49420	13.74151		-1.00000	647.68307	966.92308	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	9	GH015903.MP4	49420	13.74151		-1.00000	331.90876	1056.92308	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	1	AD	Passing			
BB_S1_R1	10	GH015903.MP4	55623	15.46628		-1.00000	1795.53421	1052.30769	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	5	AD	Passing			
BB_S1_R1	11	GH015903.MP4	59347	16.50176		-1.00000	513.99760	955.38462	0.00000	0.00000	Platycephalidae	Platycephalus	bassensis	37296003	1	AD	Passing			
BB_S1_R1	12	GH025903.MP4	20506	23.33609		-1.00000	1696.42257	369.23077	0.00000	0.00000	Loliginidae	Sepioteuthis	australis	23617005	1	AD	Passing			
BB_S1_R1	13	GH025903.MP4	20809	23.42034		-1.00000	693.78151	971.53846	0.00000	0.00000	Ovalipidae	Nectocarcinus	integrifrons	28911010	6	AD	Passing			
BB_S1_R1	14	GH025903.MP4	34608	27.25723		-1.00000	117.55102	456.92308	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	15	GH025903.MP4	34608	27.25723		-1.00000	13.82953	380.76923	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	16	GH025903.MP4	34608	27.25723		-1.00000	82.97719	383.07692	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	17	GH025903.MP4	34608	27.25723		-1.00000	17.86315	436.07692	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	18	GH025903.MP4	34608	27.25723		-1.00000	252.38896	381.26923	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	19	GH025903.MP4	34608	27.25723		-1.00000	282.35294	381.26923	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	20	GH025903.MP4	34608	27.25723		-1.00000	175.75030	494.92308	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	21	GH025903.MP4	34608	27.25723		-1.00000	59.92797	515.11538	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	22	GH025903.MP4	34608	27.25723		-1.00000	271.40456	454.53846	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	23	GH025903.MP4	34608	27.25723		-1.00000	307.13085	490.88462	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	24	GH025903.MP4	34608	27.25723		-1.00000	323.84154	527.23077	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	25	GH025903.MP4	34608	27.25723		-1.00000	428.71549	520.30769	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	26	GH025903.MP4	34608	27.25723		-1.00000	443.12125	554.34615	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	27	GH025903.MP4	34608	27.25723		-1.00000	38.03121	689.07692	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	28	GH025903.MP4	34608	27.25723		-1.00000	42.64106	652.15385	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	29	GH025903.MP4	34608	27.25723		-1.00000	36.87875	581.76923	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	30	GH025903.MP4	34608	27.25723		-1.00000	119.27971	597.34615	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	31	GH025903.MP4	34608	27.25723		-1.00000	102.56903	726.00000	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	32	GH025903.MP4	34608	27.25723		-1.00000	119.27971	697.15385	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	33	GH025903.MP4	34608	27.25723		-1.00000	125.04202	766.96154	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	34	GH025903.MP4	34608	27.25723		-1.00000	171.14046	745.61538	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	35	GH025903.MP4	34608	27.25723		-1.00000	237.98319	768.11538	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	36	GH025903.MP4	34608	27.25723		-1.00000	247.77911	805.61538	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	37	GH025903.MP4	34608	27.25723		-1.00000	335.36615	790.61538	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	38	GH025903.MP4	34608	27.25723		-1.00000	333.06122	760.61538	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	39	GH025903.MP4	34608	27.25723		-1.00000	305.97839	742.73077	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
BB_S1_R1	40	GH025903.MP4	34608	27.25723		-1.00000	315.19808	698.88462	0.00000	0.00000	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
