Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
MYORNOW1,-27.47383648,153.4054512,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOW2,-27.47365053,153.4072536,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOW3,-27.4733902,153.409056,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOW4,-27.47312988,153.4108584,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOW5,-27.47301831,153.4133734,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOW6,-27.47484059,153.4042356,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOW7,-27.47640252,153.4036487,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOW8,-27.4780388,153.402517,20140701,13:00:00,Myora,No-take,1,2,Ben,Yes,No
POLKFIW1,-27.49703619,153.3979748,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIW2,-27.49814436,153.3983912,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIW3,-27.49906782,153.3988337,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIW4,-27.49625124,153.3978967,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIW5,-27.49546628,153.3985474,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIW6,-27.49987584,153.399094,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIW7,-27.49569715,153.39722,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIW8,-27.49761336,153.3971159,20140701,13:00:00,Polka,Fished,2,2,Ben,Yes,No
GOATFIW1,-27.51284954,153.3881626,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIW2,-27.51384213,153.3879284,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIW3,-27.51171845,153.3884489,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIW4,-27.51040266,153.3886571,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIW5,-27.51469621,153.3877722,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIW6,-27.51591961,153.3874339,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIW7,-27.51705067,153.3870174,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIW8,-27.51762773,153.3860024,20140701,13:00:00,Goat,Fished,3,2,Ben,Yes,No
PEELN NOW1,-27.48259195,153.3415333,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOW2,-27.48140874,153.3424097,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOW3,-27.48056358,153.3435148,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOW4,-27.47968461,153.3444674,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOW5,-27.4834709,153.3404282,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOW6,-27.48428223,153.3390182,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOW7,-27.48485692,153.3369605,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOW8,-27.4860739,153.336046,20140701,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELNEFIW1,-27.48546108,153.3735796,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIW2,-27.48675638,153.3751829,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIW3,-27.48779769,153.3764426,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIW4,-27.48911836,153.3772442,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIW5,-27.49015965,153.3780458,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIW6,-27.48462294,153.3719477,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIW7,-27.48373399,153.3708311,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIW8,-27.48289584,153.3682258,20140701,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELSEFIW1,-27.5112689,153.3515719,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIW2,-27.51329766,153.3519066,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIW3,-27.51502949,153.3526877,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIW4,-27.51666234,153.3530224,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIW5,-27.51903735,153.3516277,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIW6,-27.5193837,153.3498423,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIW7,-27.51874048,153.3468854,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIW8,-27.51854256,153.3444306,20140701,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
ST HHENOW1,-27.39297711,153.2223184,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW2,-27.39414589,153.2231151,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW3,-27.39494558,153.2245008,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW4,-27.39556072,153.2259211,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW5,-27.39632964,153.2276532,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW6,-27.39728309,153.2294546,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW7,-27.3983288,153.2314638,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
