OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
HM_191	12	HM_191_L_000001.MTS	16389	HM_191_R_000001.MTS	16884	10.926	Timeseabed	8.798	2450.41052	619.06179	-5442.13581	17.17083	5.01676	40.18313	4.49512	6000.3826	24.97429	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_192	1	HM_192_L_000001.MTS	5742	HM_192_R_000001.MTS	6162	3.828	Timeseabed	0.07867	-493.90405	735.49715	-5383.77695	4.66694	6.42475	43.82439	10.49695	5456.1847	9.41919	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_193	0	HM_193_L_000001.MTS	6911	HM_193_R_000001.MTS	7277	4.60733	Timeseabed	0.00533	2222.47121	-243.29862	-6176.15523	19.02517	3.75998	55.14135	0.88683	6568.36859	19.88434	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_22	9	HM_22_L_MAH00059123.MP4	27221	HM_22_R_MAH00063117.MP4	26250	15.1379	Timeseabed	10.44766	539.35109	-1679.11042	-10426.23407	9.55582	24.22564	159.30956	4.86551	10574.34009	10.24838	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_229	1	HM_229_190814_LEFT.mts	3215	HM_229_190814_RIGHT.mts	3222	2.14333	Timeseabed	0	439.47693	-817.38825	-5304.32053	4.28479	7.80228	42.64652	6.85483	5384.89366	8.99663	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_242	3	HM_242_190815_LEFT.mts	5974	HM_242_190815_RIGHT.mts	5974	3.98267	Timeseabed	2.21867	-1084.84135	874.95296	-4068.41674	6.45089	5.17366	24.7863	0.1028	4300.51604	19.5979	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_309	1	HM_309_190716_LEFT.mts	6892	HM_309_190726_RIGHT.mts	6892	4.59467	Timeseabed	0.34733	113.62073	-207.37574	-2177.03317	1.16808	1.38538	7.42948	2.5067	2189.83739	5.28644	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_6	1	HM_6_L_MAH0005753.MP4	11514	HM_6_R_MAH0005643.MP4	12273	6.40306	Timeseabed	1.0238	393.17572	517.91789	-4036.72148	2.96774	3.85578	23.94792	0.58111	4088.75854	8.63693	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_66	1	HM_66_L_MAH0006629.MP4	12411	HM_66_R_MAH0006625.MP4	12375	6.90189	Timeseabed	0	-1737.18345	546.68588	-10541.44825	26.4897	10.72108	160.83933	17.94403	10697.60735	9.69058	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_77	8	HM_77_L_00000_51.MTS	5381	HM_77_R_00011_62.MTS	5724	3.58733	Timeseabed	0.94133	125.07922	1403.91611	-4478.58719	2.37846	9.71086	31.00785	0.60173	4695.14307	17.68191	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HM_97	1	HM_97_R_000022.MTS	4645	HM_97_L_000031.MTS	6003	3.09667	Timeseabed	0.03	1318.54763	-1041.32056	-5398.67402	10.61129	8.65431	44.09423	9.66917	5654.07795	17.17123	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_1	1	HP_1_L1.1.MP4	23180	HP_1_R1.1.MP4	24114	12.89066	Timeseabed	0	-462.03024	-438.68138	-1927.98166	1.53998	1.52376	5.60983	4.64124	2030.52372	18.59453	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_105	4	HP_105_L1.1.MP4	14083	HP_105_R1.1.MP4	14338	7.83171	Timeseabed	0.2002	1572.73832	571.93632	-6150.11656	14.11216	6.5927	55.50634	5.71425	6373.73914	14.97822	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
